date,item,buy,sell,repay,prev,balance
2020-07-23,融券(交易單位),27904,24064,1718,763813,758255
2020-07-23,融資(交易單位),368784,308535,8027,6840599,6892821
2020-07-23,融資金額(仟元),11262035,9143335,174962,137640381,139584119
