date,item,buy,sell,repay,prev,balance
2026-04-08,融券(交易單位),39095,25087,3954,171413,153451
2026-04-08,融資(交易單位),499401,454342,7479,8103619,8141199
2026-04-08,融資金額(仟元),33553918,26151090,316369,387734358,394820817
