date,item,buy,sell,repay,prev,balance
2021-07-22,融券(交易單位),46608,40643,6885,380786,367936
2021-07-22,融資(交易單位),525020,516282,3609,9557476,9562605
2021-07-22,融資金額(仟元),25244754,24156565,239978,293773076,294621287
