date,item,buy,sell,repay,prev,balance
2019-06-10,融券(交易單位),27946,32846,3092,382162,383970
2019-06-10,融資(交易單位),185890,208732,4447,7126284,7098995
2019-06-10,融資金額(仟元),3930519,4473731,115431,124629557,123970914
