date,item,buy,sell,repay,prev,balance
2023-03-29,融券(交易單位),17955,16812,7166,222714,214405
2023-03-29,融資(交易單位),187854,193901,6582,6915469,6902840
2023-03-29,融資金額(仟元),6668309,6789484,415481,170553917,170017261
