date,item,buy,sell,repay,prev,balance
2026-07-21,融券(交易單位),32012,38132,4368,210862,212614
2026-07-21,融資(交易單位),391084,292841,9757,9270954,9359440
2026-07-21,融資金額(仟元),27613888,19194192,958839,569035380,576496237
