date,item,buy,sell,repay,prev,balance
2021-09-09,融券(交易單位),40663,59662,1863,516931,534067
2021-09-09,融資(交易單位),207343,192743,6758,8923938,8931780
2021-09-09,融資金額(仟元),8146825,7705227,246819,262952042,263146821
