date,item,buy,sell,repay,prev,balance
2018-12-06,融券(交易單位),59973,53502,1808,529660,521381
2018-12-06,融資(交易單位),299802,293974,5640,7342072,7342260
2018-12-06,融資金額(仟元),6745938,6297456,96601,127199781,127551662
