date,item,buy,sell,repay,prev,balance
2020-07-02,融券(交易單位),33655,50719,3251,776151,789964
2020-07-02,融資(交易單位),374281,305147,2664,6383582,6450052
2020-07-02,融資金額(仟元),9642461,8345844,59473,125684607,126921751
