date,item,buy,sell,repay,prev,balance
2015-07-17,融券(交易單位),32958,30667,2625,341401,336485
2015-07-17,融資(交易單位),241043,218721,11963,10482368,10492727
2015-07-17,融資金額(仟元),4690979,4821579,211917,181497851,181155334
