date,item,buy,sell,repay,prev,balance
2015-12-23,融券(交易單位),28625,40716,3995,542666,550762
2015-12-23,融資(交易單位),332803,368947,17191,9310148,9256813
2015-12-23,融資金額(仟元),5642424,6059659,159001,146915015,146338779
