date,item,buy,sell,repay,prev,balance
2023-12-08,融券(交易單位),18874,23265,3057,315307,316641
2023-12-08,融資(交易單位),281778,278655,4413,7845966,7844676
2023-12-08,融資金額(仟元),13044546,12204284,143098,238114292,238811456
