date,item,buy,sell,repay,prev,balance
2022-03-11,融券(交易單位),28789,32292,5122,398265,396646
2022-03-11,融資(交易單位),249163,223612,8575,8634893,8651869
2022-03-11,融資金額(仟元),9391238,7466008,255377,263939822,265609675
