date,item,buy,sell,repay,prev,balance
2025-07-31,融券(交易單位),26444,23358,1020,248212,244106
2025-07-31,融資(交易單位),297020,233604,5268,6850443,6908591
2025-07-31,融資金額(仟元),13643502,11833445,276593,229782020,231315484
