date,item,buy,sell,repay,prev,balance
2021-09-07,融券(交易單位),68588,60004,3039,524115,512492
2021-09-07,融資(交易單位),300638,319415,7782,8999374,8972815
2021-09-07,融資金額(仟元),11318066,12888712,227240,266960417,265162531
