date,item,buy,sell,repay,prev,balance
2018-01-11,融券(交易單位),32433,37877,2867,581630,584207
2018-01-11,融資(交易單位),303111,316462,11096,9597077,9572630
2018-01-11,融資金額(仟元),5683836,5735743,139490,174871348,174679951
