date,item,buy,sell,repay,prev,balance
2018-02-07,融券(交易單位),38722,49089,1923,433431,441875
2018-02-07,融資(交易單位),351882,318609,14769,8889571,8908075
2018-02-07,融資金額(仟元),7453098,7103437,269699,167360845,167440807
