date,item,buy,sell,repay,prev,balance
2026-07-15,融券(交易單位),29898,25084,2767,180712,173131
2026-07-15,融資(交易單位),401366,339707,7575,9465643,9519727
2026-07-15,融資金額(仟元),37420981,25511076,575664,604033934,615368175
