date,item,buy,sell,repay,prev,balance
2017-02-22,融券(交易單位),24646,32090,3384,459553,463613
2017-02-22,融資(交易單位),373772,357511,3694,8820216,8832783
2017-02-22,融資金額(仟元),7091542,6644114,60717,138205786,138592497
