period,market,url,self_period,rows,distinct_codes,no_sector
2006-09,tpex,t21sc03_95_9.html,95年9月,943,540,0
2006-09,twse,t21sc03_95_9.html,95年9月,1014,679,0
2006-10,tpex,t21sc03_95_10.html,95年10月,951,545,0
2006-10,twse,t21sc03_95_10.html,95年10月,1018,680,0
2006-11,tpex,t21sc03_95_11.html,95年11月,959,550,0
2006-11,twse,t21sc03_95_11.html,95年11月,1029,686,0
2006-12,tpex,t21sc03_95_12.html,95年12月,951,547,0
2006-12,twse,t21sc03_95_12.html,95年12月,1048,695,0
2007-01,tpex,t21sc03_96_1.html,96年1月,947,544,0
2007-01,twse,t21sc03_96_1.html,96年1月,1058,701,0
2007-02,tpex,t21sc03_96_2.html,96年2月,947,544,0
2007-02,twse,t21sc03_96_2.html,96年2月,1060,702,0
2007-03,tpex,t21sc03_96_3.html,96年3月,957,549,0
2007-03,twse,t21sc03_96_3.html,96年3月,1066,705,0
2007-04,tpex,t21sc03_96_4.html,96年4月,959,549,0
2007-04,twse,t21sc03_96_4.html,96年4月,1069,707,0
2007-05,tpex,t21sc03_96_5.html,96年5月,958,549,0
2007-05,twse,t21sc03_96_5.html,96年5月,1071,708,0
2007-06,tpex,t21sc03_96_6.html,96年6月,957,549,0
2007-06,twse,t21sc03_96_6.html,96年6月,1073,709,0
2007-07,tpex,t21sc03_96_7.html,96年7月,952,546,0
2007-07,twse,t21sc03_96_7.html,96年7月,1077,711,0
2007-08,tpex,t21sc03_96_8.html,96年8月,953,546,0
2007-08,twse,t21sc03_96_8.html,96年8月,1075,710,0
2007-09,tpex,t21sc03_96_9.html,96年9月,955,546,0
2007-09,twse,t21sc03_96_9.html,96年9月,1077,711,0
2007-10,tpex,t21sc03_96_10.html,96年10月,954,545,0
2007-10,twse,t21sc03_96_10.html,96年10月,1076,710,0
2007-11,tpex,t21sc03_96_11.html,96年11月,948,542,0
2007-11,twse,t21sc03_96_11.html,96年11月,1082,713,0
2007-12,tpex,t21sc03_96_12.html,96年12月,944,539,0
2007-12,twse,t21sc03_96_12.html,96年12月,1088,717,0
2008-01,tpex,t21sc03_97_1.html,97年1月,944,538,0
2008-01,twse,t21sc03_97_1.html,97年1月,1088,716,0
2008-02,tpex,t21sc03_97_2.html,97年2月,951,542,0
2008-02,twse,t21sc03_97_2.html,97年2月,1090,717,0
2008-03,tpex,t21sc03_97_3.html,97年3月,952,543,0
2008-03,twse,t21sc03_97_3.html,97年3月,1099,722,0
2008-04,tpex,t21sc03_97_4.html,97年4月,950,542,0
2008-04,twse,t21sc03_97_4.html,97年4月,1100,723,0
2008-05,tpex,t21sc03_97_5.html,97年5月,954,544,0
2008-05,twse,t21sc03_97_5.html,97年5月,1101,724,0
2008-06,tpex,t21sc03_97_6.html,97年6月,954,543,0
2008-06,twse,t21sc03_97_6.html,97年6月,1104,726,0
2008-07,tpex,t21sc03_97_7.html,97年7月,961,547,0
2008-07,twse,t21sc03_97_7.html,97年7月,1102,725,0
2008-08,tpex,t21sc03_97_8.html,97年8月,967,550,0
2008-08,twse,t21sc03_97_8.html,97年8月,1106,727,0
2008-09,tpex,t21sc03_97_9.html,97年9月,963,549,0
2008-09,twse,t21sc03_97_9.html,97年9月,1110,729,0
2008-10,tpex,t21sc03_97_10.html,97年10月,967,551,0
2008-10,twse,t21sc03_97_10.html,97年10月,1112,730,0
2008-11,tpex,t21sc03_97_11.html,97年11月,967,551,0
2008-11,twse,t21sc03_97_11.html,97年11月,1112,730,0
