date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2025-12-29,00987A,0,0,0,32285,0,0,0,,,,
2025-12-30,00987A,989,0,989,32285,0,0,0,,,,
2025-12-31,00987A,2037,24,3002,47785,0,0,0,,,,
2026-01-02,00987A,243,38,3207,51285,0,0,0,,,,
2026-01-05,00987A,135,121,3221,51285,0,0,0,,,,
2026-01-06,00987A,69,1038,2252,50160,0,0,0,,,,
2026-01-07,00987A,271,589,1934,49910,0,0,0,,,,
2026-01-08,00987A,193,116,2011,49910,0,0,0,,,,
2026-01-09,00987A,161,85,2087,49910,0,0,0,,,,
2026-01-12,00987A,30,154,1962,49910,0,0,0,,,,
2026-01-13,00987A,91,8,2045,49910,0,0,0,,,,
2026-01-14,00987A,30,41,2034,49910,0,0,0,,,,
2026-01-15,00987A,25,15,2044,49910,0,0,0,,,,
2026-01-16,00987A,48,170,1922,49285,0,0,0,,,,
2026-01-19,00987A,112,76,1958,49285,0,0,0,,,,
2026-01-20,00987A,52,24,1986,49285,0,0,0,,,,
2026-01-21,00987A,47,92,1941,49285,0,0,0,,,,
2026-01-22,00987A,10,247,1704,49035,0,0,0,,,,
2026-01-23,00987A,4,25,1683,47910,0,0,0,,,,
2026-01-26,00987A,5,88,1600,46410,0,0,0,,,,
2026-01-27,00987A,2,124,1478,45910,0,0,0,,,,
2026-01-28,00987A,0,115,1363,43660,0,0,0,,,,
2026-01-29,00987A,11,125,1249,43035,0,0,0,,,,
2026-01-30,00987A,53,19,1283,39910,0,0,0,,,,
2026-02-02,00987A,32,0,1315,38285,0,1,1,,,,
2026-02-03,00987A,1,40,1272,37910,1,0,0,,,,
2026-02-04,00987A,0,9,1263,37035,0,0,0,,,,
2026-02-05,00987A,101,1,1360,35785,0,0,0,,,,
2026-02-06,00987A,25,7,1378,35910,0,0,0,,,,
2026-02-09,00987A,8,5,1381,34785,0,0,0,,,,
2026-02-10,00987A,4,91,1294,34285,0,0,0,,,,
2026-02-11,00987A,38,82,1250,34035,0,0,0,,,,
2026-02-23,00987A,284,43,1491,34035,0,0,0,,,,
2026-02-24,00987A,520,290,1721,34035,0,0,0,,,,
2026-02-25,00987A,375,38,2058,34035,0,0,0,,,,
2026-02-26,00987A,738,384,2412,34035,0,0,0,,,,
2026-03-02,00987A,432,999,1845,34035,0,0,0,,,,
2026-03-03,00987A,119,198,1766,34035,0,0,0,,,,
2026-03-04,00987A,80,203,1643,33035,0,0,0,,,,
2026-03-05,00987A,161,12,1792,31785,0,0,0,,,,
