date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2015-01-05,2355,102,73,7636,99373,14,6,124,7608,1,132,0,
2015-01-06,2355,80,39,7677,99373,8,0,116,7636,0,124,0,
2015-01-07,2355,31,59,7617,99373,0,1,117,7677,32,116,0,
2015-01-08,2355,206,464,7359,99373,1,3,119,7617,0,117,0,
2015-01-09,2355,98,71,7386,99373,0,1,120,7359,0,119,0,
2015-01-12,2355,292,441,7221,99373,0,2,122,7386,16,120,0,
2015-01-13,2355,151,130,7242,99373,2,0,120,7221,0,122,0,
2015-01-14,2355,81,96,7227,99373,1,10,129,7242,0,120,0,
2015-01-15,2355,209,365,7071,99373,32,2,99,7227,0,129,0,
2015-01-16,2355,121,139,7053,99373,0,14,112,7071,0,99,1,
2015-01-19,2355,246,421,6878,99373,0,3,115,7053,0,112,0,
2015-01-20,2355,353,705,6526,99373,3,21,133,6878,0,115,0,
2015-01-21,2355,167,183,6505,99373,2,7,137,6526,5,133,1,
2015-01-22,2355,282,230,6557,99373,0,8,145,6505,0,137,0,
2015-01-23,2355,41,220,6377,99373,20,2,127,6557,1,145,0,
2015-01-26,2355,122,121,6367,99373,12,1,116,6377,11,127,0,
2015-01-27,2355,54,96,6325,99373,11,10,115,6367,0,116,0,
2015-01-28,2355,40,55,6310,99373,14,1,102,6325,0,115,0,
2015-01-29,2355,130,57,6381,99373,7,4,98,6310,2,102,1,
2015-01-30,2355,75,106,6347,99373,2,2,98,6381,3,98,0,
2015-02-02,2355,106,89,6363,99373,0,0,98,6347,1,98,0,
2015-02-03,2355,72,66,6368,99373,0,0,98,6363,1,98,0,
2015-02-04,2355,75,140,6303,99373,3,0,95,6368,0,98,0,
2015-02-05,2355,65,33,6335,99373,18,1,78,6303,0,95,0,
2015-02-06,2355,22,54,6303,99373,2,2,78,6335,0,78,0,
2015-02-09,2355,84,117,6258,99373,0,4,82,6303,12,78,0,
2015-02-10,2355,44,47,6255,99373,0,0,82,6258,0,82,0,
2015-02-11,2355,81,101,6235,99373,1,0,81,6255,0,82,0,
2015-02-12,2355,549,361,6420,99373,0,28,109,6235,3,81,0,
2015-02-13,2355,673,696,6344,99373,6,43,146,6420,53,109,0,
2015-02-24,2355,517,640,6220,99373,5,9,150,6343,0,146,0,
2015-02-25,2355,273,170,6313,99373,10,6,146,6220,10,150,0,
2015-02-26,2355,188,248,6248,99373,1,12,157,6313,5,146,0,
2015-03-02,2355,126,236,6138,99373,10,2,149,6248,0,157,0,
2015-03-03,2355,180,137,6181,99373,1,3,151,6138,0,149,0,
2015-03-04,2355,84,366,5899,99373,0,3,154,6181,0,151,0,
2015-03-05,2355,321,100,6120,99373,3,1,152,5899,0,154,0,
2015-03-06,2355,1021,732,6408,99373,10,5,147,6120,1,152,0,
2015-03-09,2355,762,973,6192,99373,1,44,190,6408,5,147,0,
2015-03-10,2355,1062,937,6312,99373,8,54,236,6192,5,190,0,
2015-03-11,2355,453,430,6335,99373,9,14,241,6312,0,236,0,
2015-03-12,2355,431,492,6274,99373,4,42,277,6335,0,241,2,
2015-03-13,2355,177,400,6051,99373,11,12,278,6274,0,277,0,
2015-03-16,2355,189,262,5978,99373,23,4,259,6051,0,278,0,
2015-03-17,2355,214,324,5868,99373,2,6,263,5978,0,259,0,
2015-03-18,2355,198,185,5881,99373,2,5,266,5868,0,263,0,
2015-03-19,2355,714,454,6141,99373,13,26,279,5881,0,266,0,
2015-03-20,2355,195,395,5931,99373,34,0,245,6141,10,279,0,
2015-03-23,2355,118,284,5763,99373,19,12,238,5931,2,245,0,
2015-03-24,2355,70,148,5685,99373,34,0,204,5763,0,238,0,
2015-03-25,2355,171,235,5621,99373,2,2,204,5685,0,204,0,
2015-03-26,2355,102,173,5550,99373,15,26,215,5621,0,204,0,
2015-03-27,2355,96,59,5587,99373,4,3,214,5550,0,215,0,
