vid,型態,H,年,n,dX̄
K01,三隻烏鴉,20,2017,67,-0.016787608542166627
K01,三隻烏鴉,20,2018,55,-0.0017704542742514714
K01,三隻烏鴉,20,2019,51,-0.035683478582358596
K01,三隻烏鴉,20,2020,36,0.02939949474751898
K01,三隻烏鴉,20,2021,56,-0.0029311665275745984
K01,三隻烏鴉,20,2022,36,0.011120605108699583
K01,三隻烏鴉,20,2023,100,-0.00048282622032005506
K01,三隻烏鴉,20,2024,79,0.0008754963919883865
K01,三隻烏鴉,20,2025,80,-0.010611491260380397
K01,三隻烏鴉,20,2026,31,-0.008548876911160706
K01,三隻烏鴉,60,2017,66,0.004041390270684961
K01,三隻烏鴉,60,2018,55,-0.018014711917663923
K01,三隻烏鴉,60,2019,51,-0.05851945273122449
K01,三隻烏鴉,60,2020,36,-0.08451688155273032
K01,三隻烏鴉,60,2021,56,-0.007615375365731801
K01,三隻烏鴉,60,2022,35,0.022209912827645895
K01,三隻烏鴉,60,2023,100,0.02603802005463414
K01,三隻烏鴉,60,2024,79,0.0066454811586667125
K01,三隻烏鴉,60,2025,80,-0.006995608538739642
K01,三隻烏鴉,60,2026,25,0.03794322044016033
K01,三隻烏鴉,120,2017,65,0.03249570724039363
K01,三隻烏鴉,120,2018,55,0.011382244847299463
K01,三隻烏鴉,120,2019,51,-0.04035968525477488
K01,三隻烏鴉,120,2020,36,-0.02646880955751964
K01,三隻烏鴉,120,2021,56,-0.010790582913643805
K01,三隻烏鴉,120,2022,35,-0.00902594423513081
K01,三隻烏鴉,120,2023,96,0.05275083363079231
K01,三隻烏鴉,120,2024,78,0.005336983619642794
K01,三隻烏鴉,120,2025,80,0.041653110295045495
K01,三隻烏鴉,120,2026,12,-0.21119858565369978
K02,昏星,20,2017,25,-0.013427100009964842
K02,昏星,20,2018,32,-0.013351538029477916
K02,昏星,20,2019,42,-0.0051952699603196265
K02,昏星,20,2020,44,-0.004696536102890975
K02,昏星,20,2021,37,0.020074757535545388
K02,昏星,20,2022,51,0.012924908611441945
K02,昏星,20,2023,44,-0.008076253752601873
K02,昏星,20,2024,33,0.01411983243600729
K02,昏星,20,2025,38,0.024237437144735016
K02,昏星,20,2026,52,0.03885336783341972
K02,昏星,60,2017,24,0.03265789854561208
K02,昏星,60,2018,32,0.03698656417220715
K02,昏星,60,2019,40,-0.006177228330085563
K02,昏星,60,2020,44,0.01664674735602348
K02,昏星,60,2021,37,0.04388174864671674
K02,昏星,60,2022,49,-0.03311935526967972
K02,昏星,60,2023,44,0.021656717065494876
K02,昏星,60,2024,32,0.05225377122860887
K02,昏星,60,2025,38,0.018003423759859496
K02,昏星,60,2026,23,0.07851148260623438
K02,昏星,120,2017,24,0.07154248605489953
K02,昏星,120,2018,29,0.056232522345637144
K02,昏星,120,2019,40,0.025856327395290275
K02,昏星,120,2020,44,-0.07988030165294198
K02,昏星,120,2021,35,0.06772006242821262
K02,昏星,120,2022,49,-0.07983351182905678
K02,昏星,120,2023,44,0.02019721729001167
K02,昏星,120,2024,31,0.07867888911207588
K02,昏星,120,2025,36,-0.0437909501976877
K02,昏星,120,2026,6,0.052182003732353294
K03,倒鎚（兩根）,20,2017,114,0.009433740030507174
K03,倒鎚（兩根）,20,2018,147,-0.011018257235003217
K03,倒鎚（兩根）,20,2019,150,0.01014090331013977
K03,倒鎚（兩根）,20,2020,208,-0.004584558396224609
K03,倒鎚（兩根）,20,2021,115,-0.01917107677259173
K03,倒鎚（兩根）,20,2022,175,0.0061268681195455746
K03,倒鎚（兩根）,20,2023,138,0.016625595367556898
K03,倒鎚（兩根）,20,2024,168,0.0007743946175406165
K03,倒鎚（兩根）,20,2025,226,0.013459924592568532
K03,倒鎚（兩根）,20,2026,66,0.007908157243913224
K03,倒鎚（兩根）,60,2017,112,0.023045631217860213
K03,倒鎚（兩根）,60,2018,140,0.0068239297711443995
K03,倒鎚（兩根）,60,2019,144,0.016595713060203503
K03,倒鎚（兩根）,60,2020,206,-0.0062871220843193215
K03,倒鎚（兩根）,60,2021,111,-0.02496389753626708
K03,倒鎚（兩根）,60,2022,173,0.013087089878957141
K03,倒鎚（兩根）,60,2023,135,0.04049195219286693
K03,倒鎚（兩根）,60,2024,168,-0.029760294740745225
K03,倒鎚（兩根）,60,2025,224,0.027526980019193452
K03,倒鎚（兩根）,60,2026,44,0.06710375580559678
K03,倒鎚（兩根）,120,2017,111,0.03375866549068439
K03,倒鎚（兩根）,120,2018,135,0.0024978299172459294
K03,倒鎚（兩根）,120,2019,140,0.025218663458669844
K03,倒鎚（兩根）,120,2020,199,-0.012264289691206883
K03,倒鎚（兩根）,120,2021,110,-0.009802572576210972
K03,倒鎚（兩根）,120,2022,165,-0.00790616262016623
K03,倒鎚（兩根）,120,2023,133,0.060105790439410764
K03,倒鎚（兩根）,120,2024,164,-0.026235026642769436
K03,倒鎚（兩根）,120,2025,220,0.043928898471109895
K03,倒鎚（兩根）,120,2026,13,0.21177099137718278
K04,相同低點,20,2017,4229,0.002029780660878721
K04,相同低點,20,2018,4808,0.0016426257271705583
K04,相同低點,20,2019,4441,-0.00012357559765972968
K04,相同低點,20,2020,3879,0.0010661367146446424
K04,相同低點,20,2021,4277,0.0034923909727867315
K04,相同低點,20,2022,4528,0.001938695952341308
K04,相同低點,20,2023,4563,0.0007971366518457375
K04,相同低點,20,2024,5226,0.0012737878980636711
K04,相同低點,20,2025,5169,2.6738079127414518e-05
K04,相同低點,20,2026,2719,-0.0006961222894788922
K04,相同低點,60,2017,4199,0.0012783911136086457
K04,相同低點,60,2018,4769,0.0003224916806549434
K04,相同低點,60,2019,4414,0.000782732965403864
K04,相同低點,60,2020,3858,-0.0036840799273337183
K04,相同低點,60,2021,4256,0.00684168412276654
K04,相同低點,60,2022,4501,-0.0015870119134460763
K04,相同低點,60,2023,4546,-0.00037001922929069897
K04,相同低點,60,2024,5209,0.0022742086803782917
K04,相同低點,60,2025,5152,-0.00010869463310463594
K04,相同低點,60,2026,2030,-0.0013742839015392673
K04,相同低點,120,2017,4160,-0.0002786563642268664
K04,相同低點,120,2018,4714,0.0017124611175274062
K04,相同低點,120,2019,4374,-0.0024033690422211864
K04,相同低點,120,2020,3819,-0.007465421728561627
K04,相同低點,120,2021,4218,-0.0012937357076329814
K04,相同低點,120,2022,4461,-0.00431243612020773
K04,相同低點,120,2023,4512,-0.0037350032745050135
K04,相同低點,120,2024,5181,-0.0028568188681691027
K04,相同低點,120,2025,5122,0.000695149406472985
K04,相同低點,120,2026,764,-0.01075295322858072
K05,跳空雙黑線,20,2017,850,0.0010068389896390327
K05,跳空雙黑線,20,2018,1913,0.0030964311475140224
K05,跳空雙黑線,20,2019,1044,0.003591331374813881
K05,跳空雙黑線,20,2020,1705,0.0010775871467665634
K05,跳空雙黑線,20,2021,1467,-0.008463706596592407
K05,跳空雙黑線,20,2022,2741,-8.646257742209318e-06
K05,跳空雙黑線,20,2023,1089,0.0033626267781284324
K05,跳空雙黑線,20,2024,2308,0.006406313473953426
K05,跳空雙黑線,20,2025,1780,0.00016406608867851612
K05,跳空雙黑線,20,2026,1186,0.006189219695136325
K05,跳空雙黑線,60,2017,841,-0.000672339930857051
K05,跳空雙黑線,60,2018,1889,-0.0032900004892998393
K05,跳空雙黑線,60,2019,1031,0.0032012675096283302
K05,跳空雙黑線,60,2020,1699,0.010003396842955056
K05,跳空雙黑線,60,2021,1453,0.002604124132457615
K05,跳空雙黑線,60,2022,2721,-0.006942653537303765
K05,跳空雙黑線,60,2023,1087,0.006917186360944455
K05,跳空雙黑線,60,2024,2291,0.004827411264564328
K05,跳空雙黑線,60,2025,1772,0.0003978257143262599
K05,跳空雙黑線,60,2026,726,0.041313183646713096
K05,跳空雙黑線,120,2017,829,0.002651726982678369
K05,跳空雙黑線,120,2018,1868,-0.005514176363741222
K05,跳空雙黑線,120,2019,1019,0.00530403359483353
K05,跳空雙黑線,120,2020,1683,0.02616109732664635
K05,跳空雙黑線,120,2021,1433,-0.000309425488925515
K05,跳空雙黑線,120,2022,2685,-0.011130020718564502
K05,跳空雙黑線,120,2023,1078,0.018027473357588038
K05,跳空雙黑線,120,2024,2279,-0.0011109738829005588
K05,跳空雙黑線,120,2025,1757,0.0004913499140391254
K05,跳空雙黑線,120,2026,244,0.020705697105117153
K06,空頭Breakaway,20,2017,7,0.004855288975401426
K06,空頭Breakaway,20,2018,6,0.03036554380603045
K06,空頭Breakaway,20,2019,9,-0.019205236475924557
K06,空頭Breakaway,20,2020,5,0.09995715816942242
K06,空頭Breakaway,20,2021,6,-0.1363790906220245
K06,空頭Breakaway,20,2022,6,0.08419854117025972
K06,空頭Breakaway,20,2023,5,-0.11639851810300612
K06,空頭Breakaway,20,2024,4,0.08746702596030946
K06,空頭Breakaway,20,2025,12,0.03173844037866659
K06,空頭Breakaway,20,2026,4,0.09209927670184495
K06,空頭Breakaway,120,2017,7,0.02821950978484219
K06,空頭Breakaway,120,2018,6,-0.03870003687891919
K06,空頭Breakaway,120,2019,9,-0.010699442913549486
K06,空頭Breakaway,120,2020,5,0.271190633304074
K06,空頭Breakaway,120,2021,6,0.06895215978920638
K06,空頭Breakaway,120,2022,6,0.27133432517258166
K06,空頭Breakaway,120,2023,5,-0.23236821603702912
K06,空頭Breakaway,120,2024,4,-0.09527339093332743
K06,空頭Breakaway,120,2025,12,-0.040076708761458114
K06,空頭Breakaway,120,2026,1,-1.0750558419863745
K07,晨星,20,2017,20,0.004954540733508195
K07,晨星,20,2018,30,-0.022087159089219446
K07,晨星,20,2019,28,0.02371879578925539
K07,晨星,20,2020,53,-0.0013962418142394561
K07,晨星,20,2021,46,-0.015081808838960013
K07,晨星,20,2022,58,-0.009485752886756014
K07,晨星,20,2023,25,0.007408576601175137
K07,晨星,20,2024,47,0.02589662275780127
K07,晨星,20,2025,123,0.01283758676532221
K07,晨星,20,2026,42,-0.012584408045608734
K07,晨星,60,2017,20,0.03487132202392345
K07,晨星,60,2018,30,-0.049581760310860236
K07,晨星,60,2019,28,0.03883874862909372
K07,晨星,60,2020,53,-0.02002569936968119
K07,晨星,60,2021,45,-0.05655826781048015
K07,晨星,60,2022,58,-0.0026970887414042464
K07,晨星,60,2023,25,0.015034914322376483
K07,晨星,60,2024,47,0.09144474432112323
K07,晨星,60,2025,122,0.008285510705957995
K07,晨星,60,2026,26,0.029167835568292215
K07,晨星,120,2017,20,0.14312682504812638
K07,晨星,120,2018,30,-0.09262622004711223
K07,晨星,120,2019,28,0.15252365687078556
K07,晨星,120,2020,53,-0.01857489645450236
K07,晨星,120,2021,44,-0.05423950533809265
K07,晨星,120,2022,57,-0.030691427529207782
K07,晨星,120,2023,24,0.088436156307643
K07,晨星,120,2024,46,0.023744076310379728
K07,晨星,120,2025,121,-0.009711210768584045
K07,晨星,120,2026,10,0.38291745253785564
K08,貫穿線,20,2017,156,0.001300285024866097
K08,貫穿線,20,2018,282,-0.0035406489573742944
K08,貫穿線,20,2019,216,-0.005145398817755362
K08,貫穿線,20,2020,267,0.002619992584435624
K08,貫穿線,20,2021,388,-0.006830691849417479
K08,貫穿線,20,2022,309,0.007303267984873915
K08,貫穿線,20,2023,175,-0.0005389497793405378
K08,貫穿線,20,2024,250,0.01775816579551865
K08,貫穿線,20,2025,226,-0.00012799734423546378
K08,貫穿線,20,2026,106,-0.01848339700069895
K08,貫穿線,60,2017,156,-0.0009133101360011894
