vid,型態,H,結果,n_eff,d×X̄,|d×X̄|,來回成本,|d×X̄|−成本,夠付成本,CI近0端絕對值,CI近0端也大於成本（描述）,假訊號x／30,無假訊號警語6格,措辭
K14,長黑日,60,結果②,38,0.0040386449813637,0.0040386449813637,0.00585,-0.0018113550186363006,False,0.0020271901685114,False,0,True,測得出，但扣成本後不夠付交易成本
K44,收盤白色光頭光腳,20,結果②,113,0.0020882107162183,0.0020882107162183,0.00585,-0.0037617892837817,False,0.0009623448358565,False,0,True,測得出，但扣成本後不夠付交易成本
S06,上升三角_向上,20,結果②,110,0.0118762567029574,0.0118762567029574,0.00585,0.0060262567029574,True,0.006557336410271,True,1,True,扣成本後差距大於一次來回成本
S09,下降三角_向下,20,結果②,110,0.0088272986753701,0.0088272986753701,0.00585,0.002977298675370099,True,0.004587628482072,False,1,True,扣成本後差距大於一次來回成本｜要賺到須放空（借券費不在 0.585% 內）
S09,下降三角_向下,60,結果②,38,0.0186288019686322,0.0186288019686322,0.00585,0.012778801968632198,True,0.0089573095618003,True,15,False,扣成本後差距大於一次來回成本｜要賺到須放空（借券費不在 0.585% 內）
S10,上升楔形_向上,20,結果②,108,0.012227832035694,0.012227832035694,0.00585,0.006377832035694001,True,0.0068789213602317,True,3,False,扣成本後差距大於一次來回成本
S10,上升楔形_向上,60,結果②,37,0.0232748896520444,0.0232748896520444,0.00585,0.0174248896520444,True,0.0132256330090632,True,5,False,扣成本後差距大於一次來回成本
S13,下降楔形_向下,20,結果②,109,0.0096330817152005,0.0096330817152005,0.00585,0.0037830817152004993,True,0.0055283847197289,False,6,False,扣成本後差距大於一次來回成本｜要賺到須放空（借券費不在 0.585% 內）
S26,島型底,20,結果③,113,-0.0047684677707632,0.0047684677707632,0.00585,-0.0010815322292368002,False,0.0023619650239925,False,0,True,測得出，但扣成本後不夠付交易成本｜要賺到須放空（借券費不在 0.585% 內）
S27,V型反轉,20,結果③,69,-0.0309040458980249,0.0309040458980249,0.00585,0.025054045898024898,True,0.0163723429410695,True,0,True,扣成本後差距大於一次來回成本｜要賺到須放空（借券費不在 0.585% 內）
S28,平台整理,20,結果②,112,0.0123539422852226,0.0123539422852226,0.00585,0.0065039422852226,True,0.0059636446186702,True,22,False,扣成本後差距大於一次來回成本
S28,平台整理,60,結果②,38,0.0338246365984501,0.0338246365984501,0.00585,0.0279746365984501,True,0.0173224560240157,True,29,False,扣成本後差距大於一次來回成本
