vid,型態,族,H,d,名稱方向,原始,合併後,合併掉,剔除_硬斷點,剔除_T+1停牌,剔除_T+1開盤漲停,剔除_T+1開盤跌停,保留,身分,n_eff上限,n,dX̄,中位,勝率,最差,p10,p90,se,lo,hi,群數,分群單位,bonf_lo,bonf_hi,bonf不含0,se_非重疊,lo_非重疊,hi_非重疊,非重疊區段數,n_eff,出口,結果,配對剔除數,對照數_中位,對照數_最小,X̄（未乘d）,R̄,對照R̄,只配r10_對照數_中位,配對剔除明細,未配對_dXu_n,未配對_dXu_平均,未配對_dXu_lo,未配對_dXu_hi,未配對_dXu_標籤,只配r10_dX_n,只配r10_dX_平均,只配r10_dX_lo,只配r10_dX_hi,只配r10_dX_標籤,上市_n,上市_平均,上市_lo,上市_hi,上市_標籤,上櫃_n,上櫃_平均,上櫃_lo,上櫃_hi,上櫃_標籤,假訊號_新預設_x2,假訊號_新預設_x3,假訊號_新預設_平均dX,假訊號_新預設_帳,假訊號_不排除_x2,假訊號_不排除_x3,假訊號_不排除_平均dX,假訊號_不排除_帳,120日區段數,註,句子
K01,三隻烏鴉,K,20,-1,-1.0,625,597,28,2,0,1,0,594,判定格,106.0,591.0,-0.004806221299443199,0.005485926628049559,0.5313028764805414,-1.1322983285182378,-0.11200365572729011,0.10197185092622045,0.0044847376886580515,-0.013596307169212979,0.003983864570326581,106.0,曆月,-0.021109086817957638,0.01149664421907124,False,0.007472672130601618,-0.01945265867542237,0.00984021607653597,110.0,106.0,出口③,結果①,3.0,18.0,1.0,0.004806221299443199,0.010541317887106246,0.005735096587663047,170.0,"{""配對格無對照股"": 3}",591.0,-0.003355512096307141,-0.012117748860658643,0.005406724668044361,結果①,594.0,-0.0007294421789352228,-0.009680090387403363,0.008221206029532918,結果①,332.0,-0.0020788016915991173,-0.01294420307467491,0.008786599691476677,結果①,259.0,-0.008302373074749122,-0.023788076529518233,0.007183330380019989,結果①,0.0,0.0,0.000860801811639632,"{""抽出"": 17820, ""剔除"": 235, ""配對格無對照股"": 16, ""可抽日不足"": 0, ""錨點不可算"": 0}",0.0,1.0,-0.00015569456291707618,"{""抽出"": 17820, ""剔除"": 215, ""配對格無對照股"": 8, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,三隻烏鴉之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ -0.48%，95% CI -1.36% ～ +0.40%）
K01,三隻烏鴉,K,60,-1,-1.0,618,591,27,4,0,1,0,586,判定格,38.0,583.0,-0.004944364407216983,0.021516662754514,0.5849056603773585,-2.7152021585030752,-0.24051488216463082,0.21181116043930465,0.010014115590897302,-0.024572030965375694,0.01468330215094173,38.0,60日區段,-0.041347559220180206,0.03145883040574624,False,0.011114387244955573,-0.026728563407329906,0.016839834592895942,38.0,38.0,出口②,結果①,3.0,18.0,1.0,0.004944364407216983,0.045765718371785606,0.040821353964568624,169.0,"{""配對格無對照股"": 3}",583.0,-0.007588776884180559,-0.02622286561312874,0.011045311844767624,結果①,586.0,-8.733285694625198e-06,-0.018571899068722173,0.018554432497332924,結果①,325.0,-0.014124242940154517,-0.04279408399298928,0.014545598112680245,結果①,258.0,0.006619436070320607,-0.015908990632515902,0.029147862773157115,結果①,0.0,3.0,-0.0010913003382976923,"{""抽出"": 17580, ""剔除"": 352, ""配對格無對照股"": 13, ""可抽日不足"": 0, ""錨點不可算"": 0}",2.0,0.0,0.002669897369907185,"{""抽出"": 17580, ""剔除"": 322, ""配對格無對照股"": 14, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：三隻烏鴉之後 60 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ -0.49%，95% CI -2.46% ～ +1.47%）
K01,三隻烏鴉,K,120,-1,-1.0,605,578,27,10,0,1,0,567,H120 描述,,564.0,0.009016087234781279,0.038488490042209667,0.5851063829787234,-1.7959598564233532,-0.32840703749158945,0.3000055017827376,,,,,,,,,,,,,,,H120描述,3.0,17.0,1.0,-0.009016087234781279,0.0687554370360024,0.07777152427078367,168.0,"{""配對格無對照股"": 3}",564.0,0.004750370198148473,,,,567.0,0.0185836287721903,,,,313.0,6.980553502359447e-05,,,,251.0,0.020172207442048822,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,三隻烏鴉（H120）：依構造不可判定（只描述：d×X̄ +0.90%、中位 +3.85%）
K02,昏星,K,20,-1,-1.0,414,410,4,6,3,1,2,398,判定格,104.0,398.0,0.008206426552907514,0.020278775507169028,0.628140703517588,-1.5633155808603658,-0.11490276327909062,0.13478887266891595,0.006910845728036626,-0.005338831074044273,0.0217516841798593,104.0,曆月,-0.01691579827828297,0.033328651384098,False,0.009756567292248844,-0.01091644533990022,0.027329298445715248,108.0,104.0,出口③,結果①,0.0,18.0,1.0,-0.008206426552907514,0.00617900672647185,0.014385433279379365,169.0,{},398.0,0.005060468279660098,-0.008117312198212927,0.01823824875753312,結果①,398.0,0.00793105295784296,-0.004771766640509767,0.020633872556195688,結果①,209.0,0.0018682561533574055,-0.019475159713883163,0.023211672020597974,結果①,189.0,0.015215302814843883,-0.0016292701155466785,0.032059875745234445,結果①,0.0,1.0,-0.0036956212715087444,"{""抽出"": 11940, ""剔除"": 296, ""配對格無對照股"": 8, ""可抽日不足"": 0, ""錨點不可算"": 0}",0.0,0.0,-0.0018552545268705762,"{""抽出"": 11940, ""剔除"": 266, ""配對格無對照股"": 9, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,昏星之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.82%，95% CI -0.53% ～ +2.18%）
K02,昏星,K,60,-1,-1.0,386,382,4,13,3,1,2,363,判定格,38.0,363.0,0.02084962560274505,0.03274797182844571,0.6115702479338843,-1.0398372970311747,-0.22135100185031753,0.23755829668586073,0.009602345445608078,0.002029028529353216,0.03967022267613688,38.0,60日區段,-0.014056707237629074,0.055755958443119175,False,0.008221280429860013,0.004735915960219422,0.03696333524527068,38.0,38.0,出口②,結果②,0.0,17.0,1.0,-0.02084962560274505,0.03350823188566463,0.05435785748840968,168.0,{},363.0,0.012928661630413042,-0.0018286077440793306,0.027685931004905413,結果①,363.0,0.021283097273302992,0.00472472796727056,0.037841466579335424,結果②,196.0,0.02699448642104011,0.0009545168382382209,0.053034456003842004,結果②,167.0,0.013637693145344862,-0.01762525125617706,0.04490063754686678,結果①,0.0,2.0,-0.011931133975815257,"{""抽出"": 10890, ""剔除"": 329, ""配對格無對照股"": 7, ""可抽日不足"": 0, ""錨點不可算"": 0}",0.0,3.0,-0.00995537318134184,"{""抽出"": 10890, ""剔除"": 320, ""配對格無對照股"": 9, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：昏星之後 60 天，比同樣事前走勢、沒出現型態的股票，照文獻實測方向多走 2.08%（95% CI +0.20% ～ +3.97%）；單格過關、但全族與運氣分不開（Bonferroni 下界含 0，⛔ 不單獨引用）；照名稱方向讀：名稱方向（看跌）多走 +2.08%
K02,昏星,K,120,-1,-1.0,369,365,4,21,3,1,2,338,H120 描述,,338.0,0.004112377752364246,0.05206765406272732,0.6153846153846154,-3.637554222735891,-0.3034183684542227,0.313932243782095,,,,,,,,,,,,,,,H120描述,0.0,17.0,1.0,-0.004112377752364246,0.0939209700521859,0.09803334780455014,166.0,{},338.0,-0.005548772190591255,,,,338.0,0.0061070615606478515,,,,189.0,-0.002860673076536836,,,,149.0,0.012957388535332735,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,昏星（H120）：依構造不可判定（只描述：d×X̄ +0.41%、中位 +5.21%）
K03,倒鎚（兩根）,K,20,-1,1.0,1717,1678,39,46,58,7,58,1509,判定格,113.0,1507.0,0.003237657454943236,0.010716524055173975,0.5600530856005309,-1.3004689717508973,-0.10525631358702123,0.10940239035043753,0.002779279600553489,-0.002209730562141602,0.008685045472028073,113.0,曆月,-0.00686554694890943,0.013340861858795901,False,0.0038380360917681256,-0.00428489328492229,0.010760208194808761,115.0,113.0,出口③,結果①,2.0,17.0,1.0,-0.003237657454943236,0.019886099789473945,0.023123757244417186,168.0,"{""配對格無對照股"": 2}",1507.0,-0.001319254453276094,-0.011396583088334472,0.008758074181782283,結果①,1509.0,-0.0005668369056990902,-0.007712910820724764,0.006579237009326585,結果①,672.0,0.003416597741111544,-0.004736633239544229,0.011569828721767317,結果①,835.0,0.0030936480270329332,-0.0044795613647964794,0.010666857418862346,結果①,1.0,1.0,0.000319635576934762,"{""抽出"": 45270, ""剔除"": 1584, ""配對格無對照股"": 30, ""可抽日不足"": 0, ""錨點不可算"": 0}",0.0,2.0,-0.0008218448623873808,"{""抽出"": 45270, ""剔除"": 1563, ""配對格無對照股"": 39, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,倒鎚（兩根）之後 20 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.32%，95% CI -0.22% ～ +0.87%）
K03,倒鎚（兩根）,K,60,-1,1.0,1692,1654,38,85,47,6,57,1459,判定格,38.0,1457.0,0.009409377575519186,0.032819781503759894,0.6060398078242965,-2.233296766833621,-0.18187267591556683,0.2067212090168437,0.005679375152973417,-0.001722197724308712,0.020540952875347084,38.0,60日區段,-0.011236219954583697,0.03005497510562207,False,0.006959267096436245,-0.004230785933495854,0.023049541084534227,38.0,38.0,出口②,結果①,2.0,17.0,1.0,-0.009409377575519186,0.050236312334365825,0.05964568990988501,166.0,"{""配對格無對照股"": 2}",1457.0,0.0038086116579755464,-0.013359274844155004,0.020976498160106095,結果①,1459.0,0.0031633142949641277,-0.009400661517969705,0.01572729010789796,結果①,660.0,0.012302558574917827,-0.0017145385198859692,0.026319655669721623,結果①,797.0,0.007013518780534113,-0.011008130945199195,0.02503516850626742,結果①,3.0,0.0,0.002654183845470674,"{""抽出"": 43770, ""剔除"": 2021, ""配對格無對照股"": 31, ""可抽日不足"": 0, ""錨點不可算"": 0}",2.0,2.0,0.0007165932991605746,"{""抽出"": 43770, ""剔除"": 2006, ""配對格無對照股"": 43, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,樣本中等（n_eff＝38，介於 30 與 100 之間）：倒鎚（兩根）之後 60 天，比同樣事前走勢、沒出現型態的股票：測不出（d×X̄ +0.94%，95% CI -0.17% ～ +2.05%）
K03,倒鎚（兩根）,K,120,-1,1.0,1654,1618,36,126,39,6,55,1392,H120 描述,,1390.0,0.013597514128649022,0.053217377362294815,0.6136690647482015,-4.937467235946989,-0.30289153715703254,0.34028976878579614,,,,,,,,,,,,,,,H120描述,2.0,17.0,1.0,-0.013597514128649022,0.09612455954562585,0.10972207367427488,164.0,"{""配對格無對照股"": 2}",1390.0,0.007902578348475391,,,,1392.0,0.007531668443395342,,,,632.0,-0.0012008563878264087,,,,758.0,0.02593599719779477,,,,,,,,,,,,19.0,依構造不可判定（只描述；⛔ 不印 CI）,倒鎚（兩根）（H120）：依構造不可判定（只描述：d×X̄ +1.36%、中位 +5.32%）
K04,相同低點,K,20,-1,1.0,69510,44193,25317,107,160,19,19,43888,判定格,113.0,43839.0,0.0011935355775535823,0.008987748599033167,0.5663906567211844,-1.5657496693073791,-0.08948068178051019,0.09194361845258996,0.0005113899604746428,0.0001912112550232826,0.002195859900083882,113.0,曆月,-0.0006654631715195646,0.003052534326626729,False,0.0005315131069992822,0.0001517698878349893,0.002235301267272175,115.0,113.0,出口③,結果②,49.0,16.0,1.0,-0.0011935355775535823,0.004583476315747885,0.005777011893301467,160.0,"{""配對格無對照股"": 49}",43839.0,0.004613979991579849,0.003187240427149146,0.006040719556010553,結果②,43887.0,0.002045307320282764,0.001045708652635599,0.003044905987929929,結果②,24519.0,0.0009463582286891684,-0.0003054549627649119,0.002198171420143249,結果①,19320.0,0.0015072281974711065,-0.00012655064454005437,0.0031410070394822676,結果①,0.0,0.0,0.00012928681766326687,"{""抽出"": 1316640, ""剔除"": 18211, ""配對格無對照股"": 1271, ""可抽日不足"": 0, ""錨點不可算"": 0}",5.0,0.0,0.0005161085460640055,"{""抽出"": 1316640, ""剔除"": 16535, ""配對格無對照股"": 1195, ""可抽日不足"": 0, ""錨點不可算"": 0}",,,相同低點之後 20 天，比同樣事前走勢、沒出現型態的股票，照文獻實測方向多走 0.12%（95% CI +0.02% ～ +0.22%）；單格過關、但全族與運氣分不開（Bonferroni 下界含 0，⛔ 不單獨引用）；照名稱方向讀：名稱方向（看漲）多走 -0.12%
