vid,H,版本,r,n,平均,lo,hi,n_eff,出口,結果
K01,20,新預設,0,588,0.0003551653039299918,-0.011011219262399053,0.011721549870259036,113,出口③,結果①
K01,20,新預設,1,583,0.007037199811582523,-0.002440347606297426,0.016514747229462473,112,出口③,結果①
K01,20,新預設,2,589,-0.0016147479618855971,-0.011133469904648,0.007903973980876807,111,出口③,結果①
K01,20,新預設,3,579,0.00348550963921761,-0.006857617340314448,0.01382863661874967,106,出口③,結果①
K01,20,新預設,4,587,0.002515303224511771,-0.006296564105877135,0.011327170554900678,112,出口③,結果①
K01,20,新預設,5,586,-0.0001593665025519032,-0.009985766960085107,0.009667033954981299,111,出口③,結果①
K01,20,新預設,6,587,-0.004470357704050672,-0.0140996185992114,0.005158903191110057,109,出口③,結果①
K01,20,新預設,7,583,-0.0025690684462267286,-0.011407317336787078,0.006269180444333621,111,出口③,結果①
K01,20,新預設,8,586,4.537766715045512e-05,-0.011183874443538695,0.011274629777839607,110,出口③,結果①
K01,20,新預設,9,585,-0.009038842017225358,-0.021180297461970338,0.0031026134275196193,112,出口③,結果①
K01,20,新預設,10,580,0.003784096438015085,-0.004612723149831155,0.012180916025861325,107,出口③,結果①
K01,20,新預設,11,586,-0.001559117942642636,-0.011696561149763645,0.008578325264478373,108,出口③,結果①
K01,20,新預設,12,587,0.0018594243662620733,-0.008681210704067924,0.01240005943659207,113,出口③,結果①
K01,20,新預設,13,584,0.0030422501661367474,-0.009878578095745699,0.015963078428019195,111,出口③,結果①
K01,20,新預設,14,585,0.006484434113174645,-0.003988374175611892,0.01695724240196118,112,出口③,結果①
K01,20,新預設,15,588,0.0022763847921289226,-0.00829384199283015,0.012846611577087995,110,出口③,結果①
K01,20,新預設,16,586,-0.0028136586016112367,-0.012988026524851766,0.007360709321629293,113,出口③,結果①
K01,20,新預設,17,583,0.005404266493327116,-0.004780418436761418,0.01558895142341565,111,出口③,結果①
K01,20,新預設,18,589,0.009756449058762474,-0.000966633017606279,0.020479531135131228,112,出口③,結果①
K01,20,新預設,19,589,-0.00620013142446075,-0.016268826761811774,0.003868563912890273,110,出口③,結果①
K01,20,新預設,20,588,0.00037277892049958426,-0.01058086390667494,0.011326421747674106,112,出口③,結果①
K01,20,新預設,21,587,0.003389492494100202,-0.00640843047371115,0.013187415461911555,110,出口③,結果①
K01,20,新預設,22,581,-0.00020752882023361801,-0.009696895396405955,0.00928183775593872,110,出口③,結果①
K01,20,新預設,23,586,0.000868655504494555,-0.007781858825536801,0.009519169834525911,111,出口③,結果①
K01,20,新預設,24,583,-0.0014208449491917784,-0.01176679077143754,0.008925100873053983,112,出口③,結果①
K01,20,新預設,25,584,-0.0026028753184881084,-0.01508806034694498,0.009882309709968763,110,出口③,結果①
K01,20,新預設,26,587,-0.002574243379117284,-0.01256400227047156,0.0074155155122369925,110,出口③,結果①
K01,20,新預設,27,589,-0.0008215241691693256,-0.011055125792254287,0.009412077453915637,108,出口③,結果①
K01,20,新預設,28,587,0.004780493585629524,-0.006629462773474513,0.01619044994473356,111,出口③,結果①
K01,20,新預設,29,587,0.006419080007120671,-0.0025566404312464455,0.015394800445487787,110,出口③,結果①
K01,20,不排除,0,583,0.0007628377528800396,-0.00945099998363297,0.01097667548939305,113,出口③,結果①
K01,20,不排除,1,587,0.0013182482156405032,-0.009505569636120582,0.012142066067401588,111,出口③,結果①
K01,20,不排除,2,590,-0.017714956364719776,-0.029521940443235972,-0.005907972286203579,112,出口③,結果③
K01,20,不排除,3,584,-0.012956549309044952,-0.027155398744013744,0.0012423001259238408,112,出口③,結果①
K01,20,不排除,4,587,-0.00010559704638317646,-0.010821184924130136,0.010609990831363785,111,出口③,結果①
K01,20,不排除,5,591,0.001525543250514445,-0.008592584660152523,0.011643671161181413,111,出口③,結果①
K01,20,不排除,6,586,0.003803658941337461,-0.0075873246748085765,0.015194642557483498,108,出口③,結果①
K01,20,不排除,7,587,0.002588290762028617,-0.006318847182762861,0.011495428706820096,111,出口③,結果①
K01,20,不排除,8,585,0.008480561144098451,-0.0024347390060501326,0.019395861294247037,112,出口③,結果①
K01,20,不排除,9,584,0.005588445072495851,-0.004005578144355977,0.015182468289347679,110,出口③,結果①
K01,20,不排除,10,587,-0.0012951079158727017,-0.012253386337960453,0.009663170506215051,110,出口③,結果①
K01,20,不排除,11,586,-0.0024111282299689838,-0.014111312075648343,0.009289055615710376,113,出口③,結果①
K01,20,不排除,12,590,0.0020553461217910165,-0.007608751448779561,0.011719443692361593,111,出口③,結果①
K01,20,不排除,13,589,0.001837355324567858,-0.006990930779853811,0.010665641428989526,111,出口③,結果①
K01,20,不排除,14,584,-8.015116826224712e-05,-0.011628269587902966,0.011467967251378473,113,出口③,結果①
K01,20,不排除,15,590,0.0019046518651471918,-0.009849705929074755,0.013659009659369139,113,出口③,結果①
K01,20,不排除,16,587,0.005717628850760832,-0.004120846501930267,0.015556104203451932,111,出口③,結果①
K01,20,不排除,17,585,-0.0018143798476334442,-0.012446421041254147,0.008817661345987259,112,出口③,結果①
K01,20,不排除,18,586,-0.0021508897886513057,-0.010695901660006932,0.006394122082704321,110,出口③,結果①
K01,20,不排除,19,581,-0.0044619442387823964,-0.0167028598680666,0.00777897139050181,111,出口③,結果①
K01,20,不排除,20,588,-0.0029096459784069785,-0.01380259939295007,0.007983307436136112,112,出口③,結果①
K01,20,不排除,21,588,-0.0007498847662577508,-0.01048225841739031,0.008982488884874807,111,出口③,結果①
K01,20,不排除,22,586,-0.002210741237157241,-0.0124803114994724,0.00805882902515792,112,出口③,結果①
K01,20,不排除,23,590,0.004239701241125273,-0.00518764794371138,0.013667050425961925,111,出口③,結果①
K01,20,不排除,24,585,0.006989970523289938,-0.0027882578298445955,0.016768198876424473,109,出口③,結果①
K01,20,不排除,25,581,0.00039222551684257363,-0.00832213356125585,0.009106584594940997,112,出口③,結果①
K01,20,不排除,26,585,0.0002826270102832386,-0.008844561148589515,0.009409815169155991,112,出口③,結果①
K01,20,不排除,27,585,0.007209725732388802,-0.0018567229261982872,0.01627617439097589,109,出口③,結果①
K01,20,不排除,28,590,-0.005834765811247108,-0.017072395448595765,0.005402863826101549,112,出口③,結果①
K01,20,不排除,29,590,-0.00467191251031631,-0.01597292937203351,0.006629104351400888,110,出口③,結果①
K01,60,新預設,0,573,0.01543190183916182,-0.003731472731396823,0.03459527640972046,38,出口②,結果①
K01,60,新預設,1,574,0.0050515717130791326,-0.017028473186468305,0.02713161661262657,38,出口②,結果①
K01,60,新預設,2,576,-0.0026317311692447424,-0.02320288850208777,0.017939426163598286,38,出口②,結果①
K01,60,新預設,3,573,0.008311814939695123,-0.009367242715547902,0.025990872594938146,38,出口②,結果①
K01,60,新預設,4,579,0.006418759895603308,-0.01112878329925227,0.023966303090458885,38,出口②,結果①
K01,60,新預設,5,575,-0.015004699383688395,-0.039252547864814906,0.009243149097438114,38,出口②,結果①
K01,60,新預設,6,574,0.000966126049957262,-0.015126526608219767,0.01705877870813429,38,出口②,結果①
K01,60,新預設,7,578,-0.023617598245084,-0.043360077676054425,-0.003875118814113572,38,出口②,結果③
K01,60,新預設,8,577,0.0021650627160074397,-0.020933586825464024,0.025263712257478903,38,出口②,結果①
K01,60,新預設,9,568,-0.005918808155188734,-0.029487090852931594,0.017649474542554125,38,出口②,結果①
K01,60,新預設,10,575,-0.001965983355049541,-0.019409621063871063,0.01547765435377198,38,出口②,結果①
K01,60,新預設,11,572,0.008048257077284397,-0.009661283771191014,0.025757797925759808,38,出口②,結果①
K01,60,新預設,12,577,-0.008098230835884873,-0.02287122376159015,0.006674762089820405,38,出口②,結果①
K01,60,新預設,13,572,-0.013640384781502557,-0.04088844078306303,0.013607671220057913,38,出口②,結果①
K01,60,新預設,14,574,0.013842167965045199,-0.005734801994873973,0.03341913792496437,38,出口②,結果①
K01,60,新預設,15,573,-0.026669309062356244,-0.05189331754651184,-0.0014453005782006506,38,出口②,結果③
K01,60,新預設,16,569,0.005628853743879714,-0.013349213316929096,0.024606920804688525,38,出口②,結果①
K01,60,新預設,17,579,0.005626758667828215,-0.00858526245667716,0.01983877979233359,38,出口②,結果①
K01,60,新預設,18,572,0.01685040261342921,-0.001742416672720369,0.03544322189957879,38,出口②,結果①
K01,60,新預設,19,571,-0.026083008580302942,-0.045717036549269924,-0.0064489806113359645,38,出口②,結果③
K01,60,新預設,20,570,-0.017061987415527554,-0.03704250770223273,0.0029185328711776246,38,出口②,結果①
K01,60,新預設,21,573,0.004963068795793855,-0.01640961843380025,0.02633575602538796,38,出口②,結果①
K01,60,新預設,22,573,0.01509755073191915,-0.00428604984425097,0.03448115130808927,38,出口②,結果①
K01,60,新預設,23,576,-0.0012888971300878034,-0.024010025821769247,0.021432231561593643,38,出口②,結果①
K01,60,新預設,24,577,0.0005077209151430488,-0.014936377075434328,0.015951818905720425,38,出口②,結果①
K01,60,新預設,25,576,-0.0007254847049385192,-0.019460265470553836,0.018009296060676798,38,出口②,結果①
K01,60,新預設,26,570,-0.011256426297184905,-0.02954777439600639,0.00703492180163658,38,出口②,結果①
K01,60,新預設,27,566,-0.003991607999224773,-0.023570500458852225,0.015587284460402678,38,出口②,結果①
K01,60,新預設,28,578,0.014198788292826793,-0.003551948979401384,0.03194952556505497,38,出口②,結果①
K01,60,新預設,29,575,0.0021063410096811624,-0.019528858915178287,0.023741540934540614,38,出口②,結果①
K01,60,不排除,0,575,0.00930966558290344,-0.006163843107801008,0.02478317427360789,38,出口②,結果①
K01,60,不排除,1,580,0.007710676600825136,-0.00830402010794683,0.023725373309597102,38,出口②,結果①
K01,60,不排除,2,571,-0.008426368274828355,-0.027078244160008418,0.010225507610351708,38,出口②,結果①
K01,60,不排除,3,576,-0.007116627590707266,-0.029895795027122987,0.015662539845708458,38,出口②,結果①
K01,60,不排除,4,574,0.0006413063232437585,-0.017637612312944743,0.018920224959432262,38,出口②,結果①
K01,60,不排除,5,575,0.011767459542357663,-0.005642935780399282,0.029177854865114608,38,出口②,結果①
K01,60,不排除,6,576,-0.01605036021931448,-0.04189430966823364,0.009793589229604681,38,出口②,結果①
K01,60,不排除,7,577,-0.01054044162829714,-0.03251221668710429,0.01143133343051001,38,出口②,結果①
K01,60,不排除,8,577,0.003955553806554808,-0.013504137630256994,0.02141524524336661,38,出口②,結果①
K01,60,不排除,9,580,-0.009467765029494231,-0.029965180619777265,0.011029650560788805,38,出口②,結果①
K01,60,不排除,10,575,0.00881130918701964,-0.01349759417722,0.03112021255125928,38,出口②,結果①
K01,60,不排除,11,574,0.009171130201959588,-0.01213084317483325,0.030473103578752426,38,出口②,結果①
K01,60,不排除,12,578,0.0074519998610048386,-0.009679330200370245,0.02458332992237992,38,出口②,結果①
K01,60,不排除,13,573,0.020573121834966922,0.005062469638360193,0.03608377403157365,38,出口②,結果②
K01,60,不排除,14,575,0.010100468415347763,-0.011362301414806803,0.03156323824550233,38,出口②,結果①
K01,60,不排除,15,573,0.008822352820190619,-0.006510075369689887,0.024154781010071125,38,出口②,結果①
K01,60,不排除,16,575,0.007996132814787747,-0.012770232985616328,0.028762498615191822,38,出口②,結果①
K01,60,不排除,17,572,0.011518071273902464,-0.005882132306690796,0.028918274854495725,38,出口②,結果①
K01,60,不排除,18,576,-0.006566216625769909,-0.02709650005577402,0.013964066804234204,38,出口②,結果①
K01,60,不排除,19,572,-0.00016237328585265432,-0.020807361971086364,0.020482615399381055,38,出口②,結果①
K01,60,不排除,20,572,-0.023425704594830135,-0.05243716876914095,0.005585759579480678,38,出口②,結果①
K01,60,不排除,21,575,0.0011466035421254538,-0.01847958372559055,0.02077279080984146,38,出口②,結果①
K01,60,不排除,22,573,-0.007877722014300021,-0.026739865732861932,0.010984421704261891,38,出口②,結果①
K01,60,不排除,23,575,0.017124369039754492,0.002096279174232888,0.0321524589052761,38,出口②,結果②
K01,60,不排除,24,574,-0.003475558036672366,-0.02066836298651092,0.013717246913166187,38,出口②,結果①
K01,60,不排除,25,578,-0.00013425851574834575,-0.01731340313033589,0.0170448860988392,38,出口②,結果①
K01,60,不排除,26,575,0.01786354178127834,-0.0006552933602201466,0.03638237692277683,38,出口②,結果①
K01,60,不排除,27,576,0.004375338659853757,-0.01294924491237934,0.021699922232086857,38,出口②,結果①
K01,60,不排除,28,569,0.005800917455810896,-0.011419001031419077,0.023020835943040868,38,出口②,結果①
K01,60,不排除,29,573,0.00920029816914312,-0.007940824695048624,0.026341421033334866,38,出口②,結果①
K02,20,新預設,0,390,0.0065144919799662495,-0.006306264996614486,0.019335248956546987,108,出口③,結果①
K02,20,新預設,1,391,-0.008455974781004546,-0.020960688542282113,0.004048738980273024,111,出口③,結果①
K02,20,新預設,2,386,-0.011699301208492023,-0.029633169834860418,0.006234567417876374,108,出口③,結果①
K02,20,新預設,3,386,-0.008173646070625458,-0.01928445222764233,0.0029371600863914143,108,出口③,結果①
K02,20,新預設,4,391,-0.004787951635556025,-0.01697357374091659,0.007397670469804541,107,出口③,結果①
K02,20,新預設,5,389,0.003895719161152535,-0.00969772314698311,0.01748916146928818,110,出口③,結果①
K02,20,新預設,6,386,-0.004174313834748719,-0.01527452324109862,0.006925895571601183,112,出口③,結果①
K02,20,新預設,7,387,0.009290888677824226,-0.0010726711569234784,0.01965444851257193,105,出口③,結果①
K02,20,新預設,8,388,-0.005037236119087336,-0.018904643537926535,0.008830171299751865,106,出口③,結果①
K02,20,新預設,9,384,-0.003942823979437979,-0.015679129792685487,0.007793481833809529,110,出口③,結果①
K02,20,新預設,10,391,-0.009046625073913824,-0.021148925386755984,0.003055675238928336,108,出口③,結果①
K02,20,新預設,11,388,0.005940302338459401,-0.005719412416626985,0.017600017093545785,107,出口③,結果①
K02,20,新預設,12,387,-0.005504530936608402,-0.016192020714331325,0.005182958841114521,104,出口③,結果①
K02,20,新預設,13,389,-0.011975237040610879,-0.027134792702199935,0.003184318620978179,101,出口③,結果①
K02,20,新預設,14,389,-0.006867553968415034,-0.018295369236700526,0.004560261299870456,107,出口③,結果①
K02,20,新預設,15,389,-0.00543975709871209,-0.018092924786735756,0.007213410589311576,106,出口③,結果①
K02,20,新預設,16,385,0.0008468174776702396,-0.01148940570023662,0.0131830406555771,107,出口③,結果①
K02,20,新預設,17,391,3.08062996467858e-05,-0.012587252987918926,0.012648865587212498,107,出口③,結果①
K02,20,新預設,18,388,0.001673092671772037,-0.008702613894052877,0.01204879923759695,108,出口③,結果①
K02,20,新預設,19,393,0.004792463095838197,-0.00589878447402822,0.015483710665704614,100,出口③,結果①
K02,20,新預設,20,384,0.0040917843940331865,-0.007002905864868213,0.015186474652934587,106,出口③,結果①
K02,20,新預設,21,392,-0.00881607818582929,-0.02068580105479149,0.0030536446831329125,109,出口③,結果①
K02,20,新預設,22,386,-0.004680633081717459,-0.01596172024923436,0.006600454085799444,109,出口③,結果①
K02,20,新預設,23,386,-0.007934740929159634,-0.020002346357767407,0.004132864499448139,105,出口③,結果①
K02,20,新預設,24,388,-0.003096383596194998,-0.013890416562729522,0.007697649370339525,105,出口③,結果①
K02,20,新預設,25,384,-0.0006365294768333266,-0.01176926508460886,0.010496206130942208,108,出口③,結果①
K02,20,新預設,26,388,-0.004902701674786554,-0.017958775177660376,0.00815337182808727,106,出口③,結果①
K02,20,新預設,27,386,-0.0005781211919239897,-0.01078673793441313,0.00963049555056515,109,出口③,結果①
K02,20,新預設,28,385,-0.01829178155874284,-0.03239104905735904,-0.004192514060126645,106,出口③,結果③
K02,20,新預設,29,389,-0.013903082799224776,-0.03047565051464534,0.002669484916195791,109,出口③,結果①
K02,20,不排除,0,389,-0.0018941138106611003,-0.014007436725732824,0.010219209104410624,107,出口③,結果①
K02,20,不排除,1,390,-0.005160418106800888,-0.01954363411071502,0.009222797897113243,112,出口③,結果①
K02,20,不排除,2,393,-0.0048836399265244235,-0.01657147540233836,0.0068041955492895104,107,出口③,結果①
K02,20,不排除,3,392,-0.000394132722855053,-0.012826450130704136,0.012038184684994029,105,出口③,結果①
K02,20,不排除,4,384,-0.004139080421123244,-0.017121420649186862,0.008843259806940375,104,出口③,結果①
K02,20,不排除,5,386,-0.01117764097699304,-0.02555810991648434,0.00320282796249826,103,出口③,結果①
K02,20,不排除,6,393,0.00912511654500771,-0.0022869386000354524,0.02053717169005087,105,出口③,結果①
K02,20,不排除,7,386,0.0015638654309482825,-0.010548481726063017,0.01367621258795958,102,出口③,結果①
K02,20,不排除,8,389,-0.011730167340745591,-0.024274150201510747,0.0008138155200195663,107,出口③,結果①
K02,20,不排除,9,388,-0.007504924582515954,-0.021098511287904152,0.006088662122872243,108,出口③,結果①
K02,20,不排除,10,386,0.0008329229734700701,-0.012362919754958004,0.014028765701898144,108,出口③,結果①
K02,20,不排除,11,389,0.003172834753936924,-0.006604490012122469,0.012950159519996318,109,出口③,結果①
K02,20,不排除,12,391,0.0018401214164698114,-0.013615609639472207,0.01729585247241183,106,出口③,結果①
K02,20,不排除,13,388,-0.0024722205726015263,-0.014769776929614056,0.009825335784411004,107,出口③,結果①
K02,20,不排除,14,391,0.0019038320155848041,-0.008274642569371986,0.012082306600541593,105,出口③,結果①
K02,20,不排除,15,375,0.0075253547473664115,-0.0029906956862915876,0.01804140518102441,107,出口③,結果①
K02,20,不排除,16,384,0.00210261906163161,-0.009681157247352723,0.013886395370615942,110,出口③,結果①
K02,20,不排除,17,389,0.0068805839422232985,-0.003131712230104944,0.01689288011455154,105,出口③,結果①
K02,20,不排除,18,390,-0.0063863401419022164,-0.019019280682818537,0.006246600399014103,106,出口③,結果①
K02,20,不排除,19,389,0.008295948785977331,-0.002911750428055611,0.019503648000010275,110,出口③,結果①
K02,20,不排除,20,392,-0.012152630824753059,-0.024836116795839285,0.000530855146333168,105,出口③,結果①
K02,20,不排除,21,388,-0.003453490562313928,-0.016012754552807047,0.00910577342817919,105,出口③,結果①
K02,20,不排除,22,388,-0.00741763527944963,-0.019976764143632066,0.005141493584732807,107,出口③,結果①
