kind,win,d0,d1,days,ret,mdd,end_value,end_value_net_etf
rolling,R202008,2020-08-03,2021-08-02,245,0.38495779181323186,-0.10442477876106192,1384957.7918132318,1379625.7043147509
rolling,R202009,2020-09-01,2021-08-31,245,0.3911513437101959,-0.10442477876106192,1391151.343710196,1385795.4110369117
rolling,R202010,2020-10-05,2021-10-04,245,0.3236270021032226,-0.10442477876106192,1323627.0021032225,1318531.0381451251
rolling,R202011,2020-11-02,2021-11-01,245,0.35233583438056226,-0.10442477876106192,1352335.8343805622,1347129.341418197
rolling,R202012,2020-12-01,2021-11-30,245,0.23681658305167752,-0.10442477876106192,1236816.5830516776,1232054.8392069286
rolling,R202101,2021-01-04,2022-01-03,245,0.20605671397510017,-0.10442477876106192,1206056.7139751,1201413.3956262958
rolling,R202102,2021-02-01,2022-01-26,242,0.10917441508069459,-0.10442477876106192,1109174.4150806945,1104904.0935826339
rolling,R202103,2021-03-02,2022-03-01,245,0.0782881501663486,-0.10442477876106192,1078288.1501663486,1074136.740788208
rolling,R202104,2021-04-01,2022-03-31,245,0.04228264753544542,-0.11824676231077687,1042282.6475354454,1038269.8593424339
rolling,R202105,2021-05-03,2022-04-29,245,-0.04585634878789768,-0.14917367724307143,954143.6512121023,950470.1981549356
rolling,R202106,2021-06-01,2022-05-31,245,-0.03423287154692567,-0.18480686183897593,965767.1284530744,962048.92500853
rolling,R202107,2021-07-01,2022-06-30,245,-0.1421367836891816,-0.22144853279136834,857863.2163108184,854560.4429280218
rolling,R202108,2021-08-02,2022-08-01,245,-0.11433080934929696,-0.2681750673086395,885669.190650703,882259.3642666978
rolling,R202109,2021-09-01,2022-08-31,245,-0.1341710933951783,-0.2681750673086395,865828.9066048217,862495.465314393
rolling,R202110,2021-10-01,2022-09-30,246,-0.19826351245731444,-0.29346972035300856,801736.4875426856,798649.8020656463
rolling,R202111,2021-11-01,2022-10-31,246,-0.24670393205450458,-0.3395700527611012,753296.0679454954,750395.8780839052
rolling,R202112,2021-12-01,2022-11-30,246,-0.13910023631519608,-0.3395700527611012,860899.763684804,857585.2995946174
rolling,R202201,2022-01-03,2022-12-30,246,-0.2185802388499125,-0.3395700527611012,781419.7611500875,778411.2950696596
rolling,R202202,2022-02-07,2023-02-06,245,-0.12955183491014166,-0.32277924918509504,870448.1650898583,867096.9396542624
rolling,R202203,2022-03-01,2023-02-24,244,-0.12141431362631627,-0.30059900387538646,878585.6863736837,875203.131481145
rolling,R202204,2022-04-01,2023-03-31,244,-0.07772387784477619,-0.2827245716998761,922276.1221552239,918725.3590849262
rolling,R202205,2022-05-03,2023-05-02,243,-0.043389737822648655,-0.24321363709012359,956610.2621773514,952927.3126679686
rolling,R202206,2022-06-01,2023-05-31,243,0.014570594315646002,-0.2394048013495784,1014570.594315646,1010664.4975275308
rolling,R202207,2022-07-01,2023-06-30,242,0.20211521542693012,-0.20835038886614815,1202115.2154269302,1197487.0718475366
rolling,R202208,2022-08-01,2023-07-31,242,0.13576501506880945,-0.20835038886614815,1135765.0150688095,1131392.3197607945
rolling,R202209,2022-09-01,2023-08-31,241,0.13249395068487968,-0.1663793103448275,1132493.9506848797,1128133.848974743
rolling,R202210,2022-10-03,2023-10-02,241,0.2612757827286152,-0.10462962962962959,1261275.7827286152,1256419.8709651101
rolling,R202211,2022-11-01,2023-10-31,240,0.2619107368813549,-0.07477820025348536,1261910.7368813548,1257052.3805443617
rolling,R202212,2022-12-01,2023-11-30,240,0.1514003850105583,-0.07477820025348536,1151400.3850105584,1146967.4935282678
rolling,R202301,2023-01-03,2024-01-02,240,0.2636673666055722,-0.07055352914012772,1263667.3666055722,1258802.2472441406
rolling,R202302,2023-02-01,2024-01-31,248,0.17219108828381713,-0.07055352914012772,1172191.088283817,1167678.1525939244
rolling,R202303,2023-03-01,2024-02-29,243,0.24661248748157805,-0.07055352914012772,1246612.487481578,1241813.0294047738
rolling,R202304,2023-04-06,2024-04-03,244,0.36046878595997933,-0.07055352914012772,1360468.7859599793,1355230.9811340333
rolling,R202305,2023-05-02,2024-04-30,244,0.39596638883328383,-0.07840735068912708,1395966.388833284,1390591.9182362757
rolling,R202306,2023-06-01,2024-05-31,244,0.3771617123364739,-0.07840735068912708,1377161.7123364739,1371859.6397439784
rolling,R202307,2023-07-03,2024-07-02,245,0.47239627037006127,-0.07840735068912708,1472396.2703700613,1466727.5447291364
rolling,R202308,2023-08-01,2024-07-31,243,0.43694802358511997,-0.11262802601670655,1436948.02358512,1431415.7736943173
rolling,R202309,2023-09-01,2024-08-30,243,0.48155040267611704,-0.21301507893939745,1481550.4026761171,1475846.433625814
rolling,R202310,2023-10-02,2024-10-01,244,0.5198505343594002,-0.21301507893939745,1519850.5343594002,1513999.1098021164
rolling,R202311,2023-11-01,2024-10-30,242,0.6203328395314796,-0.21301507893939745,1620332.8395314796,1614094.5580992834
rolling,R202312,2023-12-01,2024-11-29,241,0.4612718468445376,-0.21301507893939745,1461271.8468445376,1455645.9502341861
rolling,R202401,2024-01-02,2024-12-31,242,0.4925002828703473,-0.21301507893939745,1492500.2828703474,1486754.1567812965
rolling,R202402,2024-02-01,2025-01-22,235,0.5267962293420754,-0.21301507893939745,1526796.2293420753,1520918.0638591084
rolling,R202403,2024-03-01,2025-02-27,241,0.373654461401129,-0.21301507893939745,1373654.461401129,1368365.8917247346
rolling,R202404,2024-04-01,2025-03-31,241,0.11837719473806607,-0.21301507893939745,1118377.194738066,1114071.4425383245
rolling,R202405,2024-05-02,2025-04-30,241,0.10024792029144458,-0.27484989255721043,1100247.9202914445,1096011.9657983223
rolling,R202406,2024-06-03,2025-06-02,240,0.057165593011094806,-0.27484989255721043,1057165.5930110947,1053095.505478002
rolling,R202407,2024-07-01,2025-06-30,241,0.056410321308449474,-0.27484989255721043,1056410.3213084494,1052343.1415714119
rolling,R202408,2024-08-01,2025-07-31,243,0.14420743845610207,-0.27484989255721043,1144207.438456102,1139802.239818046
rolling,R202409,2024-09-02,2025-09-01,243,0.17429916129410294,-0.27484989255721043,1174299.161294103,1169778.1095231206
rolling,R202410,2024-10-01,2025-09-30,243,0.2857279403278683,-0.27484989255721043,1285727.9403278683,1280777.887757606
rolling,R202411,2024-11-01,2025-10-31,244,0.3881574010672817,-0.27484989255721043,1388157.4010672816,1382812.9950731725
rolling,R202412,2024-12-02,2025-12-01,244,0.31022814134488663,-0.27484989255721043,1310228.1413448867,1305183.763000709
rolling,R202501,2025-01-02,2025-12-31,243,0.3806516379397187,-0.27484989255721043,1380651.6379397188,1375336.1291336508
rolling,R202502,2025-02-03,2026-02-02,250,0.51580637439568,-0.2636615462100228,1515806.37439568,1509970.5198542564
rolling,R202503,2025-03-03,2026-03-02,243,0.7455486008300065,-0.22747688243064734,1745548.6008300064,1738828.238716811
rolling,R202504,2025-04-01,2026-03-31,243,0.6765079804240652,-0.1707317073170733,1676507.9804240651,1670053.4246994324
rolling,R202505,2025-05-02,2026-04-30,243,1.1309266556754034,-0.10844115834873692,2130926.6556754033,2122722.5880510528
rolling,R202506,2025-06-02,2026-06-01,244,1.4502253124198834,-0.10844115834873692,2450225.3124198834,2440791.944967067
rolling,R202507,2025-07-01,2026-06-30,243,1.2634014417968795,-0.10844115834873692,2263401.4417968797,2254687.3462459617
rolling,R202508,2025-08-01,2026-07-31,242,1.0535490026457865,-0.15367552143943577,2053549.0026457866,2045642.8389856003
rolling,R202509,2025-09-01,2026-08-31,242,1.084717777240935,-0.15367552143943577,2084717.777240935,2076691.6137985573
