kind,win,d0,d1,days,ret,mdd,end_value,end_value_net_etf
fixed,F2017,2017-03-02,2018-03-01,247,0.1658108893374135,-0.08166703556039777,1165810.8893374135,1161322.5174134644
fixed,Y2018,2018-01-02,2018-12-28,247,-0.05456389071072354,-0.1599086236436322,945436.1092892764,941796.1802685127
fixed,Y2019,2019-01-02,2019-12-31,242,0.361356703620882,-0.08358208955223885,1361356.703620882,1356115.4803119416
fixed,Y2020,2020-01-02,2020-12-31,245,0.3019897149353934,-0.28217651879384864,1301989.7149353933,1296977.054532892
fixed,Y2021,2021-01-04,2021-12-30,244,0.1986424308973842,-0.10442477876106192,1198642.4308973842,1194027.6575384291
fixed,Y2022,2022-01-03,2022-12-30,246,-0.2185802388499125,-0.3395700527611012,781419.7611500875,778411.2950696596
fixed,Y2023,2023-01-03,2023-12-29,239,0.2688194574256837,-0.07055352914012772,1268819.4574256837,1263934.502514595
fixed,Y2024,2024-01-02,2024-12-31,242,0.4925002828703473,-0.21301507893939745,1492500.2828703474,1486754.1567812965
fixed,Y2025,2025-01-02,2025-12-31,243,0.3806516379397187,-0.27484989255721043,1380651.6379397188,1375336.1291336508
fixed,L1Y,2025-09-24,2026-09-24,243,0.9636999942655626,-0.15367552143943577,1963699.9942655626,1956139.7492876402
fixed,YTD26,2026-01-02,2026-09-24,177,0.712921279538594,-0.15367552143943577,1712921.279538594,1706326.5326123703
rolling,R201703,2017-03-01,2018-02-27,247,0.17761365005141183,-0.08166703556039777,1177613.650051412,1173079.837498714
rolling,R201704,2017-04-05,2018-04-03,249,0.12955025949787946,-0.08166703556039777,1129550.2594978795,1125201.4909988127
rolling,R201705,2017-05-02,2018-04-30,247,0.10065170175586347,-0.08166703556039777,1100651.7017558634,1096414.1927041032
rolling,R201706,2017-06-01,2018-05-31,249,0.08641049963301461,-0.08747559321023722,1086410.4996330147,1082227.8192094276
rolling,R201707,2017-07-03,2018-07-02,247,0.04232879057394623,-0.08747559321023722,1042328.7905739462,1038315.8247302364
rolling,R201708,2017-08-01,2018-07-31,247,0.08176267196117504,-0.08747559321023722,1081762.671961175,1077597.8856741246
rolling,R201709,2017-09-01,2018-08-31,247,0.08356950729166734,-0.08747559321023722,1083569.5072916674,1079397.7646885945
rolling,R201710,2017-10-02,2018-10-01,245,0.10858904261880298,-0.08747559321023722,1108589.042618803,1104320.9748047206
rolling,R201711,2017-11-01,2018-10-31,247,-0.05742151349068603,-0.1387778412335807,942578.4865093139,938949.5593362531
rolling,R201712,2017-12-01,2018-11-30,247,-0.03891097499401375,-0.1393489434608796,961089.0250059862,957388.8322597132
rolling,R201801,2018-01-02,2018-12-28,247,-0.05456389071072354,-0.1599086236436322,945436.1092892764,941796.1802685127
rolling,R201802,2018-02-01,2019-01-30,246,-0.09332762873995082,-0.17532838378069665,906672.3712600492,903181.682630698
rolling,R201803,2018-03-01,2019-02-27,246,-0.012544585870000513,-0.17532838378069665,987455.4141299995,983653.710785599
rolling,R201804,2018-04-02,2019-04-01,244,0.009259417328465247,-0.17532838378069665,1009259.4173284653,1005373.7685717506
rolling,R201805,2018-05-02,2019-04-30,245,0.08411070029479828,-0.17532838378069665,1084110.7002947982,1079936.8740986632
rolling,R201806,2018-06-01,2019-05-31,245,0.002534177836461371,-0.17532838378069665,1002534.1778364613,998674.421251791
rolling,R201807,2018-07-02,2019-07-01,245,0.06011660076257419,-0.17532838378069665,1060116.6007625742,1056035.1518496382
rolling,R201808,2018-08-01,2019-07-31,245,-0.0006347623193583285,-0.17532838378069665,999365.2376806417,995517.6815155712
rolling,R201809,2018-09-03,2019-09-02,244,-0.014927743407468053,-0.1734401831711504,985072.2565925319,981279.7284046507
rolling,R201810,2018-10-01,2019-09-27,243,0.007062993860482036,-0.1734401831711504,1007062.993860482,1003185.8013341192
rolling,R201811,2018-11-01,2019-10-31,242,0.19497250287751933,-0.08433734939759016,1194972.5028775192,1190371.8587414408
rolling,R201812,2018-12-03,2019-12-02,242,0.21463770668888094,-0.08375634517766486,1214637.706688881,1209961.3515181288
rolling,R201901,2019-01-02,2019-12-31,242,0.361356703620882,-0.08358208955223885,1361356.703620882,1356115.4803119416
rolling,R201902,2019-02-11,2020-02-10,242,0.2609306132785878,-0.08358208955223885,1260930.6132785878,1256076.0304174651
rolling,R201903,2019-03-04,2020-03-03,244,0.19895774951433953,-0.08531172744920026,1198957.7495143395,1194341.7621787093
rolling,R201904,2019-04-01,2020-03-31,244,-0.006943934022238141,-0.28217651879384864,993056.0659777619,989232.8001237474
rolling,R201905,2019-05-02,2020-04-30,244,0.07267165268955944,-0.28217651879384864,1072671.6526895594,1068541.8668267045
rolling,R201906,2019-06-03,2020-06-02,244,0.1307891250965878,-0.28217651879384864,1130789.1250965877,1126435.5869649658
rolling,R201907,2019-07-01,2020-06-30,243,0.13264970241930274,-0.28217651879384864,1132649.7024193027,1128289.0010649883
rolling,R201908,2019-08-01,2020-07-31,243,0.3116816763315611,-0.28217651879384864,1311681.676331561,1306631.7018776846
rolling,R201909,2019-09-02,2020-09-01,244,0.3123736819870253,-0.28217651879384864,1312373.6819870253,1307321.0433113752
rolling,R201910,2019-10-01,2020-09-30,246,0.24629908750718865,-0.28217651879384864,1246299.0875071886,1241500.836020286
rolling,R201911,2019-11-01,2020-10-30,244,0.18889463453099742,-0.28217651879384864,1188894.6345309974,1184317.390188053
rolling,R201912,2019-12-02,2020-12-01,245,0.29137796270421434,-0.28217651879384864,1291377.9627042143,1286406.1575478031
rolling,R202001,2020-01-02,2020-12-31,245,0.3019897149353934,-0.28217651879384864,1301989.7149353933,1296977.054532892
rolling,R202002,2020-02-03,2021-02-02,252,0.5539385187434205,-0.26250672404518566,1553938.5187434205,1547955.8554462583
rolling,R202003,2020-03-02,2021-02-26,244,0.5718093560210982,-0.24002217294900224,1571809.356021098,1565757.890000417
rolling,R202004,2020-04-01,2021-03-31,244,0.8272330723697128,-0.08395856129203648,1827233.0723697129,1820198.2250410893
rolling,R202005,2020-05-04,2021-05-03,244,0.7143283093781936,-0.08395856129203648,1714328.3093781937,1707728.1453870877
rolling,R202006,2020-06-01,2021-05-31,244,0.6620217919098332,-0.10442477876106192,1662021.7919098332,1655623.0080109802
rolling,R202007,2020-07-01,2021-06-30,245,0.5802176969668047,-0.10442477876106192,1580217.6969668048,1574133.8588334825
