組,窗數,0050一年報酬_最低,0050一年報酬_最高,0050一年報酬_平均,②#1_贏0050窗數比例,②#1_贏窗數,②#1_平均差（元）,②#1_最差一窗差（元）,②#1_最差一窗起,③門檻B_贏0050窗數比例,③門檻B_贏窗數,③門檻B_平均差（元）,③門檻B_最差一窗差（元）,③門檻B_最差一窗起
低,35,-0.24670393205450458,0.08411070029479828,-0.035217051579074746,0.6571428571428571,23,103101.0161328031,-417663.0327541487,2018-05-02,0.5428571428571428,19,19303.24271611649,-303623.08045635046,2017-11-01
中,34,0.08641049963301461,0.3116816763315611,0.19378126959334127,0.6470588235294118,22,183045.97472333297,-345137.38943397766,2024-10-01,0.47058823529411764,16,8589.239918275729,-293862.2570341717,2024-10-01
高,34,0.3123736819870253,1.4502253124198834,0.5954041489867598,0.5588235294117647,19,48627.719392884974,-572902.6828808823,2024-02-01,0.29411764705882354,10,-88311.1993032619,-630003.8794212274,2025-08-01
