cell,r,cagr,mdd,vol,first,end,trades,eq_sha,eq_sha64,ret_mine
1,0,0.4245474925809207,-0.3779174551837645,0.2858868790271357,526,2859,163,ea98c4b878bf35b6,ea98c4b878bf35b6fb1cbb6e7f6420cc023c44f91f30e46179c16448984eb119,27.238114485039087
1,1,0.37154827317964134,-0.4450722379745732,0.28306297149907655,526,2859,163,469805073227539f,469805073227539f9e769c850baea7ee683ead168ee9e551a867ab18f5ed0c6a,18.741710150128085
1,2,0.4371455969386213,-0.3407715731344233,0.2840347252652851,526,2859,163,6d062c39413a87fd,6d062c39413a87fdc721ba883407fd96487db151fa67b676690ccfd65d957a42,29.685685395484285
1,3,0.37964691804997663,-0.3716907206603616,0.28073781645355544,526,2859,163,b00d91851d0521b7,b00d91851d0521b73daf9d92f919c18809f80e112a292beae5e439907f789e04,19.87005495546447
1,4,0.36110753129829765,-0.40915949898760773,0.27997285947448525,526,2859,163,28a9be99e60f0998,28a9be99e60f0998879171ad45b47bc41569d19f8e16e91f1cc8e5fd05dd38ec,17.3676631261233
1,5,0.3629288658238661,-0.3772896807240475,0.27867203222853704,526,2859,163,862ff0904ad997e4,862ff0904ad997e4a13bdebca84edc97d66c9a241b146b5809cfc085e6907a97,17.601016778135573
1,6,0.40608065576235286,-0.3759275163057537,0.28913826393343656,526,2859,163,7309dca4cfa70448,7309dca4cfa70448d19f53dc0872b882a2da1b4756f02fd5dbc5771a66a76299,23.965336746502796
1,7,0.38850567796269675,-0.4418143661252927,0.2850051870461571,526,2859,163,3bf29e8500eae651,3bf29e8500eae651c2990e7b4a99378d6d0224882e04641d7e848e47122e7e27,21.170029763188374
1,8,0.3999006422506848,-0.3732840193676708,0.2877319401454195,526,2859,163,6815546863fd0aef,6815546863fd0aefd9dba253248daef5e063dd40ea0f91544ae1eef5092bdec7,22.94842472236091
1,9,0.3890721412723608,-0.3610793738076328,0.28160418175091506,526,2859,163,61edec561b1b61fb,61edec561b1b61fb993cf6aa9fc9be5910ba8e001740fba793048d41ab1328ad,21.25556554395592
1,10,0.37484851618420567,-0.41876211344399256,0.28431624802512967,526,2859,163,2b785c59ff968961,2b785c59ff968961c856b075e9373bc326b9da35cb1f6f93783708ec7d39b2a0,19.194757307818726
1,11,0.4282380395346925,-0.3770291882845814,0.2841464246191341,526,2859,163,5f55e7c7437c0c06,5f55e7c7437c0c060955a5fbe710cdd53c97b92d16e6c139d96f7c0680914662,27.93636624419042
1,12,0.37413571440142324,-0.3724641373437118,0.2811078066519777,526,2859,163,dd62f2d351f01d6b,dd62f2d351f01d6ba8fd5a04167a091d20669cb0961e795822cad6d370969184,19.09612663067202
1,13,0.391500024738062,-0.38426392662825415,0.28225390298744346,526,2859,163,2e8c448105dcbf82,2e8c448105dcbf82b4f93d45f4bd63ce2207da4b6d4c851e181cf510ebe3f91d,21.625527368157417
1,14,0.4073073240690659,-0.3665960686001029,0.28962945227655645,526,2859,163,891c683fd70a2fa5,891c683fd70a2fa555a3d68d841260194543b54cb099850c4c7d6cab2da2289f,24.17171476110888
1,15,0.360432874522564,-0.3906959783862837,0.2785772826468421,526,2859,163,94defc8ca9e705b0,94defc8ca9e705b03e2632944f7c08175d1d93e53424b9dd51eef0cec2198ae3,17.281891121329544
1,16,0.39390087801270046,-0.3944711386690046,0.2817924590165112,526,2859,163,26c08cd917c69049,26c08cd917c69049e8aeb1763121f3e04b17fd85744611873344712f5b509736,21.99676766068146
