窗鍵,窗,起,迄,交易日數,滿一年,臂,格,名稱,版本,種子數,期末金額_中位,窗內報酬_中位,最大回落_中位,0050扣ETF來回0.385%期末,此格受資料尾影響起,期末金額_p10,期末金額_p25,期末金額_p75,期末金額_p90,贏0050種子比例,交易筆數_中位
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,①,0050,0050 買進持有（還原含息、不扣成本＝錨點算法）,—,0,1165810.8893374135,0.1658108893374135,-0.08166703556039777,1161322.5174134644,,,,,,,
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,②,#1,#1 PREREG10｜AND｜regime=True｜N10｜H120（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1199382.4784282418,0.19938247842824186,-0.1580950541433711,,2026-04-09,1158143.5806536179,1173971.1766608655,1332931.367696061,1354052.5630997387,0.83,21.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,③,門檻B,門檻B（W1）＝ P12 策略側 H120 N8,主版（資料尾補訊號、照收盤計值）,200,1112593.1197676698,0.11259311976766972,-0.12863297003863378,,2026-04-02,1041816.876444498,1075376.4068243161,1168512.2524045787,1230761.535306805,0.255,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#2,#2 P3乙｜N≤8｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1087957.2680694268,0.08795726806942672,-0.1684988253262092,,2026-07-03,1087957.2680694268,1087957.2680694268,1087957.2680694268,1087957.2680694268,0.0,33.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#3,#3 P1｜AND｜N8｜d=1.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1065079.7342085068,0.06507973420850677,-0.1663962129239023,,2026-07-03,1065079.7342085068,1065079.7342085068,1065079.7342085068,1065079.7342085068,0.0,33.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#4,#4 PREREG10｜AND｜regime=True｜N10｜LD（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,1082646.8577043954,0.0826468577043955,-0.15390708688367818,,2026-09-24,1051657.1558144037,1062566.0448925905,1121371.802965097,1217693.0822269178,0.245,27.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#5,#5 P17｜R_eq（判定格）,主版（資料尾補訊號、照收盤計值）,200,1146892.704993409,0.1468927049934089,-0.09066023222223064,,2026-04-02,1120483.1338916444,1132971.1228302787,1168723.7203558795,1192538.7117699785,0.265,16.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#6,#6 P1｜AND｜N8｜d=2.0｜relvol,主版（資料尾補訊號、照收盤計值）,200,1078536.2138771093,0.0785362138771093,-0.16652014700844806,,2026-07-03,1078536.2138771093,1078536.2138771093,1078536.2138771093,1078536.2138771093,0.0,33.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#7,#7 PREREG10｜AND｜regime=True｜N10｜H60（t−1 閘）,主版（資料尾補訊號、照收盤計值）,200,952085.7465783452,-0.047914253421654784,-0.19377091813499717,,2026-07-03,909071.9419469155,926686.3608351188,1001134.809352545,1028433.6873975775,0.0,41.0
F2017,2017-03-02～2018-03-01,2017-03-02,2018-03-01,247,True,④,#8,#8 P14｜w=0.50（＝各半混 0050）,主版（資料尾補訊號、照收盤計值）,200,1139202.0045525418,0.1392020045525416,-0.09359233765984519,,2026-04-02,1103813.8828909558,1120593.648080865,1167161.570870996,1198286.2123221091,0.255,16.0
