窗鍵,起,迄,交易日數,0050一年報酬,0050期末,②#1_期末中位,②#1_減0050,②#1_贏0050種子比例,②#1_引擎原樣期末中位,③門檻B_期末中位,③門檻B_減0050,③門檻B_贏0050種子比例,③門檻B_引擎原樣期末中位
R201703,2017-03-01,2018-02-27,247,0.17761365005141183,1177613.650051412,1164116.3874081518,-13497.262643260183,0.46,,1097588.2103351192,-80025.43971629278,0.155,
R201704,2017-04-05,2018-04-03,249,0.12955025949787946,1129550.2594978795,1134110.0362801435,4559.776782264002,0.555,,1218989.165884342,89438.9063864625,0.775,
R201705,2017-05-02,2018-04-30,247,0.10065170175586347,1100651.7017558634,1405848.2822568517,305196.5805009883,1.0,,1166944.1412425775,66292.43948671408,0.755,
R201706,2017-06-01,2018-05-31,249,0.08641049963301461,1086410.4996330147,1511044.2622724443,424633.76263942965,1.0,,1629739.4558916604,543328.9562586457,1.0,
R201707,2017-07-03,2018-07-02,247,0.04232879057394623,1042328.7905739462,1232448.5770892468,190119.78651530063,0.845,,1411511.3140065612,369182.523432615,0.975,
R201708,2017-08-01,2018-07-31,247,0.08176267196117504,1081762.671961175,1718387.7117157928,636625.0397546177,1.0,,1132777.1612988566,51014.48933768156,0.69,
R201709,2017-09-01,2018-08-31,247,0.08356950729166734,1083569.5072916674,1283329.4913612553,199759.9840695879,1.0,,1061292.5309350535,-22276.976356613915,0.455,
R201710,2017-10-02,2018-10-01,245,0.10858904261880298,1108589.042618803,1386216.373124114,277627.330505311,1.0,,1006326.5334005182,-102262.50921828474,0.21,
R201711,2017-11-01,2018-10-31,247,-0.05742151349068603,942578.4865093139,655905.506966473,-286672.97954284097,0.0,,638955.4060529635,-303623.08045635046,0.0,
R201712,2017-12-01,2018-11-30,247,-0.03891097499401375,961089.0250059862,1240287.1912730357,279198.1662670495,1.0,,870906.9547234674,-90182.07028251886,0.225,
R201801,2018-01-02,2018-12-28,247,-0.05456389071072354,945436.1092892764,1008883.8886080161,63447.77931873966,1.0,,798923.2442251116,-146512.86506416486,0.205,
R201802,2018-02-01,2019-01-30,246,-0.09332762873995082,906672.3712600492,1006594.6748620566,99922.30360200745,1.0,,923279.9032185846,16607.53195853543,0.575,
R201803,2018-03-01,2019-02-27,246,-0.012544585870000513,987455.4141299995,980787.1932879826,-6668.220842016861,0.0,,1149264.241771432,161808.82764143264,0.89,
R201804,2018-04-02,2019-04-01,244,0.009259417328465247,1009259.4173284653,872817.2240446805,-136442.19328378479,0.0,,1000342.197376659,-8917.21995180624,0.455,
R201805,2018-05-02,2019-04-30,245,0.08411070029479828,1084110.7002947982,666447.6675406495,-417663.0327541487,0.0,,937001.5716612625,-147109.1286335357,0.07,
R201806,2018-06-01,2019-05-31,245,0.002534177836461371,1002534.1778364613,723990.2243446556,-278543.9534918057,0.0,,814558.625558736,-187975.5522777253,0.01,
R201807,2018-07-02,2019-07-01,245,0.06011660076257419,1060116.6007625742,894404.0804098276,-165712.5203527466,0.0,,1006891.9528694274,-53224.647893146845,0.215,
R201808,2018-08-01,2019-07-31,245,-0.0006347623193583285,999365.2376806417,1154850.9431033197,155485.70542267803,1.0,,781749.0044391847,-217616.23324145703,0.005,
R201809,2018-09-03,2019-09-02,244,-0.014927743407468053,985072.2565925319,1029030.3749056506,43958.1183131187,1.0,,1155311.5026406397,170239.24604810774,0.99,
R201810,2018-10-01,2019-09-27,243,0.007062993860482036,1007062.993860482,1039965.0535094112,32902.059648929164,1.0,,1325332.5065012728,318269.5126407908,1.0,
