窗鍵,起,迄,交易日數,0050一年報酬,0050期末,②#1_期末中位,②#1_減0050,②#1_贏0050種子比例,②#1_引擎原樣期末中位,③門檻B_期末中位,③門檻B_減0050,③門檻B_贏0050種子比例,③門檻B_引擎原樣期末中位
R201811,2018-11-01,2019-10-31,242,0.19497250287751933,1194972.5028775192,1085393.8870888348,-109578.61578868446,0.0,,1527601.0811919365,332628.5783144173,1.0,
R201812,2018-12-03,2019-12-02,242,0.21463770668888094,1214637.706688881,1095792.629208103,-118845.07748077787,0.0,,1120895.8524100594,-93741.8542788215,0.07,
R201901,2019-01-02,2019-12-31,242,0.361356703620882,1361356.703620882,1117069.0921412606,-244287.61147962138,0.0,,1288480.9767003362,-72875.7269205458,0.075,
R201902,2019-02-11,2020-02-10,242,0.2609306132785878,1260930.6132785878,1002355.7236703435,-258574.8896082443,0.0,,1106074.6680163355,-154855.94526225235,0.005,
R201903,2019-03-04,2020-03-03,244,0.19895774951433953,1198957.7495143395,1010221.2193240998,-188736.53019023966,0.205,,1209413.0207084368,10455.271194097353,0.525,
R201904,2019-04-01,2020-03-31,244,-0.006943934022238141,993056.0659777619,832262.397175861,-160793.6688019008,0.0,,995930.969376992,2874.9033992300974,0.515,
R201905,2019-05-02,2020-04-30,244,0.07267165268955944,1072671.6526895594,1153123.906355593,80452.2536660335,1.0,,1223293.0367108774,150621.38402131805,0.9,
R201906,2019-06-03,2020-06-02,244,0.1307891250965878,1130789.1250965877,1179285.5995971048,48496.47450051713,1.0,,1237201.396917933,106412.2718213452,0.785,
R201907,2019-07-01,2020-06-30,243,0.13264970241930274,1132649.7024193027,1279810.934207369,147161.23178806645,1.0,,961688.0412810812,-170961.6611382215,0.0,
R201908,2019-08-01,2020-07-31,243,0.3116816763315611,1311681.676331561,1321554.035101552,9872.35876999097,1.0,,1146077.2694298353,-165604.4069017258,0.1,
R201909,2019-09-02,2020-09-01,244,0.3123736819870253,1312373.6819870253,1140775.4465591798,-171598.2354278455,0.0,,1656017.2111257797,343643.52913875435,1.0,
R201910,2019-10-01,2020-09-30,246,0.24629908750718865,1246299.0875071886,1265387.864373985,19088.776866796426,0.715,,1215442.2882485073,-30856.799258681247,0.37,
R201911,2019-11-01,2020-10-30,244,0.18889463453099742,1188894.6345309974,1559844.6018566398,370949.9673256425,1.0,,1496568.1423124261,307673.50778142875,0.995,
R201912,2019-12-02,2020-12-01,245,0.29137796270421434,1291377.9627042143,1183312.3408051284,-108065.62189908582,0.0,,1049427.053363903,-241950.9093403113,0.03,
R202001,2020-01-02,2020-12-31,245,0.3019897149353934,1301989.7149353933,1227010.5987843238,-74979.11615106952,0.03,,1043166.7740620311,-258822.94087336224,0.0,
R202002,2020-02-03,2021-02-02,252,0.5539385187434205,1553938.5187434205,1577135.717418858,23197.198675437598,0.57,,1242219.0343930551,-311719.48435036535,0.055,
R202003,2020-03-02,2021-02-26,244,0.5718093560210982,1571809.356021098,1902721.4887023435,330912.13268124545,1.0,,1886963.8378688348,315154.48184773675,0.95,
R202004,2020-04-01,2021-03-31,244,0.8272330723697128,1827233.0723697129,2045633.8388947912,218400.76652507833,1.0,,2207973.467010872,380740.3946411591,0.91,
R202005,2020-05-04,2021-05-03,244,0.7143283093781936,1714328.3093781937,2472551.0133449975,758222.7039668038,1.0,,2092800.4000358111,378472.09065761743,0.905,
R202006,2020-06-01,2021-05-31,244,0.6620217919098332,1662021.7919098332,2452415.8182028653,790394.0262930321,1.0,,1480544.314536353,-181477.4773734801,0.245,
R202007,2020-07-01,2021-06-30,245,0.5802176969668047,1580217.6969668048,2123059.7771918876,542842.0802250828,1.0,,1284086.1498101698,-296131.547156635,0.1,
R202008,2020-08-03,2021-08-02,245,0.38495779181323186,1384957.7918132318,1489826.7488350882,104868.95702185645,1.0,,1643765.9349304638,258808.14311723202,0.77,
R202009,2020-09-01,2021-08-31,245,0.3911513437101959,1391151.343710196,1415521.9104098526,24370.566699656658,1.0,,1321981.1450774777,-69170.1986327183,0.38,
R202010,2020-10-05,2021-10-04,245,0.3236270021032226,1323627.0021032225,1602203.3871886856,278576.38508546306,0.99,,1575276.908875959,251649.90677273646,0.905,
R202011,2020-11-02,2021-11-01,245,0.35233583438056226,1352335.8343805622,1381469.5271218992,29133.692741337,0.77,,1773857.9646497134,421522.1302691512,0.935,
R202012,2020-12-01,2021-11-30,245,0.23681658305167752,1236816.5830516776,2450145.481220422,1213328.8981687443,1.0,,1407503.3582325438,170686.77518086624,0.785,
R202101,2021-01-04,2022-01-03,245,0.20605671397510017,1206056.7139751,1757322.637092078,551265.923116978,1.0,,1260810.2266845433,54753.512709443225,0.625,
R202102,2021-02-01,2022-01-26,242,0.10917441508069459,1109174.4150806945,1457822.0858608498,348647.67078015534,1.0,,1481446.3718409466,372271.9567602521,0.935,
R202103,2021-03-02,2022-03-01,245,0.0782881501663486,1078288.1501663486,1298204.5957024589,219916.44553611032,1.0,,1233389.351814,155101.20164765138,0.81,
R202104,2021-04-01,2022-03-31,245,0.04228264753544542,1042282.6475354454,1613362.217924412,571079.5703889667,1.0,,1073689.3797010835,31406.732165638125,0.665,
R202105,2021-05-03,2022-04-29,245,-0.04585634878789768,954143.6512121023,916666.5304985819,-37477.12071352033,0.215,,954451.9083646261,308.25715252384543,0.5,
R202106,2021-06-01,2022-05-31,245,-0.03423287154692567,965767.1284530744,1504599.9135667828,538832.7851137085,1.0,,1325390.5219853842,359623.3935323098,0.95,
R202107,2021-07-01,2022-06-30,245,-0.1421367836891816,857863.2163108184,930745.0239136507,72881.80760283221,1.0,,909842.0142816906,51978.79797087214,0.67,
R202108,2021-08-02,2022-08-01,245,-0.11433080934929696,885669.190650703,810954.3145063163,-74714.87614438671,0.0,,845884.7577145244,-39784.43293617864,0.32,
R202109,2021-09-01,2022-08-31,245,-0.1341710933951783,865828.9066048217,1103269.0472868728,237440.14068205107,1.0,,965938.9454004329,100110.03879561124,0.9,
R202110,2021-10-01,2022-09-30,246,-0.19826351245731444,801736.4875426856,1080119.9991318625,278383.51158917695,1.0,,958068.9775078354,156332.48996514978,0.94,
R202111,2021-11-01,2022-10-31,246,-0.24670393205450458,753296.0679454954,903353.7923709897,150057.72442549432,1.0,,695359.5256670441,-57936.54227845126,0.12,
R202112,2021-12-01,2022-11-30,246,-0.13910023631519608,860899.763684804,1195002.9373527304,334103.17366792646,1.0,,1146873.3706637542,285973.6069789502,0.98,
R202201,2022-01-03,2022-12-30,246,-0.2185802388499125,781419.7611500875,876496.488655574,95076.72750548657,1.0,,693762.6600800408,-87657.10107004666,0.2,
R202202,2022-02-07,2023-02-06,245,-0.12955183491014166,870448.1650898583,856303.3248976959,-14144.840192162432,0.0,,901755.4168180391,31307.251728180796,0.635,
R202203,2022-03-01,2023-02-24,244,-0.12141431362631627,878585.6863736837,1052579.6157087986,173993.9293351149,1.0,,848720.2094792562,-29865.476894427557,0.345,
R202204,2022-04-01,2023-03-31,244,-0.07772387784477619,922276.1221552239,1219792.3828956045,297516.2607403806,1.0,,942826.025908407,20549.9037531832,0.6,
R202205,2022-05-03,2023-05-02,243,-0.043389737822648655,956610.2621773514,1346013.732502235,389403.4703248837,1.0,,919743.5580556772,-36866.70412167418,0.335,
R202206,2022-06-01,2023-05-31,243,0.014570594315646002,1014570.594315646,1464203.9477374589,449633.3534218129,1.0,,1050002.1789307648,35431.5846151188,0.68,
R202207,2022-07-01,2023-06-30,242,0.20211521542693012,1202115.2154269302,1657293.4516432928,455178.23621636257,1.0,,1621545.0397683978,419429.8243414676,0.975,
R202208,2022-08-01,2023-07-31,242,0.13576501506880945,1135765.0150688095,1665423.3978666305,529658.382797821,1.0,,1353918.0821155307,218153.06704672123,0.885,
R202209,2022-09-01,2023-08-31,241,0.13249395068487968,1132493.9506848797,1647111.0399439195,514617.08925903984,1.0,,1002010.6104034915,-130483.34028138814,0.05,
R202210,2022-10-03,2023-10-02,241,0.2612757827286152,1261275.7827286152,1696085.8333098488,434810.0505812336,1.0,,1179417.0520932996,-81858.73063531565,0.235,
R202211,2022-11-01,2023-10-31,240,0.2619107368813549,1261910.7368813548,1642757.4666895964,380846.7298082416,1.0,,1079028.3211053303,-182882.41577602457,0.01,
R202212,2022-12-01,2023-11-30,240,0.1514003850105583,1151400.3850105584,1781672.436731383,630272.0517208246,1.0,,1191655.3202425214,40254.93523196294,0.665,
R202301,2023-01-03,2024-01-02,240,0.2636673666055722,1263667.3666055722,1822702.9247774754,559035.5581719032,1.0,,1454498.585530055,190831.21892448282,0.795,
R202302,2023-02-01,2024-01-31,248,0.17219108828381713,1172191.088283817,1648000.320056751,475809.23177293385,1.0,,1218589.330383035,46398.24209921784,0.615,
R202303,2023-03-01,2024-02-29,243,0.24661248748157805,1246612.487481578,1589292.6826243238,342680.19514274574,1.0,,1121305.24927144,-125307.23821013793,0.055,
R202304,2023-04-06,2024-04-03,244,0.36046878595997933,1360468.7859599793,1477769.9071147572,117301.12115477794,1.0,,1267068.2617791449,-93400.52418083441,0.245,
R202305,2023-05-02,2024-04-30,244,0.39596638883328383,1395966.388833284,1263162.0238709718,-132804.36496231216,0.0,,1335399.5318510854,-60566.856982198544,0.36,
R202306,2023-06-01,2024-05-31,244,0.3771617123364739,1377161.7123364739,1341378.5661911792,-35783.14614529465,0.23,,1180936.628271,-196225.08406547387,0.01,
R202307,2023-07-03,2024-07-02,245,0.47239627037006127,1472396.2703700613,1348528.5223920296,-123867.74797803164,0.0,,1177188.2726396902,-295207.9977303711,0.025,
R202308,2023-08-01,2024-07-31,243,0.43694802358511997,1436948.02358512,1469393.6662956653,32445.642710545333,0.775,,1054786.777585188,-382161.24599993206,0.005,
R202309,2023-09-01,2024-08-30,243,0.48155040267611704,1481550.4026761171,1326668.0868833335,-154882.31579278363,0.0,,1287446.235620853,-194104.16705526412,0.035,
R202310,2023-10-02,2024-10-01,244,0.5198505343594002,1519850.5343594002,1168759.23121425,-351091.3031451502,0.0,,1245450.807158371,-274399.7272010292,0.025,
R202311,2023-11-01,2024-10-30,242,0.6203328395314796,1620332.8395314796,1276716.8449345208,-343615.99459695886,0.0,,1439976.900178313,-180355.9393531666,0.205,
R202312,2023-12-01,2024-11-29,241,0.4612718468445376,1461271.8468445376,1055740.1827678266,-405531.66407671105,0.0,,1065977.5106566194,-395294.3361879182,0.0,
R202401,2024-01-02,2024-12-31,242,0.4925002828703473,1492500.2828703474,1283265.1056895584,-209235.17718078895,0.0,,1300976.8803656925,-191523.40250465483,0.135,
R202402,2024-02-01,2025-01-22,235,0.5267962293420754,1526796.2293420753,953893.546461193,-572902.6828808823,0.0,,1044090.252502237,-482705.9768398383,0.0,
R202403,2024-03-01,2025-02-27,241,0.373654461401129,1373654.461401129,1068907.1705483308,-304747.29085279815,0.0,,1011367.8206657995,-362286.64073532936,0.0,
R202404,2024-04-01,2025-03-31,241,0.11837719473806607,1118377.194738066,831380.5242137479,-286996.6705243181,0.0,,910806.0433306391,-207571.15140742692,0.03,
R202405,2024-05-02,2025-04-30,241,0.10024792029144458,1100247.9202914445,778234.9242201004,-322012.9960713441,0.0,,825712.3296745314,-274535.59061691316,0.0,
R202406,2024-06-03,2025-06-02,240,0.057165593011094806,1057165.5930110947,800125.0099415885,-257040.58306950622,0.0,,866154.1694990154,-191011.4235120793,0.0,
R202407,2024-07-01,2025-06-30,241,0.056410321308449474,1056410.3213084494,910629.7782333705,-145780.54307507887,0.0,,883841.5945578027,-172568.72675064672,0.07,
R202408,2024-08-01,2025-07-31,243,0.14420743845610207,1144207.438456102,1177973.9706561267,33766.532200024696,1.0,,1025271.0108248238,-118936.42763127829,0.195,
R202409,2024-09-02,2025-09-01,243,0.17429916129410294,1174299.161294103,1157762.9086912915,-16536.252602811437,0.0,,1256329.3836681908,82030.2223740879,0.655,
R202410,2024-10-01,2025-09-30,243,0.2857279403278683,1285727.9403278683,940590.5508938907,-345137.38943397766,0.0,,991865.6832936966,-293862.2570341717,0.005,
R202411,2024-11-01,2025-10-31,244,0.3881574010672817,1388157.4010672816,1165007.022178443,-223150.3788888387,0.0,,1126099.219852021,-262058.18121526064,0.025,
R202412,2024-12-02,2025-12-01,244,0.31022814134488663,1310228.1413448867,1299248.8949160068,-10979.24642887991,0.0,,1265742.2302352586,-44485.911109628156,0.37,
R202501,2025-01-02,2025-12-31,243,0.3806516379397187,1380651.6379397188,2007646.2512097866,626994.6132700678,1.0,,1064604.4215862607,-316047.2163534581,0.155,
R202502,2025-02-03,2026-02-02,250,0.51580637439568,1515806.37439568,1610617.0301120856,94810.65571640572,1.0,,1260869.4150049477,-254936.95939073223,0.285,
R202503,2025-03-03,2026-03-02,243,0.7455486008300065,1745548.6008300064,1282367.7590970276,-463180.8417329788,0.0,,1492899.2238120942,-252649.37701791222,0.3,
R202504,2025-04-01,2026-03-31,243,0.6765079804240652,1676507.9804240651,1866293.944238876,189785.96381481085,1.0,,1726058.6529067215,49550.672482656315,0.56,
R202505,2025-05-02,2026-04-30,243,1.1309266556754034,2130926.6556754033,2352223.2434334387,221296.5877580354,1.0,2352223.2434334387,2015523.9759348594,-115402.67974054394,0.395,2015523.9759348594
R202506,2025-06-02,2026-06-01,244,1.4502253124198834,2450225.3124198834,2768750.913705721,318525.6012858376,1.0,2768750.913705721,2604670.949048208,154445.63662832463,0.635,2604670.949048208
R202507,2025-07-01,2026-06-30,243,1.2634014417968795,2263401.4417968797,3250540.6227256376,987139.1809287579,1.0,3250540.6227256376,2583934.9216853073,320533.47988842754,0.685,2583934.9216853073
R202508,2025-08-01,2026-07-31,242,1.0535490026457865,2053549.0026457866,1604126.1292671487,-449422.87337863795,0.0,1605033.6891610355,1423545.1232245592,-630003.8794212274,0.17,1423545.1232245592
R202509,2025-09-01,2026-08-31,242,1.084717777240935,2084717.777240935,2234943.988564426,150226.21132349106,1.0,2234943.988564426,2078321.1618951242,-6396.615345810773,0.49,1516348.5198619224
