file（~/us_work/usu/，repo 外）,rows,sha256
ewc20_ewo20.csv,2738,d9690e8b81f01259b0b035bf9de7d122cfcc8155907d57deaeacacf800d1be95
events_body_k5_H20.csv,41100,314db7ad36c6be2620a6c127a4b3ee3a6ed8141f75f1894451bc7321ee28e4fd
