date,margin_balance,short_balance,margin_limit,offset
2026-01-02,5393,199,33502,1
2026-01-05,5366,234,33502,3
2026-01-06,5471,278,33502,6
2026-01-07,5098,269,33502,10
2026-01-08,4937,266,33502,1
2026-01-09,4761,235,33502,0
2026-01-12,4788,236,33502,3
2026-01-13,4676,230,33502,0
2026-01-14,4854,236,33502,3
2026-01-15,4674,275,33502,2
2026-01-16,4578,263,33502,1
2026-01-19,4815,261,33502,2
2026-01-20,4862,256,33502,0
2026-01-21,4693,244,33502,1
2026-01-22,4953,239,33502,6
2026-01-23,4598,237,33502,4
2026-01-26,4386,225,33502,0
2026-01-27,4387,223,33502,4
2026-01-28,4388,213,33502,1
2026-01-29,4136,219,33502,1
2026-01-30,4344,205,33502,0
2026-02-02,4374,220,33502,6
2026-02-03,4258,212,33502,3
2026-02-04,4185,191,33502,6
2026-02-05,3908,177,33502,2
2026-02-06,3959,169,33502,2
2026-02-09,3971,169,33502,1
2026-02-10,3818,170,33502,1
2026-02-11,3850,165,33502,0
2026-02-23,3913,163,33502,0
2026-02-24,3808,168,33502,2
2026-02-25,3674,170,33502,2
2026-02-26,3481,189,33502,3
2026-03-02,3499,165,33502,0
2026-03-03,3345,151,33502,1
2026-03-04,3301,129,33502,1
2026-03-05,3336,116,33502,3
2026-03-06,3410,120,33502,0
2026-03-09,3294,86,33502,0
2026-03-10,3341,70,33502,1
2026-03-11,3431,65,33502,0
2026-03-12,3373,39,33502,1
2026-03-13,3332,1,33502,0
2026-03-16,3381,0,33502,0
2026-03-17,3337,0,33502,0
2026-03-18,3478,0,33502,0
2026-03-19,3114,28,33502,35
2026-03-20,2978,35,33502,37
2026-03-23,2919,38,33502,0
2026-03-24,2867,22,33502,3
2026-03-25,3087,21,33502,0
2026-03-26,3158,25,33502,2
2026-03-27,3259,15,33502,0
2026-03-30,3221,8,33502,0
2026-03-31,3043,9,33502,2
2026-04-01,3008,29,33502,0
2026-04-02,2818,25,33502,1
2026-04-07,2842,26,33502,0
2026-04-08,2848,40,33502,3
2026-04-09,2969,72,33502,0
2026-04-10,2841,79,33502,1
2026-04-13,2720,98,33502,1
2026-04-14,2972,162,33502,1
2026-04-15,2701,151,33502,5
2026-04-16,3030,172,33502,2
2026-04-17,3066,158,33502,65
2026-04-20,3316,157,33502,65
2026-04-21,3600,137,33502,44
2026-04-22,3801,133,33502,25
2026-04-23,4105,134,33502,166
2026-04-24,4571,131,33502,181
2026-04-27,4500,124,33502,98
2026-04-28,4595,131,33502,45
2026-04-29,4720,130,33502,46
2026-04-30,4655,132,33502,136
2026-05-04,4893,156,33502,0
2026-05-05,5044,135,33502,0
2026-05-06,5119,125,33502,2
2026-05-07,5151,130,33502,1
2026-05-08,5114,112,33502,4
2026-05-11,4981,126,33502,0
2026-05-12,4807,107,33502,0
2026-05-13,4682,91,33502,3
2026-05-14,4783,87,33502,0
2026-05-15,4684,83,33502,1
2026-05-18,4740,78,33502,0
2026-05-19,4519,59,33502,1
2026-05-20,4689,59,33502,8
2026-05-21,5119,77,33502,2
2026-05-22,5201,71,33502,1
2026-05-25,5529,71,33502,2
2026-05-26,5547,68,33502,3
2026-05-27,5248,72,33502,2
2026-05-28,4756,100,33502,1
2026-05-29,4987,30,33502,6
2026-06-01,4632,18,33502,1
2026-06-02,4522,0,33502,0
2026-06-03,4533,0,33502,0
2026-06-04,4494,0,33502,0
2026-06-05,4482,0,33502,0
2026-06-08,4339,8,33502,7
2026-06-09,4386,9,33502,12
2026-06-10,4134,13,33502,0
2026-06-11,4185,9,33502,1
2026-06-12,4290,15,33502,0
2026-06-15,4542,26,33502,0
2026-06-16,4650,21,33502,3
2026-06-17,4834,24,33502,0
2026-06-18,4886,21,33502,0
2026-06-22,4783,21,33502,0
2026-06-23,4638,21,33502,1
2026-06-24,4588,28,33502,1
2026-06-25,4540,25,33502,5
2026-06-26,4592,24,33502,0
2026-06-29,4561,22,33502,0
2026-06-30,4657,51,33502,0
2026-07-01,4597,50,33502,1
2026-07-02,4637,67,33502,1
2026-07-03,4671,56,33502,1
2026-07-06,4632,36,33502,0
2026-07-07,4462,27,33502,1
2026-07-08,4431,23,33502,0
2026-07-09,4443,16,33502,1
2026-07-13,4392,15,33502,2
2026-07-14,4331,8,33502,0
2026-07-15,4365,9,33502,0
2026-07-16,4386,10,33502,1
2026-07-17,4252,7,33502,0
2026-07-20,4073,9,33502,4
2026-07-21,4241,27,33502,0
2026-07-22,4529,25,33502,5
2026-07-23,4542,28,33502,1
2026-07-24,4497,21,33502,1
2026-07-27,4424,16,33502,0
2026-07-28,4185,17,33502,0
2026-07-29,4006,20,33502,4
2026-07-30,4258,21,33502,2
2026-07-31,4347,27,33502,0
2026-08-03,4306,37,33502,0
2026-08-04,4284,25,33502,1
2026-08-05,4270,50,33502,5
2026-08-06,4322,54,33502,2
2026-08-07,4363,56,33502,2
2026-08-10,4478,57,33502,2
2026-08-11,4741,95,33502,1
2026-08-12,4666,91,33502,0
2026-08-13,4903,113,33502,0
2026-08-14,4856,102,33502,0
2026-08-17,5080,123,33502,0
2026-08-18,4958,97,33502,2
2026-08-19,4764,96,33502,2
2026-08-20,5001,110,33502,2
2026-08-21,5058,105,33502,3
2026-08-24,4982,147,33502,0
2026-08-25,4763,149,33502,1
2026-08-26,4854,140,33502,1
2026-08-27,4833,129,33502,1
2026-08-28,4860,129,33502,1
2026-08-31,4772,111,33502,1
2026-09-01,4917,110,33502,2
2026-09-02,4810,106,33502,3
2026-09-03,4765,111,33502,3
2026-09-04,4737,113,33502,1
