date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,10646168000
2024-02-01,2024,1,13996737000
2024-03-01,2024,2,14256972000
2024-04-01,2024,3,15547726000
2024-05-01,2024,4,14944483000
2024-06-01,2024,5,16924941000
2024-07-01,2024,6,20719796000
2024-08-01,2024,7,25458337000
2024-09-01,2024,8,25760113000
2024-10-01,2024,9,21619938000
2024-11-01,2024,10,18993369000
2024-12-01,2024,11,17478311000
2025-01-01,2024,12,17248548000
2025-02-01,2025,1,17592891000
2025-03-01,2025,2,14694473000
2025-04-01,2025,3,13229338000
2025-05-01,2025,4,12493271000
2025-06-01,2025,5,12357888000
2025-07-01,2025,6,13805564000
2025-08-01,2025,7,15484403000
2025-09-01,2025,8,13838365000
2025-10-01,2025,9,12769280000
2025-11-01,2025,10,11534406000
2025-12-01,2025,11,12713776000
2026-01-01,2025,12,13239996000
2026-02-01,2026,1,13761884000
2026-03-01,2026,2,12443461000
2026-04-01,2026,3,12455154000
2026-05-01,2026,4,14227637000
2026-06-01,2026,5,15104168000
2026-07-01,2026,6,16591195000
2026-08-01,2026,7,20836075000
