date,type,value
2024-03-31,OrdinaryShare,15996234000.0
2024-06-30,OrdinaryShare,15993441000.0
2024-09-30,OrdinaryShare,16016943000.0
2024-12-31,OrdinaryShare,16016880000.0
2025-03-31,OrdinaryShare,16016624000.0
2025-06-30,OrdinaryShare,16016580000.0
2025-09-30,OrdinaryShare,16039286000.0
2025-12-31,OrdinaryShare,16039122000.0
2026-03-31,OrdinaryShare,16039043000.0
2026-06-30,OrdinaryShare,16038954000.0
