date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,3510037000
2024-02-01,2024,1,3374338000
2024-03-01,2024,2,3243256000
2024-04-01,2024,3,3875525000
2024-05-01,2024,4,4013784000
2024-06-01,2024,5,4373434000
2024-07-01,2024,6,5236371000
2024-08-01,2024,7,4878490000
2024-09-01,2024,8,4669028000
2024-10-01,2024,9,5301492000
2024-11-01,2024,10,4192677000
2024-12-01,2024,11,4395155000
2025-01-01,2024,12,4485798000
2025-02-01,2025,1,3260546000
2025-03-01,2025,2,3606459000
2025-04-01,2025,3,3618515000
2025-05-01,2025,4,3150721000
2025-06-01,2025,5,2907751000
2025-07-01,2025,6,3095838000
2025-08-01,2025,7,2637889000
2025-09-01,2025,8,2349049000
2025-10-01,2025,9,1674283000
2025-11-01,2025,10,1666156000
2025-12-01,2025,11,1698309000
2026-01-01,2025,12,1375789000
2026-02-01,2026,1,1432291000
2026-03-01,2026,2,826686000
2026-04-01,2026,3,1933218000
2026-05-01,2026,4,2132653000
2026-06-01,2026,5,1935098000
2026-07-01,2026,6,3572404000
2026-08-01,2026,7,7433152000
