date,foreign,trust,dealer,total
2026-01-02,700000,0,-108,699892
2026-01-05,-634000,0,-64205,-698205
2026-01-06,144000,0,-148,143852
2026-01-07,71000,0,241,71241
2026-01-08,-32000,0,453,-31547
2026-01-09,74000,0,30,74030
2026-01-12,-12000,0,-657,-12657
2026-01-13,13000,0,32,13032
2026-01-14,64000,0,544,64544
2026-01-15,-89000,0,-398,-89398
2026-01-16,-760000,0,250,-759750
2026-01-19,233000,0,-502,232498
2026-01-20,134000,0,-207,133793
2026-01-21,99000,0,45550,144550
2026-01-22,-82000,0,69840,-12160
2026-01-23,1653000,0,-35554,1617446
2026-01-26,-254000,0,135,-253865
2026-01-27,599035,0,40166,639201
2026-01-28,248000,0,-1716,246284
2026-01-29,49100,0,-120774,-71674
2026-01-30,352980,0,-247,352733
2026-02-02,-518001,0,54698,-463303
2026-02-03,-172990,0,934,-172056
2026-02-04,568500,0,54908,623408
2026-02-05,1230995,0,-48999,1181996
2026-02-06,-510020,0,-61822,-571842
2026-02-09,-51000,0,267940,216940
2026-02-10,1136900,0,-230766,906134
2026-02-11,-693000,0,-36684,-729684
2026-02-23,-1354000,0,-48,-1354048
2026-02-24,995000,0,9058,1004058
2026-02-25,-767995,0,-98578,-866573
2026-02-26,-124000,0,0,-124000
2026-03-02,-39800,0,0,-39800
2026-03-03,-231721,0,-360,-232081
2026-03-04,42250,0,197,42447
2026-03-05,-164000,0,-19776,-183776
2026-03-06,-44900,0,-132,-45032
2026-03-09,3700,0,0,3700
2026-03-10,-167000,0,195,-166805
2026-03-11,-77000,0,0,-77000
2026-03-12,-251000,0,-722,-251722
2026-03-13,-1196100,0,136,-1195964
2026-03-16,-307284,0,-373,-307657
2026-03-17,-635900,0,780,-635120
2026-03-18,505000,0,-697,504303
2026-03-19,690000,0,61263,751263
2026-03-20,-977295,0,-60262,-1037557
2026-03-23,-410000,0,-428,-410428
2026-03-24,-51834,50000,-291,-2125
2026-03-25,603184,50000,143,653327
2026-03-26,-342998,30000,-358,-313356
2026-03-27,-293605,0,250,-293355
2026-03-30,-241000,0,78,-240922
2026-03-31,460499,0,6,460505
2026-04-01,-80000,0,-532,-80532
2026-04-02,5200,0,663,5863
2026-04-07,582900,0,-228,582672
2026-04-08,435900,0,154587,590487
2026-04-09,2816005,0,-33965,2782040
2026-04-10,750980,0,-19421,731559
2026-04-13,-1317637,0,-35846,-1353483
2026-04-14,-681566,0,4817,-676749
2026-04-15,-26002,0,0,-26002
2026-04-16,78800,0,-30475,48325
2026-04-17,-138900,0,-150287,-289187
2026-04-20,-123990,0,-108295,-232285
2026-04-21,-132000,0,-39,-132039
2026-04-22,-138180,0,-128000,-266180
2026-04-23,92000,0,-9802,82198
2026-04-24,98000,0,-30603,67397
2026-04-27,67000,0,-46,66954
2026-04-28,5030,0,-10000,-4970
2026-04-29,-655960,0,587,-655373
2026-04-30,-791000,0,1107,-789893
2026-05-04,-300000,0,-1641,-301641
2026-05-05,288000,0,575,288575
2026-05-06,-101950,0,-19947,-121897
2026-05-07,-20500,0,-683,-21183
2026-05-08,179000,0,280,179280
2026-05-11,-9000,0,16175,7175
2026-05-12,445000,0,50714,495714
2026-05-13,-659871,0,-23379,-683250
2026-05-14,-158416,0,0,-158416
2026-05-15,5470,0,-290,5180
2026-05-18,278635,0,0,278635
2026-05-19,-256796,0,-20648,-277444
2026-05-20,409000,0,531,409531
2026-05-21,41887,0,64,41951
2026-05-22,462280,0,0,462280
2026-05-25,196498,0,-588,195910
2026-05-26,215955,0,-790,215165
2026-05-27,-531900,0,-19656,-551556
2026-05-28,180470,0,1288,181758
2026-05-29,326184,0,8131,334315
2026-06-01,19000,0,70884,89884
2026-06-02,5623020,0,-78859,5544161
2026-06-03,135000,0,87344,222344
2026-06-04,947581,0,-87613,859968
2026-06-05,-260919,0,-196,-261115
2026-06-08,-203208,0,-3206,-206414
2026-06-09,-1418460,0,-194,-1418654
2026-06-10,100465,0,0,100465
2026-06-11,-239145,0,532,-238613
2026-06-12,-515948,0,134,-515814
2026-06-15,-217019,0,-262,-217281
2026-06-16,-845461,0,-359,-845820
2026-06-17,-970090,0,1022,-969068
2026-06-18,1073135,0,5245,1078380
2026-06-22,-1404170,0,-5000,-1409170
2026-06-23,1325649,0,-642,1325007
2026-06-24,233579,0,162,233741
2026-06-25,-2082952,0,-618,-2083570
2026-06-26,399155,0,-9,399146
2026-06-29,-335866,0,-3,-335869
2026-06-30,-209446,0,108,-209338
2026-07-01,-344075,0,119,-343956
2026-07-02,222516,0,19525,242041
2026-07-03,-108840,0,419,-108421
2026-07-06,-109528,0,209779,100251
2026-07-07,201981,0,12285,214266
2026-07-08,50545,0,-197,50348
2026-07-09,-93748,0,35635,-58113
2026-07-13,45002,0,-21624,23378
2026-07-14,242587,0,-56293,186294
2026-07-15,-168436,0,173876,5440
2026-07-16,-158539,0,-752,-159291
2026-07-17,551227,0,7642,558869
2026-07-20,119868,0,74929,194797
2026-07-21,-117000,0,-134995,-251995
2026-07-22,18885,0,-137932,-119047
2026-07-23,-327019,0,-12075,-339094
2026-07-24,14602,0,-581,14021
2026-07-27,4578,0,89,4667
2026-07-28,76229,0,45468,121697
2026-07-29,-73000,0,-244376,-317376
2026-07-30,-99700,0,-422,-100122
2026-07-31,43000,0,0,43000
2026-08-03,393000,0,-334,392666
2026-08-04,120019,0,1160,121179
2026-08-05,-169000,0,-1092,-170092
2026-08-06,484000,0,-681,483319
2026-08-07,84620,0,193,84813
2026-08-10,428000,0,17045,445045
2026-08-11,280790,0,-3279,277511
2026-08-12,1366068,0,20066,1386134
2026-08-13,1469501,0,264749,1734250
2026-08-14,756386,0,-224412,531974
2026-08-17,351056,0,47445,398501
2026-08-18,47149,0,-22125,25024
2026-08-19,634097,0,-10231,623866
2026-08-20,10643,0,-50230,-39587
2026-08-21,598608,0,-20016,578592
2026-08-24,440004,0,-2825,437179
2026-08-25,269999,0,65312,335311
2026-08-26,-177804,0,-12000,-189804
2026-08-27,308010,0,-8000,300010
2026-08-28,425030,0,-5000,420030
2026-08-31,277000,0,1972,278972
2026-09-01,442000,0,-20,441980
2026-09-02,1674026,0,13626,1687652
2026-09-03,142389,319000,-33149,428240
2026-09-04,-459296,53000,11399,-394897
