date,type,value
2024-03-31,OrdinaryShare,1743288000.0
2024-06-30,OrdinaryShare,1743288000.0
2024-09-30,OrdinaryShare,1743288000.0
2024-12-31,OrdinaryShare,1743724000.0
2025-03-31,OrdinaryShare,1743739000.0
2025-06-30,OrdinaryShare,1744242000.0
2025-09-30,OrdinaryShare,1744292000.0
2025-12-31,OrdinaryShare,1751991000.0
2026-03-31,OrdinaryShare,1754109000.0
2026-06-30,OrdinaryShare,1804627000.0
