key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,9.65
2024-03-31_GrossProfit,2024-03-31,GrossProfit,1922155000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,1091083000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,774383000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,1147772000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,1511526000.0
2024-03-31_Revenue,2024-03-31,Revenue,5236157000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,363754000.0
2024-06-30_EPS,2024-06-30,EPS,8.87
2024-06-30_GrossProfit,2024-06-30,GrossProfit,1832824000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,1008858000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,750269000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,1082555000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,1373058000.0
2024-06-30_Revenue,2024-06-30,Revenue,4987181000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,290503000.0
2024-09-30_EPS,2024-09-30,EPS,12.22
2024-09-30_GrossProfit,2024-09-30,GrossProfit,2818883000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,1377788000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,819049000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,1999834000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,1902338000.0
2024-09-30_Revenue,2024-09-30,Revenue,7493428000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,-97496000.0
2024-12-31_EPS,2024-12-31,EPS,7.62
2024-12-31_GrossProfit,2024-12-31,GrossProfit,1483146000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,860072000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,957889000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,525257000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,1137845000.0
2024-12-31_Revenue,2024-12-31,Revenue,5469962000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,612588000.0
2025-03-31_EPS,2025-03-31,EPS,7.74
2025-03-31_GrossProfit,2025-03-31,GrossProfit,1646092000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,869895000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,749497000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,896595000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,1163615000.0
2025-03-31_Revenue,2025-03-31,Revenue,5321306000.0
