date,per,pbr,dividend_yield
2025-06-16,29.64,10.09,1.33
2025-06-17,29.92,10.19,1.32
2025-06-18,28.85,9.82,1.37
2025-06-19,29.29,9.97,1.35
2025-06-20,29.01,9.88,1.36
2025-06-23,28.81,9.81,1.37
2025-06-24,29.13,9.92,1.36
2025-06-25,29.45,10.02,1.34
2025-06-26,29.17,9.93,1.36
2025-06-27,29.13,9.92,1.36
2025-06-30,29.37,10.0,1.35
2025-07-01,29.84,10.16,1.32
2025-07-02,30.0,10.21,1.32
2025-07-03,30.95,10.54,1.28
2025-07-04,30.71,10.45,1.29
2025-07-07,30.12,10.25,1.31
2025-07-08,31.42,10.7,1.26
2025-07-09,32.06,10.91,1.23
2025-07-10,33.4,11.37,1.18
2025-07-11,32.69,11.13,1.21
2025-07-14,32.77,11.15,1.21
2025-07-15,33.72,11.48,1.17
2025-07-16,33.52,11.41,1.18
2025-07-17,33.36,11.36,1.18
2025-07-18,35.22,11.99,1.12
2025-07-21,34.47,11.73,1.15
2025-07-22,33.68,11.46,1.17
2025-07-23,33.36,11.36,1.18
2025-07-24,33.83,11.52,1.17
2025-07-25,33.56,11.42,1.18
2025-07-28,34.51,11.75,1.15
2025-07-29,34.7,11.81,1.14
2025-07-30,34.47,11.73,1.15
2025-07-31,36.48,12.42,1.08
2025-08-01,36.32,12.37,1.09
2025-08-04,36.92,12.57,1.07
2025-08-05,38.62,13.15,1.02
2025-08-06,39.72,13.52,1.0
2025-08-07,40.51,13.79,0.98
2025-08-08,43.08,14.67,0.92
2025-08-11,42.69,14.53,0.92
2025-08-12,43.08,14.67,0.91
2025-08-13,36.61,14.66,0.89
2025-08-14,35.14,14.07,0.92
2025-08-15,34.98,14.01,0.93
2025-08-18,37.43,14.99,0.87
2025-08-19,34.98,14.01,0.93
2025-08-20,32.85,13.16,0.99
2025-08-21,34.32,13.75,0.95
2025-08-22,33.67,13.49,0.96
2025-08-25,34.65,13.88,0.94
2025-08-26,33.51,13.42,0.97
2025-08-27,34.32,13.75,0.95
2025-08-28,33.18,13.29,0.98
2025-08-29,33.02,13.22,0.98
2025-09-01,30.76,12.32,1.06
