date,foreign,trust,dealer,total
2026-01-02,-93000,0,1541,-91459
2026-01-05,-79000,0,-9170,-88170
2026-01-06,217000,0,-3431,213569
2026-01-07,-532000,0,-52668,-584668
2026-01-08,688100,0,-44665,643435
2026-01-09,367436,0,-3685,363751
2026-01-12,-634951,0,-10985,-645936
2026-01-13,-159000,0,41296,-117704
2026-01-14,-710000,0,9161,-700839
2026-01-15,-454000,0,47356,-406644
2026-01-16,-617126,0,-14149,-631275
2026-01-19,40000,130000,19899,189899
2026-01-20,-396000,126000,-20198,-290198
2026-01-21,225756,120000,-28327,317429
2026-01-22,991100,110000,100301,1201401
2026-01-23,-1321600,116000,28660,-1176940
2026-01-26,1907850,-4000,69963,1973813
2026-01-27,7468050,4000,44730,7516780
2026-01-28,-7912500,1000,-305803,-8217303
2026-01-29,1071450,-5000,-7298,1059152
2026-01-30,1586100,-8000,44006,1622106
2026-02-02,-161000,0,-33566,-194566
2026-02-03,-958000,0,28830,-929170
2026-02-04,-896000,0,-38567,-934567
2026-02-05,-1400000,0,-15413,-1415413
2026-02-06,-1710364,0,284672,-1425692
2026-02-09,-1716163,0,-98270,-1814433
2026-02-10,-177146,0,-89609,-266755
2026-02-11,-559000,0,17441,-541559
2026-02-23,1008000,-1000,20283,1027283
2026-02-24,490000,-12000,-14989,463011
2026-02-25,168500,-2000,594120,760620
2026-02-26,-1656052,0,-178215,-1834267
2026-03-02,245050,-6000,-285645,-46595
2026-03-03,-184000,-2000,-44303,-230303
2026-03-04,356511,-6000,-149672,200839
2026-03-05,433000,-20000,-7483,405517
2026-03-06,74060,-8000,16664,82724
2026-03-09,334000,0,-73797,260203
2026-03-10,-283990,-2000,-12708,-298698
2026-03-11,307000,2000,-25158,283842
2026-03-12,-333000,-5000,-19193,-357193
2026-03-13,115219,0,-3482,111737
2026-03-16,250001,0,-3834,246167
2026-03-17,-93000,0,-397,-93397
2026-03-18,-337000,0,42042,-294958
2026-03-19,-1776120,-8000,143527,-1640593
2026-03-20,-8000,-2000,-21833,-31833
2026-03-23,-394000,0,-91650,-485650
2026-03-24,1000,0,-36662,-35662
2026-03-25,-287000,-3000,-6986,-296986
2026-03-26,-149005,-2000,-19796,-170801
2026-03-27,478000,-3000,-105566,369434
2026-03-30,-17005,0,9927,-7078
2026-03-31,113005,0,-14575,98430
2026-04-01,160000,-2000,3809,161809
2026-04-02,240000,-3000,14980,251980
2026-04-07,-373004,0,2393,-370611
2026-04-08,1006999,0,40288,1047287
2026-04-09,-501704,-16000,8324,-509380
2026-04-10,-119000,-2000,47145,-73855
2026-04-13,642065,-16000,154158,780223
2026-04-14,35000,0,344446,379446
2026-04-15,-61000,-2000,-148108,-211108
2026-04-16,-126854,-8000,-49443,-184297
2026-04-17,-712134,-17000,16345,-712789
2026-04-20,545000,-99000,426004,872004
2026-04-21,1360863,-98000,-18735,1244128
2026-04-22,-971200,-89000,-173521,-1233721
2026-04-23,924200,-86000,-83187,755013
2026-04-24,-594000,-72000,55715,-610285
2026-04-27,409000,0,132301,541301
2026-04-28,-956900,0,-35909,-992809
2026-04-29,-225500,0,-65527,-291027
2026-04-30,-538250,0,21789,-516461
2026-05-04,122030,0,-43369,78661
2026-05-05,1834002,0,334071,2168073
2026-05-06,-97975,0,-129995,-227970
2026-05-07,2012110,0,176564,2188674
2026-05-08,-1841856,0,-334009,-2175865
2026-05-11,-2126500,0,-16097,-2142597
2026-05-12,-418760,0,-15205,-433965
2026-05-13,-1211000,0,-173931,-1384931
2026-05-14,3761500,0,367989,4129489
2026-05-15,-2361000,0,-91265,-2452265
2026-05-18,-587450,0,45833,-541617
2026-05-19,4190619,0,412204,4602823
2026-05-20,1730000,0,348035,2078035
2026-05-21,1473850,0,-445909,1027941
2026-05-22,318244,0,24879,343123
2026-05-25,-2303993,0,-75075,-2379068
2026-05-26,556622,0,-327400,229222
2026-05-27,-1818885,0,145423,-1673462
2026-05-28,-1276510,0,6002,-1270508
2026-05-29,-677160,0,107908,-569252
2026-06-01,-1599349,0,31687,-1567662
2026-06-02,-1368577,0,-256870,-1625447
2026-06-03,184526,0,67021,251547
2026-06-04,1124948,0,384628,1509576
2026-06-05,-635542,0,150448,-485094
2026-06-08,-1015551,0,-140886,-1156437
2026-06-09,2548734,0,304723,2853457
2026-06-10,972196,0,-500089,472107
2026-06-11,-1932637,0,-90309,-2022946
2026-06-12,-1033187,0,69761,-963426
2026-06-15,514798,0,211008,725806
2026-06-16,5011577,0,511004,5522581
2026-06-17,-3900382,0,-306515,-4206897
2026-06-18,-128763,0,-227784,-356547
2026-06-22,-2358200,0,225132,-2133068
2026-06-23,-352697,0,-172618,-525315
2026-06-24,-402410,0,-155654,-558064
2026-06-25,-1543131,0,-410109,-1953240
2026-06-26,413887,0,-580202,-166315
2026-06-29,-186966,0,-23822,-210788
2026-06-30,-709545,0,134592,-574953
2026-07-01,-840687,0,-16838,-857525
2026-07-02,-342402,0,54483,-287919
2026-07-03,45049,0,-30725,14324
2026-07-06,-32533,0,42229,9696
2026-07-07,-1005316,0,-106567,-1111883
2026-07-08,270727,0,1399,272126
2026-07-09,471742,0,165405,637147
2026-07-13,-103707,0,-22130,-125837
2026-07-14,228174,0,-249527,-21353
2026-07-15,-551954,0,-38508,-590462
2026-07-16,-56000,0,8543,-47457
2026-07-17,780822,0,-220627,560195
2026-07-20,1302653,0,-145646,1157007
2026-07-21,-251564,0,78902,-172662
2026-07-22,-184739,0,46438,-138301
2026-07-23,714235,0,124711,838946
2026-07-24,-817866,0,-64507,-882373
2026-07-27,-648173,0,34377,-613796
2026-07-28,-188344,0,-155346,-343690
2026-07-29,164841,0,-47768,117073
2026-07-30,-586896,0,-143267,-730163
2026-07-31,753054,0,230667,983721
2026-08-03,1886450,0,129412,2015862
2026-08-04,-155442,0,-55126,-210568
2026-08-05,770489,0,97507,867996
2026-08-06,229486,0,338729,568215
2026-08-07,-1526763,0,-193336,-1720099
2026-08-10,-1494821,0,-36816,-1531637
2026-08-11,-120898,0,42917,-77981
2026-08-12,719437,0,38439,757876
2026-08-13,-1606552,0,-109843,-1716395
2026-08-14,-261940,0,-53876,-315816
2026-08-17,313029,0,-3903,309126
2026-08-18,-435093,0,-80502,-515595
2026-08-19,271619,0,-26347,245272
2026-08-20,-320309,0,23047,-297262
2026-08-21,-538050,0,-397,-538447
2026-08-24,-905120,0,36573,-868547
2026-08-25,-224425,0,28402,-196023
2026-08-26,1736239,0,288538,2024777
2026-08-27,-2561139,0,211846,-2349293
2026-08-28,-131779,0,-197728,-329507
2026-08-31,-29941,0,320983,291042
2026-09-01,301474,0,4752,306226
2026-09-02,2260090,0,120045,2380135
2026-09-03,-2126524,0,-215594,-2342118
