date,per,pbr,dividend_yield
2025-06-12,33.66,5.4,1.44
2025-06-13,31.9,5.12,1.52
2025-06-16,31.9,5.12,1.52
2025-06-17,34.08,5.47,1.3
2025-06-18,33.96,5.45,1.3
2025-06-19,34.75,5.58,1.27
2025-06-20,33.9,5.44,1.3
2025-06-23,34.26,5.5,1.29
2025-06-24,33.54,5.39,1.32
2025-06-25,34.87,5.6,1.27
2025-06-26,34.87,5.6,1.27
2025-06-27,36.32,5.83,1.22
2025-06-30,37.47,6.02,1.18
2025-07-01,38.56,6.19,1.15
2025-07-02,38.62,6.2,1.14
2025-07-03,38.44,6.17,1.15
2025-07-04,38.62,6.2,1.14
2025-07-07,38.98,6.26,1.13
2025-07-08,38.92,6.25,1.14
2025-07-09,40.74,6.54,1.08
2025-07-10,41.89,6.73,1.05
2025-07-11,41.53,6.67,1.06
2025-07-14,40.07,6.44,1.1
2025-07-15,40.8,6.55,1.08
2025-07-16,43.58,7.0,1.01
2025-07-17,45.46,7.3,0.97
2025-07-18,47.58,7.64,0.93
2025-07-21,45.76,7.35,0.97
2025-07-22,45.04,7.23,0.98
2025-07-23,46.31,7.44,0.95
2025-07-24,48.12,7.73,0.92
2025-07-25,47.03,7.55,0.94
2025-07-28,46.97,7.54,0.94
2025-07-29,46.19,7.42,0.96
2025-07-30,45.4,7.29,0.97
2025-07-31,47.03,7.55,0.94
2025-08-01,47.15,7.57,0.94
2025-08-04,45.46,7.3,0.97
2025-08-05,45.4,7.29,0.97
2025-08-06,44.92,7.21,0.98
2025-08-07,45.58,7.32,0.97
2025-08-08,46.49,7.47,0.95
2025-08-11,47.34,7.6,0.93
2025-08-12,49.33,7.92,0.9
2025-08-13,49.88,8.01,0.89
2025-08-14,51.45,8.26,0.86
2025-08-15,54.31,9.92,0.85
2025-08-18,53.37,9.75,0.86
2025-08-19,50.91,9.3,0.9
2025-08-20,46.18,8.43,1.0
2025-08-21,47.75,8.72,0.96
2025-08-22,46.56,8.5,0.99
2025-08-25,49.14,8.98,0.94
2025-08-26,50.21,9.17,0.92
2025-08-27,51.48,9.4,0.89
2025-08-28,50.47,9.22,0.91
2025-08-29,51.16,9.35,0.9
2025-09-01,49.39,9.02,0.93
2025-09-02,48.51,8.86,0.95
2025-09-03,50.21,9.17,0.92
2025-09-04,48.57,8.87,0.95
2025-09-05,50.09,9.15,0.92
2025-09-08,50.15,9.16,0.92
2025-09-09,49.39,9.02,0.93
2025-09-10,49.71,9.08,0.93
2025-09-11,49.52,9.05,0.93
2025-09-12,47.82,8.73,0.96
2025-09-15,47.0,8.58,0.98
2025-09-16,46.43,8.48,0.99
2025-09-17,47.44,8.67,0.97
2025-09-18,46.93,8.57,0.98
2025-09-19,47.31,8.64,0.97
2025-09-22,47.44,8.67,0.97
2025-09-23,46.68,8.53,0.99
2025-09-24,43.02,7.86,1.07
2025-09-25,42.52,7.77,1.08
2025-09-26,41.32,7.55,1.11
2025-09-30,43.72,7.99,1.05
2025-10-01,42.83,7.82,1.07
2025-10-02,41.45,7.57,1.11
2025-10-03,41.76,7.63,1.1
2025-10-07,43.65,7.97,1.05
2025-10-08,43.46,7.94,1.06
2025-10-09,44.35,8.1,1.04
2025-10-13,42.52,7.77,1.08
2025-10-14,38.8,7.09,1.19
2025-10-15,38.86,7.1,1.18
2025-10-16,39.05,7.13,1.18
2025-10-17,38.92,7.11,1.18
2025-10-20,40.82,7.46,1.13
2025-10-21,42.33,7.73,1.09
2025-10-22,40.63,7.42,1.13
2025-10-23,39.74,7.26,1.16
2025-10-27,38.67,7.06,1.19
2025-10-28,38.67,7.06,1.19
2025-10-29,41.0,7.49,1.12
2025-10-30,42.33,7.73,1.09
2025-10-31,44.1,8.05,1.04
2025-11-03,43.53,7.95,1.06
2025-11-04,43.46,7.94,1.06
2025-11-05,42.14,7.7,1.09
2025-11-06,46.3,8.46,0.99
2025-11-07,44.98,8.22,1.02
2025-11-10,46.87,8.56,0.98
2025-11-11,49.49,7.77,1.0
2025-11-12,47.92,7.52,1.04
2025-11-13,47.99,7.53,1.03
2025-11-14,47.79,7.5,1.04
2025-11-17,49.15,7.71,1.01
2025-11-18,44.25,6.94,1.12
2025-11-19,45.2,7.09,1.1
2025-11-20,41.87,6.57,1.19
2025-11-21,40.71,6.39,1.22
2025-11-24,40.44,6.34,1.23
2025-11-25,40.16,6.3,1.24
2025-11-26,42.34,6.64,1.17
2025-11-27,44.72,7.02,1.11
2025-11-28,45.0,7.06,1.1
2025-12-01,44.79,7.03,1.11
2025-12-02,46.56,7.31,1.07
2025-12-03,43.43,6.81,1.14
2025-12-04,43.16,6.77,1.15
2025-12-05,42.95,6.74,1.16
2025-12-08,42.48,6.67,1.17
2025-12-09,44.38,6.96,1.12
2025-12-10,45.88,7.2,1.08
2025-12-11,44.86,7.04,1.11
2025-12-12,43.84,6.88,1.13
2025-12-15,43.16,6.77,1.15
2025-12-16,41.05,6.44,1.21
2025-12-17,43.57,6.84,1.14
2025-12-18,43.16,6.77,1.15
2025-12-19,43.77,6.87,1.13
2025-12-22,43.91,6.89,1.13
2025-12-23,43.84,6.88,1.13
2025-12-24,43.29,6.79,1.15
2025-12-26,43.77,6.87,1.13
2025-12-29,46.15,7.24,1.08
2025-12-30,47.45,7.44,1.05
2025-12-31,47.79,7.5,1.04
2026-01-02,49.49,7.77,1.0
2026-01-05,49.69,7.8,1.0
2026-01-06,50.85,7.98,0.98
2026-01-07,50.1,7.86,0.99
2026-01-08,49.01,7.69,1.01
2026-01-09,48.6,7.63,1.02
2026-01-12,49.42,7.75,1.0
2026-01-13,50.03,7.85,0.99
2026-01-14,47.11,7.39,1.05
2026-01-15,45.2,7.09,1.1
2026-01-16,45.47,7.14,1.09
2026-01-19,46.77,7.34,1.06
2026-01-20,46.22,7.25,1.07
2026-01-21,44.11,6.92,1.13
2026-01-22,44.59,7.0,1.11
2026-01-23,46.7,7.33,1.06
2026-01-26,47.92,7.52,1.04
2026-01-27,46.7,7.33,1.06
2026-01-28,45.88,7.2,1.08
2026-01-29,44.52,6.99,1.12
2026-01-30,42.55,6.68,1.17
2026-02-02,42.75,6.71,1.16
2026-02-03,45.2,7.09,1.1
2026-02-04,46.09,7.23,1.08
2026-02-05,44.18,6.93,1.12
2026-02-06,42.41,6.65,1.17
2026-02-09,44.72,7.02,1.11
2026-02-10,44.93,7.05,1.11
2026-02-11,46.02,7.22,1.08
2026-02-23,45.34,7.11,1.1
2026-02-24,46.7,7.33,1.06
2026-02-25,47.38,7.43,1.05
2026-02-26,47.52,7.46,1.05
2026-03-02,46.83,7.35,1.06
2026-03-03,45.68,7.17,1.09
2026-03-04,42.48,6.67,1.17
2026-03-05,44.52,6.99,1.12
2026-03-06,45.06,7.07,1.1
2026-03-09,40.78,6.4,1.15
2026-03-10,41.66,6.54,1.12
2026-03-11,45.81,7.19,1.02
2026-03-12,48.13,6.6,1.04
2026-03-13,46.32,6.35,1.08
2026-03-16,45.38,6.22,1.1
2026-03-17,46.32,6.35,1.08
2026-03-18,47.92,6.57,1.04
2026-03-19,46.75,6.41,1.07
2026-03-20,49.01,6.72,1.02
2026-03-23,46.32,6.35,1.08
2026-03-24,45.16,6.2,1.11
2026-03-25,45.74,6.27,1.09
2026-03-26,44.5,6.11,1.12
2026-03-27,44.14,6.06,1.13
2026-03-30,39.93,5.48,1.25
2026-03-31,36.08,4.95,1.38
2026-04-01,39.64,5.44,1.26
2026-04-02,39.28,5.39,1.27
2026-04-07,39.28,5.39,1.27
2026-04-08,41.53,5.7,1.2
2026-04-09,42.04,5.77,1.19
2026-04-10,43.92,6.03,1.14
2026-04-13,44.87,6.16,1.11
2026-04-14,46.46,6.37,1.08
2026-04-15,46.61,6.39,1.07
2026-04-16,50.46,6.92,0.99
2026-04-17,51.04,7.0,0.98
2026-04-20,52.64,7.22,0.95
2026-04-21,57.86,7.94,0.86
2026-04-22,59.02,8.1,0.85
2026-04-23,57.79,7.93,0.86
2026-04-24,61.2,8.4,0.82
2026-04-27,60.4,8.29,0.83
2026-04-28,58.08,7.97,0.86
2026-04-29,58.15,7.98,0.86
2026-04-30,60.04,8.24,0.83
2026-05-04,61.71,8.47,0.81
2026-05-05,60.26,8.27,0.83
2026-05-06,66.28,9.09,0.75
2026-05-07,69.62,9.55,0.72
2026-05-08,71.67,9.24,0.7
2026-05-11,78.78,10.16,0.64
2026-05-12,77.83,10.03,0.65
2026-05-13,70.06,9.03,0.72
2026-05-14,70.79,9.13,0.71
2026-05-15,67.49,8.7,0.75
2026-05-18,67.27,8.67,0.75
2026-05-19,64.93,8.37,0.78
2026-05-20,67.42,8.69,0.75
2026-05-21,71.89,9.27,0.7
2026-05-22,71.74,9.25,0.7
2026-05-25,71.82,9.26,0.7
2026-05-26,68.01,8.77,0.74
2026-05-27,65.95,8.5,0.76
2026-05-28,63.02,8.12,0.8
2026-05-29,64.71,8.34,0.77
2026-06-01,71.16,9.17,0.7
2026-06-02,67.05,8.64,0.75
2026-06-03,67.35,8.68,0.74
2026-06-04,63.61,8.2,0.79
2026-06-05,62.8,8.1,0.8
2026-06-08,61.12,7.88,0.82
2026-06-09,62.29,8.03,0.8
2026-06-10,59.21,7.63,0.85
2026-06-11,59.5,7.67,0.84
2026-06-12,60.16,7.76,0.83
2026-06-15,62.29,8.03,0.8
2026-06-16,63.24,8.15,0.79
2026-06-17,63.32,8.16,0.79
2026-06-18,64.19,8.28,0.78
2026-06-22,63.39,8.17,0.79
2026-06-23,64.12,8.27,0.78
2026-06-24,63.46,8.18,0.79
2026-06-25,62.0,7.99,0.81
2026-06-26,56.72,7.31,0.88
2026-06-29,58.41,7.53,0.86
2026-06-30,61.26,7.9,0.82
2026-07-01,65.22,8.41,0.77
2026-07-02,71.74,9.25,0.7
2026-07-03,68.15,8.79,0.73
2026-07-06,61.78,7.96,0.81
2026-07-07,59.14,7.62,0.85
2026-07-08,59.58,7.68,0.84
2026-07-09,61.7,7.95,0.81
2026-07-13,60.6,7.81,0.83
2026-07-14,54.59,7.04,0.92
2026-07-15,54.74,7.06,0.91
2026-07-16,55.25,7.12,0.91
2026-07-17,51.0,6.58,0.98
2026-07-20,49.32,6.36,1.02
2026-07-21,51.15,6.59,0.98
2026-07-22,52.62,6.78,0.95
2026-07-23,51.44,6.63,0.97
2026-07-24,49.9,6.43,1.0
2026-07-27,50.71,6.54,0.99
2026-07-28,45.65,5.89,1.1
2026-07-29,41.11,5.3,1.22
2026-07-30,40.82,5.26,1.23
2026-07-31,44.85,5.78,1.12
2026-08-03,47.63,6.14,1.05
2026-08-04,49.68,6.41,1.01
2026-08-05,52.91,6.82,0.95
2026-08-06,53.64,6.92,0.93
2026-08-07,54.45,7.02,0.92
2026-08-10,55.69,7.18,0.9
2026-08-11,57.97,7.47,0.86
2026-08-12,59.43,7.66,0.84
2026-08-13,61.41,7.92,0.82
2026-08-14,61.7,7.95,0.81
2026-08-17,59.5,7.67,0.84
2026-08-18,54.45,7.02,0.92
2026-08-19,53.2,6.86,0.94
2026-08-20,55.0,5.36,0.87
2026-08-21,54.27,5.29,0.88
2026-08-24,54.78,5.34,0.87
2026-08-25,56.69,5.52,0.84
2026-08-26,58.08,5.66,0.82
2026-08-27,56.76,5.53,0.84
2026-08-28,59.62,5.81,0.8
2026-08-31,59.77,5.82,0.8
2026-09-01,62.7,6.11,0.76
