date,foreign,trust,dealer,total
2026-09-01,26707598883,13600256976,16329538791,56637394650
2026-09-02,-91354536093,-3527707423,-20361619368,-115243862884
2026-09-03,-48145930763,693561823,-16707506431,-64159875371
2026-09-04,56212953803,-910866463,6370061244,61672148584
2026-09-07,88307738645,8724052469,15687071384,112718862498
2026-09-08,13268562679,-7243112674,-18540098481,-12514648476
2026-09-09,20924383308,2084512601,-1883854140,21125041769
2026-09-10,-38334160377,3350893757,-13763655736,-48746922356
2026-09-11,-89270444926,8213725742,-30201800886,-111258520070
2026-09-14,-36963571856,3695502542,-15092711618,-48360780932
2026-09-15,-62698898366,-1991151348,-14206165859,-78896215573
2026-09-16,-17980479320,10645635766,-12973938883,-20308782437
2026-09-17,12185000820,11703066352,1578033234,25466100406
2026-09-18,86994361942,8153449132,24303458512,119451269586
2026-09-21,20478937999,4596039545,22729588111,47804565655
2026-09-22,45320927564,-366418155,15854142842,60808652251
