key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,45.79
2024-03-31_GrossProfit,2024-03-31,GrossProfit,5560761000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,6111106000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,1602161000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,3960788000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,7429869000.0
2024-03-31_Revenue,2024-03-31,Revenue,11313191000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,3469081000.0
2024-06-30_EPS,2024-06-30,EPS,33.7
2024-06-30_GrossProfit,2024-06-30,GrossProfit,5326595000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,4498178000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,1426210000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,3889978000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,5806252000.0
2024-06-30_Revenue,2024-06-30,Revenue,10985235000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,1916274000.0
2024-09-30_EPS,2024-09-30,EPS,49.67
2024-09-30_GrossProfit,2024-09-30,GrossProfit,9563197000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,6629776000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,1714967000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,7800804000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,7848933000.0
2024-09-30_Revenue,2024-09-30,Revenue,18949140000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,48129000.0
2024-12-31_EPS,2024-12-31,EPS,65.01
2024-12-31_GrossProfit,2024-12-31,GrossProfit,10758756000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,8971892000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,2433440000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,8380961000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,11089316000.0
2024-12-31_Revenue,2024-12-31,Revenue,18209987000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,2708355000.0
2025-03-31_EPS,2025-03-31,EPS,48.28
2025-03-31_GrossProfit,2025-03-31,GrossProfit,7964512000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,6543101000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,1878180000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,6086332000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,7716420000.0
2025-03-31_Revenue,2025-03-31,Revenue,14579231000.0
2025-03-31_TotalNonoperatingIncomeAndExpense,2025-03-31,TotalNonoperatingIncomeAndExpense,1630088000.0
2025-06-30_EPS,2025-06-30,EPS,7.73
2025-06-30_GrossProfit,2025-06-30,GrossProfit,6260024000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,1056089000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,1381192000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,4878832000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,1793625000.0
2025-06-30_Revenue,2025-06-30,Revenue,11672625000.0
2025-06-30_TotalNonoperatingIncomeAndExpense,2025-06-30,TotalNonoperatingIncomeAndExpense,-3085207000.0
2025-09-30_EPS,2025-09-30,EPS,53.05
2025-09-30_GrossProfit,2025-09-30,GrossProfit,8352342000.0
2025-09-30_IncomeAfterTaxes,2025-09-30,IncomeAfterTaxes,7159076000.0
2025-09-30_OperatingExpenses,2025-09-30,OperatingExpenses,2087832000.0
2025-09-30_OperatingIncome,2025-09-30,OperatingIncome,6264510000.0
2025-09-30_PreTaxIncome,2025-09-30,PreTaxIncome,8154658000.0
2025-09-30_Revenue,2025-09-30,Revenue,17677392000.0
2025-09-30_TotalNonoperatingIncomeAndExpense,2025-09-30,TotalNonoperatingIncomeAndExpense,1890148000.0
2025-12-31_EPS,2025-12-31,EPS,50.35
2025-12-31_GrossProfit,2025-12-31,GrossProfit,8260176000.0
2025-12-31_IncomeAfterTaxes,2025-12-31,IncomeAfterTaxes,6801991000.0
2025-12-31_OperatingExpenses,2025-12-31,OperatingExpenses,1931586000.0
2025-12-31_OperatingIncome,2025-12-31,OperatingIncome,6328590000.0
2025-12-31_PreTaxIncome,2025-12-31,PreTaxIncome,8235507000.0
2025-12-31_Revenue,2025-12-31,Revenue,17218640000.0
2025-12-31_TotalNonoperatingIncomeAndExpense,2025-12-31,TotalNonoperatingIncomeAndExpense,1906917000.0
2026-03-31_EPS,2026-03-31,EPS,46.63
2026-03-31_GrossProfit,2026-03-31,GrossProfit,7679569000.0
2026-03-31_IncomeAfterTaxes,2026-03-31,IncomeAfterTaxes,6175912000.0
2026-03-31_OperatingExpenses,2026-03-31,OperatingExpenses,1867351000.0
2026-03-31_OperatingIncome,2026-03-31,OperatingIncome,5812218000.0
2026-03-31_PreTaxIncome,2026-03-31,PreTaxIncome,7287959000.0
2026-03-31_Revenue,2026-03-31,Revenue,15544079000.0
2026-03-31_TotalNonoperatingIncomeAndExpense,2026-03-31,TotalNonoperatingIncomeAndExpense,1475741000.0
2026-06-30_EPS,2026-06-30,EPS,35.7
2026-06-30_GrossProfit,2026-06-30,GrossProfit,6752934000.0
2026-06-30_IncomeAfterTaxes,2026-06-30,IncomeAfterTaxes,4726108000.0
2026-06-30_OperatingExpenses,2026-06-30,OperatingExpenses,1604929000.0
2026-06-30_OperatingIncome,2026-06-30,OperatingIncome,5148005000.0
2026-06-30_PreTaxIncome,2026-06-30,PreTaxIncome,6099156000.0
2026-06-30_Revenue,2026-06-30,Revenue,13664759000.0
2026-06-30_TotalNonoperatingIncomeAndExpense,2026-06-30,TotalNonoperatingIncomeAndExpense,951151000.0
