date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,58015000
2024-02-01,2024,1,53394000
2024-03-01,2024,2,40321000
2024-04-01,2024,3,54483000
2024-05-01,2024,4,52665000
2024-06-01,2024,5,45291000
2024-07-01,2024,6,48061000
2024-08-01,2024,7,40916000
2024-09-01,2024,8,44854000
2024-10-01,2024,9,46476000
2024-11-01,2024,10,44600000
2024-12-01,2024,11,50917000
2025-01-01,2024,12,51774000
2025-02-01,2025,1,65710000
2025-03-01,2025,2,69730000
2025-04-01,2025,3,70679000
2025-05-01,2025,4,55673000
2025-06-01,2025,5,50426000
2025-07-01,2025,6,47117000
2025-08-01,2025,7,48767000
2025-09-01,2025,8,51702000
2025-10-01,2025,9,50414000
2025-11-01,2025,10,54311000
2025-12-01,2025,11,56984000
2026-01-01,2025,12,61763000
2026-02-01,2026,1,67713000
2026-03-01,2026,2,50766000
2026-04-01,2026,3,64206000
2026-05-01,2026,4,62453000
2026-06-01,2026,5,57152000
2026-07-01,2026,6,76706000
2026-08-01,2026,7,96043000
