date,foreign,trust,dealer,total
2026-01-02,-128586,40500,-60815,-148901
2026-01-05,206002,-19000,-4573,182429
2026-01-06,-833359,-24501,-71738,-929598
2026-01-07,-9740,140000,-25476,104784
2026-01-08,838189,1000,124889,964078
2026-01-09,1905608,11000,81023,1997631
2026-01-12,483440,23000,31312,537752
2026-01-13,2040203,1035701,169676,3245580
2026-01-14,1116069,-639000,-116206,360863
2026-01-15,-178855,-183000,-49243,-411098
2026-01-16,217818,-234000,83200,67018
2026-01-19,582652,-114000,15584,484236
2026-01-20,142900,150000,-9917,282983
2026-01-21,93039,-30000,-13491,49548
2026-01-22,293894,-10000,36000,319894
2026-01-23,24333,50000,26398,100731
2026-01-26,-57050,0,23000,-34050
2026-01-27,-73500,-30000,21900,-81600
2026-01-28,133313,30000,25000,188313
2026-01-29,-100295,22000,16278,-62017
2026-01-30,-438483,225500,-104194,-317177
2026-02-02,-100911,165001,-48105,15985
2026-02-03,-121207,204000,19249,102042
2026-02-04,-153606,96000,-26141,-83747
2026-02-05,-159628,16000,-9343,-152971
2026-02-06,-68554,317000,-11216,237230
2026-02-09,102000,281000,50644,433644
2026-02-10,551624,275000,-106709,719915
2026-02-11,-76937,-303000,-6462,-386399
2026-02-23,-259742,-388000,-44969,-692711
2026-02-24,-134214,143000,-24994,-16208
2026-02-25,-110024,0,-1471,-111495
2026-02-26,-134933,0,2908,-132025
2026-03-02,49839,-32000,7706,25545
2026-03-03,155194,-127000,32698,60892
2026-03-04,48787,4000,-9731,43056
2026-03-05,148970,-8000,7045,148015
2026-03-06,1042,-36000,-9012,-43970
2026-03-09,-12458,2000,7581,-2877
2026-03-10,-97786,-13000,-27750,-138536
2026-03-11,-118143,1000,-16000,-133143
2026-03-12,-1288951,465000,-40653,-864604
2026-03-13,-970790,82000,-32109,-920899
2026-03-16,-149643,342000,-46018,146339
2026-03-17,-828567,253000,19462,-556105
2026-03-18,144154,-6000,4187,142341
2026-03-19,261209,-39000,18525,240734
2026-03-20,-562772,-264884,-16314,-843970
2026-03-23,-144688,-327000,-4235,-475923
2026-03-24,1243674,-701000,-6098,536576
2026-03-25,115536,-13000,-79751,22785
2026-03-26,90590,64500,32752,187842
2026-03-27,217448,85000,-4126,298322
2026-03-30,325041,181000,-5669,500372
2026-03-31,118091,98000,-68101,147990
2026-04-01,122683,115000,61155,298838
2026-04-02,-429850,16999,-16831,-429682
2026-04-07,333761,67000,4628,405389
2026-04-08,-1485956,-179001,32729,-1632228
2026-04-09,1261836,-40000,91781,1313617
2026-04-10,815971,57000,-13746,859225
2026-04-13,831160,34000,29991,895151
