date,revenue_year,revenue_month,revenue
2024-01-01,2023,12,39542000
2024-02-01,2024,1,52347000
2024-03-01,2024,2,47297000
2024-04-01,2024,3,48939000
2024-05-01,2024,4,44069000
2024-06-01,2024,5,38187000
2024-07-01,2024,6,39451000
2024-08-01,2024,7,29911000
2024-09-01,2024,8,25445000
2024-10-01,2024,9,45798000
2024-11-01,2024,10,32297000
2024-12-01,2024,11,23012000
2025-01-01,2024,12,22496000
2025-02-01,2025,1,24915000
2025-03-01,2025,2,19782000
2025-04-01,2025,3,28547000
2025-05-01,2025,4,26699000
2025-06-01,2025,5,27460000
2025-07-01,2025,6,19607000
2025-08-01,2025,7,32701000
2025-09-01,2025,8,28907000
2025-10-01,2025,9,25004000
2025-11-01,2025,10,27473000
2025-12-01,2025,11,36825000
2026-01-01,2025,12,20741000
2026-02-01,2026,1,26156000
2026-03-01,2026,2,22753000
2026-04-01,2026,3,29889000
2026-05-01,2026,4,47131000
2026-06-01,2026,5,29203000
2026-07-01,2026,6,54132000
2026-08-01,2026,7,57231000
