date,margin_balance,short_balance,margin_limit,offset
2026-01-02,34451,1198,873026,12
2026-01-05,34257,1169,873026,7
2026-01-06,34120,1180,873026,6
2026-01-07,33112,1221,873026,8
2026-01-08,33786,1204,873026,21
2026-01-09,33595,1198,873026,2
2026-01-12,33671,1179,873026,2
2026-01-13,33885,1169,873026,2
2026-01-14,33912,1168,873026,0
2026-01-15,33970,1194,873026,4
2026-01-16,34299,1085,873026,10
2026-01-19,34343,1147,873026,0
2026-01-20,34323,1183,873026,10
2026-01-21,33884,1200,873026,8
2026-01-22,33637,1212,873026,7
2026-01-23,33978,1096,873026,3
2026-01-26,33920,1090,873026,17
2026-01-27,33843,1094,873026,0
2026-01-28,33772,1114,873026,6
2026-01-29,33612,1115,873026,3
2026-01-30,33587,1098,873026,3
2026-02-02,33362,1061,873026,6
2026-02-03,33067,1046,873026,0
2026-02-04,32713,1049,873026,3
2026-02-05,32488,1065,873026,2
2026-02-06,32017,1084,873026,1
2026-02-09,31914,1081,873026,2
2026-02-10,31703,979,873026,1
2026-02-11,31072,978,873026,0
2026-02-23,30240,1004,873026,2
2026-02-24,29977,1012,873026,2
2026-02-25,29726,1019,873026,1
2026-02-26,28923,1068,873026,3
2026-03-02,30904,1074,873026,37
2026-03-03,34198,630,873026,70
2026-03-04,34163,1229,873026,447
2026-03-05,34458,508,873026,267
2026-03-06,34863,750,873026,69
2026-03-09,36300,1006,873026,293
2026-03-10,36041,952,873026,27
2026-03-11,35340,964,873026,7
2026-03-12,34563,954,873026,26
2026-03-13,35022,994,873026,34
2026-03-16,35818,811,873026,7
2026-03-17,35841,1411,873026,11
2026-03-18,35112,1301,873026,11
2026-03-19,35486,331,873026,16
2026-03-20,35277,570,873026,3
2026-03-23,35165,4,873026,0
2026-03-24,34704,0,873026,0
2026-03-25,34321,0,873026,0
2026-03-26,34212,0,873026,0
2026-03-27,34450,13,873026,44
2026-03-30,34884,38,873026,57
2026-03-31,34550,20,873026,1
2026-04-01,34458,139,873026,1
2026-04-02,34221,132,873026,2
2026-04-07,34513,133,873026,0
2026-04-08,35094,131,873026,2
2026-04-09,35439,131,873026,3
2026-04-10,35339,134,873026,2
2026-04-13,35703,127,873026,2
2026-04-14,35764,125,873026,2
2026-04-15,35831,125,873026,2
2026-04-16,36264,144,873026,2
2026-04-17,36175,136,873026,0
2026-04-20,35800,134,873026,0
2026-04-21,35758,20,873026,0
2026-04-22,35950,23,873026,2
2026-04-23,36183,23,873026,35
2026-04-24,35647,26,873026,1
2026-04-27,35350,123,873026,1
2026-04-28,35685,128,873026,5
2026-04-29,35891,130,873026,0
2026-04-30,35725,126,873026,2
2026-05-04,35691,122,873026,3
2026-05-05,35829,114,873026,4
2026-05-06,35816,115,873026,0
2026-05-07,35492,109,873026,0
2026-05-08,36021,122,873026,10
2026-05-11,35837,126,873026,0
2026-05-12,35989,122,873026,0
2026-05-13,36302,119,873026,2
2026-05-14,36292,130,873026,2
2026-05-15,36057,128,873026,0
2026-05-18,35794,132,873026,3
2026-05-19,35800,100,873026,2
2026-05-20,35936,105,873026,21
2026-05-21,35105,162,873026,2
2026-05-22,36839,126,873026,7
2026-05-25,36406,118,873026,18
2026-05-26,35934,109,873026,1
2026-05-27,33309,115,873026,15
2026-05-28,33339,110,873026,1
2026-05-29,32835,110,873026,5
2026-06-01,34580,133,873026,17
2026-06-02,33559,114,873026,4
2026-06-03,33534,103,873026,16
2026-06-04,34174,73,873026,5
2026-06-05,33985,81,873026,26
2026-06-08,34916,40,873026,6
2026-06-09,35106,46,873026,32
2026-06-10,35937,45,873026,3
2026-06-11,37236,24,873026,8
2026-06-12,37239,30,873026,10
2026-06-15,39066,32,873026,111
2026-06-16,38313,55,873026,4
2026-06-17,37521,61,873026,2
2026-06-18,37510,65,873026,6
2026-06-22,36323,72,873026,7
2026-06-23,36790,64,873026,1
2026-06-24,36460,64,873026,0
2026-06-25,36252,63,873026,0
2026-06-26,36300,59,873026,1
2026-06-29,36166,69,873026,9
2026-06-30,36007,67,873026,1
2026-07-01,36587,55,873026,13
2026-07-02,37269,45,873026,1
2026-07-03,36641,39,873026,12
2026-07-06,35982,31,873026,1
2026-07-07,36208,20,873026,42
2026-07-08,35885,0,873026,0
2026-07-09,35597,0,873026,0
2026-07-13,35892,0,873026,0
2026-07-14,36497,13,873026,89
2026-07-15,35577,329,873026,39
2026-07-16,35341,330,873026,9
2026-07-17,34495,284,873026,1
2026-07-20,34422,282,873026,9
2026-07-21,33986,314,873026,6
2026-07-22,33696,317,873026,0
2026-07-23,33938,308,873026,0
2026-07-24,33106,330,873026,1
2026-07-27,32989,326,873026,2
2026-07-28,32604,325,873026,0
2026-07-29,31971,339,873026,2
2026-07-30,31739,359,873026,4
2026-07-31,31396,319,873026,13
2026-08-03,31506,316,873026,1
2026-08-04,31519,314,873026,1
2026-08-05,32371,300,873026,0
2026-08-06,32580,298,873026,0
2026-08-07,32506,299,873026,0
2026-08-10,32115,308,873026,2
2026-08-11,31851,314,873026,2
2026-08-12,31884,308,873026,0
2026-08-13,32546,307,873026,0
2026-08-14,32162,306,873026,10
2026-08-17,34051,596,873026,83
2026-08-18,34403,841,873026,132
2026-08-19,36303,995,873026,82
2026-08-20,33626,1879,873026,110
2026-08-21,37454,2776,873026,218
2026-08-24,35612,3288,873026,158
2026-08-25,38725,2914,873026,477
2026-08-26,37018,2260,873026,179
2026-08-27,35601,2323,873026,63
2026-08-28,37934,1935,873026,14
2026-08-31,38703,2144,873026,35
2026-09-01,38498,2075,873026,33
2026-09-02,37959,2034,873026,12
