date,foreign,trust,dealer,total
2026-01-02,-279213,304725,113286,138798
2026-01-05,-543412,264981,44550,-233881
2026-01-06,-270842,459542,48163,236863
2026-01-07,-18334,186647,6340,174653
2026-01-08,-324350,34689,-33644,-323305
2026-01-09,-102902,-68449,39958,-131393
2026-01-12,-172461,-8181,-58573,-239215
2026-01-13,-186336,47743,-54133,-192726
2026-01-14,-185657,3766,1203,-180688
2026-01-15,-118446,9690,-23545,-132301
2026-01-16,-20738,-1513,38689,16438
2026-01-19,165297,-11150,2480,156627
2026-01-20,-97538,2635,-18526,-113429
2026-01-21,202822,-10537,-45418,146867
2026-01-22,-250087,-91182,-1374,-342643
2026-01-23,1218,171,1260,2649
2026-01-26,10276,-89331,-7299,-86354
2026-01-27,-96332,-8000,-4403,-108735
2026-01-28,31512,-44129,10205,-2412
2026-01-29,23770,-12529,-37235,-25994
2026-01-30,-155929,-4257,-58561,-218747
2026-02-02,-135078,10000,-55915,-180993
2026-02-03,-80600,3952,-484,-77132
2026-02-04,104065,-3000,6421,107486
2026-02-05,-105449,3011,-12090,-114528
2026-02-06,25577,3675,-1405,27847
2026-02-09,-7188,-2000,-6486,-15674
2026-02-10,81086,-4257,5026,81855
2026-02-11,-15376,1000,-28451,-42827
2026-02-23,91964,-2257,86041,175748
2026-02-24,173851,543,36645,211039
2026-02-25,404767,13614,13685,432066
2026-02-26,504849,8471,66601,579921
2026-03-02,-305200,13614,-78216,-369802
2026-03-03,-182640,8871,-5573,-179342
2026-03-04,-350427,774,-52408,-402061
2026-03-05,127516,4316,-1134,130698
2026-03-06,27463,2500,4661,34624
2026-03-09,-340577,10892,-58820,-388505
2026-03-10,17676,2021,-2114,17583
2026-03-11,573970,-2000,53176,625146
2026-03-12,154559,-182429,-9750,-37620
2026-03-13,-140347,-3257,-3302,-146906
2026-03-16,-85750,-13200,-20362,-119312
2026-03-17,-52426,238748,29937,216259
2026-03-18,-159055,221894,52439,115278
2026-03-19,-103814,-107192,-31261,-242267
2026-03-20,111319,11475,-1540,121254
2026-03-23,-219078,-56127,-41398,-316603
2026-03-24,141607,-130113,-1776,9718
2026-03-25,-5230,-203042,631,-207641
2026-03-26,100811,-48041,2407,55177
2026-03-27,53572,-140123,-15546,-102097
2026-03-30,-13737,-60115,-2156,-76008
2026-03-31,-18253,4970,5642,-7641
2026-04-01,48932,709,9038,58679
2026-04-02,-126376,670,-5168,-130874
2026-04-07,110618,3228,19447,133293
2026-04-08,529476,-4379,55918,581015
2026-04-09,361165,-6134,5260,360291
2026-04-10,142500,-2966,9808,149342
2026-04-13,420671,-21218,109326,508779
2026-04-14,737814,-154031,226281,810064
2026-04-15,-192057,-110015,-171,-302243
2026-04-16,479832,-72089,66075,473818
2026-04-17,185511,-156279,-49090,-19858
2026-04-20,844026,-116187,94444,822283
2026-04-21,40971,-48400,-49073,-56502
2026-04-22,156320,-78077,-24705,53538
2026-04-23,-121352,-131020,-30665,-283037
2026-04-24,160323,-114312,11753,57764
2026-04-27,191910,-657,64597,255850
2026-04-28,-209501,-61398,-32180,-303079
2026-04-29,224853,559,-44132,181280
2026-04-30,-330510,-255,-25593,-356358
2026-05-04,408006,-28000,55148,435154
2026-05-05,-56174,-36170,-21449,-113793
2026-05-06,8693,4696,-13347,42
2026-05-07,229730,-12034,30495,248191
2026-05-08,-57953,-127,-30590,-88670
2026-05-11,230,-17181,-38094,-55045
2026-05-12,228006,154000,202506,584512
2026-05-13,199121,16387,-128283,87225
2026-05-14,632792,319872,153972,1106636
2026-05-15,619101,-2918,136537,752720
2026-05-18,862187,0,-184152,678035
2026-05-19,325427,249733,44556,619716
2026-05-20,-253658,120745,-110366,-243279
2026-05-21,142931,24000,146251,313182
2026-05-22,-974,2872,15377,17275
2026-05-25,-58270,9000,77980,28710
2026-05-26,-302048,-12158,-92479,-406685
2026-05-27,-119000,230,-8315,-127085
2026-05-28,51821,-9000,-45329,-2508
2026-05-29,-225634,-7125,61534,-171225
2026-06-01,104413,2000,39541,145954
2026-06-02,-140606,-3255,1181,-142680
2026-06-03,-363772,203725,-11763,-171810
2026-06-04,-12999,23980,-23220,-12239
2026-06-05,29076,-147585,-63465,-181974
2026-06-08,486094,-26070,-136016,324008
2026-06-09,-359287,107943,94092,-157252
2026-06-10,922736,152937,-129932,945741
2026-06-11,-683485,95020,4866,-583599
2026-06-12,-678490,219852,86862,-371776
2026-06-15,408296,146062,64184,618542
2026-06-16,-215135,136298,84206,5369
2026-06-17,311668,470834,-11556,770946
2026-06-18,-188525,184463,50559,46497
2026-06-22,8909,-1400,21994,29503
2026-06-23,-70796,3037,-23975,-91734
2026-06-24,128348,10000,-37346,101002
2026-06-25,-692711,196846,68538,-427327
2026-06-26,-173304,-137982,-36572,-347858
2026-06-29,188341,-280945,7593,-85011
2026-06-30,-1102321,0,77816,-1024505
2026-07-01,-225708,-193614,30458,-388864
2026-07-02,-301315,-122073,61345,-362043
2026-07-03,-301867,-129064,56571,-374360
2026-07-06,89151,-160390,-3060,-74299
2026-07-07,267025,-171986,-121029,-25990
2026-07-08,-200163,-8743,-28581,-237487
2026-07-09,-485249,22739,13247,-449263
2026-07-13,13322,7000,94523,114845
2026-07-14,-528214,381376,-83135,-229973
2026-07-15,-1114397,-4577,59691,-1059283
2026-07-16,953,220929,50724,272606
2026-07-17,102072,55110,-75348,81834
2026-07-20,-45997,64417,7461,25881
2026-07-21,-380520,58000,29223,-293297
2026-07-22,-324130,331931,-39787,-31986
2026-07-23,-10361,67983,-14682,42940
2026-07-24,-113977,6045,-88695,-196627
2026-07-27,-317080,422000,-59691,45229
2026-07-28,-278654,184017,-11726,-106363
2026-07-29,-273701,111017,-16026,-178710
2026-07-30,-180775,80487,-26315,-126603
2026-07-31,-465900,152248,62113,-251539
2026-08-03,-472655,66913,28298,-377444
2026-08-04,-84018,19000,48413,-16605
2026-08-05,-389081,421000,-49966,-18047
2026-08-06,-176974,98000,-28819,-107793
2026-08-07,-219802,28000,15566,-176236
2026-08-10,80759,-76171,62744,67332
2026-08-11,-105522,-23022,-11554,-140098
2026-08-12,-44488,199000,82239,236751
2026-08-13,-140298,80557,73970,14229
2026-08-14,-71481,85268,-73400,-59613
2026-08-17,652342,46000,101186,799528
2026-08-18,-142772,137000,158902,153130
2026-08-19,-135887,84000,132972,81085
2026-08-20,-244056,64000,6440,-173616
2026-08-21,-348511,95166,13266,-240079
2026-08-24,-269876,168883,-52144,-153137
2026-08-25,15906,-107000,7251,-83843
2026-08-26,-116464,42951,106055,32542
2026-08-27,-141153,217966,19466,96279
2026-08-28,563648,159680,-99592,623736
