date,foreign,trust,dealer,total
2026-01-27,500,0,0,500
2026-01-28,50000,0,0,50000
2026-01-29,100,0,0,100
2026-01-30,14901,0,0,14901
2026-02-02,2000,0,0,2000
2026-02-03,-57000,0,0,-57000
2026-02-04,-10000,0,0,-10000
2026-02-23,-500,0,0,-500
2026-03-06,-1,0,0,-1
2026-03-13,0,0,0,0
2026-03-18,30000,0,0,30000
2026-03-19,-30000,0,0,-30000
2026-03-23,0,0,0,0
2026-03-26,50300,0,0,50300
2026-03-27,-200,0,0,-200
2026-03-30,9901,0,0,9901
2026-03-31,-40000,0,0,-40000
2026-04-01,10000,0,0,10000
2026-04-02,-30000,0,0,-30000
2026-04-07,0,0,0,0
2026-04-09,0,0,0,0
2026-04-10,150,0,0,150
2026-04-13,0,0,0,0
2026-04-14,100,0,0,100
2026-04-17,-1,0,0,-1
2026-04-20,220,0,0,220
2026-04-21,30,0,0,30
2026-04-22,-200,0,0,-200
2026-04-23,0,0,0,0
2026-04-24,300,0,0,300
2026-04-27,20,0,0,20
2026-05-04,1930,0,0,1930
2026-05-05,-1900,0,0,-1900
2026-05-06,-99,0,0,-99
2026-05-18,-50,0,0,-50
2026-05-19,0,0,0,0
2026-05-22,10,0,0,10
2026-05-29,20,0,0,20
2026-06-01,300,0,0,300
2026-06-03,-100,0,0,-100
2026-06-04,-190,0,0,-190
2026-06-05,10,0,0,10
2026-06-08,5000,0,0,5000
2026-06-09,3000,0,0,3000
2026-06-10,-1990,0,0,-1990
2026-06-12,0,0,0,0
2026-06-15,-1,0,0,-1
2026-06-16,1000,0,0,1000
2026-06-17,80,0,0,80
2026-06-18,1000,0,0,1000
2026-06-22,1000,0,0,1000
2026-06-23,1000,0,0,1000
2026-06-24,0,0,0,0
2026-06-26,9970,0,0,9970
2026-07-07,-30,0,0,-30
2026-07-08,-7000,0,0,-7000
2026-07-09,3910,0,0,3910
2026-07-13,-9000,0,0,-9000
2026-07-14,-4000,0,0,-4000
2026-07-22,10000,0,0,10000
2026-07-23,-3000,0,0,-3000
2026-07-27,-1000,0,0,-1000
2026-07-28,-4000,0,0,-4000
2026-07-29,-2000,0,0,-2000
2026-07-30,1000,0,0,1000
2026-08-04,2000,0,0,2000
2026-08-05,199,0,0,199
2026-08-31,100,0,0,100
