date,per,pbr,dividend_yield
2025-06-16,10.74,1.84,4.6
2025-06-17,10.98,1.88,4.5
2025-06-18,11.35,1.94,4.35
2025-06-19,11.0,1.88,4.49
2025-06-20,11.5,1.97,4.3
2025-06-23,11.31,1.93,4.37
2025-06-24,11.36,1.94,4.35
2025-06-25,11.32,1.94,4.36
2025-06-26,11.21,1.92,4.41
2025-06-27,11.39,1.95,4.34
2025-06-30,11.47,1.96,4.31
2025-07-01,11.5,1.97,4.3
2025-07-02,11.61,1.99,4.26
2025-07-03,11.46,1.96,4.31
2025-07-04,11.4,1.95,4.33
2025-07-07,11.39,1.95,4.34
2025-07-08,11.25,1.92,4.39
2025-07-09,11.5,1.97,4.3
2025-07-10,11.54,1.97,4.28
2025-07-11,11.54,1.97,4.28
2025-07-14,11.4,1.95,4.33
2025-07-15,11.36,1.94,4.35
2025-07-16,11.27,1.93,4.38
2025-07-17,11.42,1.95,4.33
2025-07-18,11.47,1.96,4.31
2025-07-21,11.53,1.97,4.29
2025-07-22,11.32,1.94,4.36
2025-07-23,11.48,1.96,4.3
2025-07-24,12.07,2.07,4.09
2025-07-25,12.03,2.06,4.1
2025-07-28,12.05,2.06,4.1
2025-07-29,11.99,2.05,4.12
2025-07-30,12.02,2.06,4.11
2025-07-31,11.9,2.04,4.15
2025-08-01,11.8,2.02,4.19
2025-08-04,12.05,2.06,4.1
2025-08-05,12.13,2.07,4.07
2025-08-06,11.86,2.03,4.17
2025-08-07,12.1,2.07,4.08
2025-08-08,12.03,2.06,4.1
2025-08-11,12.02,2.06,4.11
2025-08-12,14.8,2.27,4.1
2025-08-13,14.58,2.24,4.16
2025-08-14,14.41,2.21,4.21
2025-08-15,14.55,2.23,4.17
2025-08-18,15.05,2.31,4.03
2025-08-19,15.08,2.32,4.02
2025-08-20,14.34,2.2,4.23
2025-08-21,14.83,2.28,4.09
2025-08-22,14.55,2.23,4.17
2025-08-25,15.08,2.32,4.02
2025-08-26,14.97,2.3,4.05
2025-08-27,15.57,2.39,3.89
2025-08-28,15.54,2.39,3.9
2025-08-29,15.32,2.35,3.96
2025-09-01,14.95,2.3,4.05
2025-09-02,14.66,2.25,4.13
2025-09-03,14.85,2.28,4.08
2025-09-04,15.02,2.31,4.04
2025-09-05,14.95,2.3,4.05
2025-09-08,15.27,2.35,3.97
2025-09-09,15.12,2.32,4.01
2025-09-10,14.73,2.26,4.11
2025-09-11,14.21,2.18,4.27
2025-09-12,13.99,2.15,4.33
2025-09-15,13.99,2.15,4.33
2025-09-16,14.43,2.22,4.2
2025-09-17,14.18,2.18,4.28
2025-09-18,14.48,2.22,4.19
2025-09-19,14.53,2.23,4.17
2025-09-22,14.9,2.29,4.07
2025-09-23,14.93,2.29,4.06
2025-09-24,14.6,2.24,4.15
2025-09-25,14.51,2.23,4.18
2025-09-26,14.16,2.17,4.28
2025-09-30,14.41,2.21,4.21
2025-10-01,14.36,2.21,4.22
2025-10-02,14.33,2.2,4.23
2025-10-03,14.49,2.23,4.18
2025-10-07,15.17,2.33,4.0
2025-10-08,15.0,2.3,4.04
2025-10-09,14.31,2.2,4.24
2025-10-13,13.89,2.13,4.36
2025-10-14,13.67,2.1,4.43
2025-10-15,14.11,2.17,4.3
2025-10-16,14.24,2.19,4.26
2025-10-17,14.04,2.16,4.32
2025-10-20,14.19,2.18,4.27
2025-10-21,14.49,2.23,4.18
2025-10-22,14.53,2.23,4.17
2025-10-23,14.46,2.22,4.19
