key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,15.83
2024-03-31_GrossProfit,2024-03-31,GrossProfit,1971007000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,1226263000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,759275000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,1211732000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,1532841000.0
2024-03-31_Revenue,2024-03-31,Revenue,10489988000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,321109000.0
2024-06-30_EPS,2024-06-30,EPS,20.05
2024-06-30_GrossProfit,2024-06-30,GrossProfit,2575568000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,1588959000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,925990000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,1649578000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,1983983000.0
2024-06-30_Revenue,2024-06-30,Revenue,13581755000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,334405000.0
2024-09-30_EPS,2024-09-30,EPS,22.46
2024-09-30_GrossProfit,2024-09-30,GrossProfit,2885299000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,1791243000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,1003890000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,1881409000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,2245949000.0
2024-09-30_Revenue,2024-09-30,Revenue,14825554000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,364540000.0
2024-12-31_EPS,2024-12-31,EPS,22.91
2024-12-31_GrossProfit,2024-12-31,GrossProfit,2769129000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,1840075000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,1015481000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,1753648000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,2045374000.0
2024-12-31_Revenue,2024-12-31,Revenue,13071273000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,291726000.0
2025-03-31_EPS,2025-03-31,EPS,18.13
2025-03-31_GrossProfit,2025-03-31,GrossProfit,2428748000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,1461343000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,934288000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,1494460000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,1793179000.0
2025-03-31_Revenue,2025-03-31,Revenue,10484855000.0
2025-03-31_TotalNonoperatingIncomeAndExpense,2025-03-31,TotalNonoperatingIncomeAndExpense,298719000.0
2025-06-30_EPS,2025-06-30,EPS,16.37
2025-06-30_GrossProfit,2025-06-30,GrossProfit,1887215000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,1322025000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,737119000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,1150096000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,1599447000.0
