key,date,type,value
2024-03-31_EPS,2024-03-31,EPS,4.94
2024-03-31_GrossProfit,2024-03-31,GrossProfit,1688808000.0
2024-03-31_IncomeAfterTaxes,2024-03-31,IncomeAfterTaxes,662649000.0
2024-03-31_OperatingExpenses,2024-03-31,OperatingExpenses,983364000.0
2024-03-31_OperatingIncome,2024-03-31,OperatingIncome,705444000.0
2024-03-31_PreTaxIncome,2024-03-31,PreTaxIncome,774878000.0
2024-03-31_Revenue,2024-03-31,Revenue,5690371000.0
2024-03-31_TotalNonoperatingIncomeAndExpense,2024-03-31,TotalNonoperatingIncomeAndExpense,69434000.0
2024-06-30_EPS,2024-06-30,EPS,6.78
2024-06-30_GrossProfit,2024-06-30,GrossProfit,2052861000.0
2024-06-30_IncomeAfterTaxes,2024-06-30,IncomeAfterTaxes,907392000.0
2024-06-30_OperatingExpenses,2024-06-30,OperatingExpenses,1022736000.0
2024-06-30_OperatingIncome,2024-06-30,OperatingIncome,1030125000.0
2024-06-30_PreTaxIncome,2024-06-30,PreTaxIncome,1103165000.0
2024-06-30_Revenue,2024-06-30,Revenue,6719781000.0
2024-06-30_TotalNonoperatingIncomeAndExpense,2024-06-30,TotalNonoperatingIncomeAndExpense,73040000.0
2024-09-30_EPS,2024-09-30,EPS,7.71
2024-09-30_GrossProfit,2024-09-30,GrossProfit,2366393000.0
2024-09-30_IncomeAfterTaxes,2024-09-30,IncomeAfterTaxes,1033650000.0
2024-09-30_OperatingExpenses,2024-09-30,OperatingExpenses,1175799000.0
2024-09-30_OperatingIncome,2024-09-30,OperatingIncome,1190594000.0
2024-09-30_PreTaxIncome,2024-09-30,PreTaxIncome,1203839000.0
2024-09-30_Revenue,2024-09-30,Revenue,6611397000.0
2024-09-30_TotalNonoperatingIncomeAndExpense,2024-09-30,TotalNonoperatingIncomeAndExpense,13245000.0
2024-12-31_EPS,2024-12-31,EPS,6.32
2024-12-31_GrossProfit,2024-12-31,GrossProfit,1999492000.0
2024-12-31_IncomeAfterTaxes,2024-12-31,IncomeAfterTaxes,846897000.0
2024-12-31_OperatingExpenses,2024-12-31,OperatingExpenses,1122767000.0
2024-12-31_OperatingIncome,2024-12-31,OperatingIncome,876725000.0
2024-12-31_PreTaxIncome,2024-12-31,PreTaxIncome,980521000.0
2024-12-31_Revenue,2024-12-31,Revenue,6022643000.0
2024-12-31_TotalNonoperatingIncomeAndExpense,2024-12-31,TotalNonoperatingIncomeAndExpense,103796000.0
2025-03-31_EPS,2025-03-31,EPS,7.17
2025-03-31_GrossProfit,2025-03-31,GrossProfit,1972615000.0
2025-03-31_IncomeAfterTaxes,2025-03-31,IncomeAfterTaxes,961368000.0
2025-03-31_OperatingExpenses,2025-03-31,OperatingExpenses,877978000.0
2025-03-31_OperatingIncome,2025-03-31,OperatingIncome,1094637000.0
2025-03-31_PreTaxIncome,2025-03-31,PreTaxIncome,1142633000.0
2025-03-31_Revenue,2025-03-31,Revenue,7023644000.0
2025-03-31_TotalNonoperatingIncomeAndExpense,2025-03-31,TotalNonoperatingIncomeAndExpense,47996000.0
2025-06-30_EPS,2025-06-30,EPS,5.84
2025-06-30_GrossProfit,2025-06-30,GrossProfit,2033918000.0
2025-06-30_IncomeAfterTaxes,2025-06-30,IncomeAfterTaxes,781665000.0
2025-06-30_OperatingExpenses,2025-06-30,OperatingExpenses,1090256000.0
2025-06-30_OperatingIncome,2025-06-30,OperatingIncome,943662000.0
2025-06-30_PreTaxIncome,2025-06-30,PreTaxIncome,929011000.0
2025-06-30_Revenue,2025-06-30,Revenue,6104577000.0
2025-06-30_TotalNonoperatingIncomeAndExpense,2025-06-30,TotalNonoperatingIncomeAndExpense,-14651000.0
2025-09-30_EPS,2025-09-30,EPS,6.47
2025-09-30_GrossProfit,2025-09-30,GrossProfit,2086067000.0
2025-09-30_IncomeAfterTaxes,2025-09-30,IncomeAfterTaxes,866875000.0
2025-09-30_OperatingExpenses,2025-09-30,OperatingExpenses,1031267000.0
2025-09-30_OperatingIncome,2025-09-30,OperatingIncome,1054800000.0
2025-09-30_PreTaxIncome,2025-09-30,PreTaxIncome,1015213000.0
2025-09-30_Revenue,2025-09-30,Revenue,8613108000.0
2025-09-30_TotalNonoperatingIncomeAndExpense,2025-09-30,TotalNonoperatingIncomeAndExpense,-39587000.0
2025-12-31_EPS,2025-12-31,EPS,8.65
2025-12-31_GrossProfit,2025-12-31,GrossProfit,2361222000.0
2025-12-31_IncomeAfterTaxes,2025-12-31,IncomeAfterTaxes,1159658000.0
2025-12-31_OperatingExpenses,2025-12-31,OperatingExpenses,1104705000.0
2025-12-31_OperatingIncome,2025-12-31,OperatingIncome,1256517000.0
2025-12-31_PreTaxIncome,2025-12-31,PreTaxIncome,1355810000.0
