N,d,rule,H,n_in,n_blk,diff_pp,hw95_pp,band_lo,band_hi,reading
10,inf,null,60,431,1875,0.016587808100965162,4.107529966247345,-4.035981418517502,4.179078513977188,量不準（hw>0.585）
10,inf,null,120,411,1755,2.0810764536337096,5.589965127060916,-5.320745742018806,5.859184512103027,量不準（hw>0.585）
10,inf,relvol,60,432,1816,-1.434107084076043,3.902544581687512,-3.664337574138227,4.140751589236798,量不準（hw>0.585）
10,inf,relvol,120,414,1654,-1.523109239824244,6.047876654184188,-6.377156281777276,5.7185970265911,量不準（hw>0.585）
20,inf,null,60,860,4047,0.7588035104673118,2.3651306747038525,-2.4700571115000396,2.2602042379076654,量不準（hw>0.585）
20,inf,null,120,827,3789,2.6100794216378524,3.5304495206208055,-3.524910673968524,3.535988367273087,量不準（hw>0.585）
20,inf,relvol,60,861,3766,0.5577760951488362,2.721822761854184,-2.6928816352977494,2.750763888410619,量不準（hw>0.585）
20,inf,relvol,120,826,3486,1.6076419052598405,3.891245023601857,-3.359014229477238,4.423475817726477,量不準（hw>0.585）
2,inf,null,60,86,666,0.4325306406250735,6.554997433273813,-5.66955245895717,7.440442407590455,量不準（hw>0.585）
2,inf,null,120,81,649,2.8924965762635826,12.445119671343399,-11.181264732480177,13.70897461020662,量不準（hw>0.585）
2,inf,relvol,60,86,634,-3.839911930172188,8.670173041781865,-7.082672414514758,10.257673669048973,量不準（hw>0.585）
2,inf,relvol,120,83,584,-3.508956168876548,12.395647619526782,-10.763453985638476,14.027841253415088,量不準（hw>0.585）
30,inf,null,60,1291,6123,-0.33191776664035777,1.9488386981696548,-1.9288520603532506,1.968825335986059,量不準（hw>0.585）
30,inf,null,120,1236,5708,0.0031067675263535266,2.7175780696013163,-2.593203491591878,2.841952647610755,量不準（hw>0.585）
30,inf,relvol,60,1290,5605,0.4853730161734543,2.038444331382615,-2.0157715156246736,2.061117147140556,量不準（hw>0.585）
30,inf,relvol,120,1240,5284,-0.3479190143979391,3.264324617837909,-3.3264444960179653,3.2022047396578524,量不準（hw>0.585）
3,inf,null,60,130,814,0.7366056663747178,5.601885417527786,-5.024059591725216,6.179711243330356,量不準（hw>0.585）
3,inf,null,120,123,760,-1.3068913026664353,7.281342350572327,-7.160027628957837,7.402657072186816,量不準（hw>0.585）
3,inf,relvol,60,130,931,-1.5773095511368629,6.876939252041937,-6.2514084738801134,7.50247003020376,量不準（hw>0.585）
3,inf,relvol,120,126,857,-2.592205020262553,10.064897864692451,-10.243875572192701,9.885920157192201,量不準（hw>0.585）
40,inf,null,60,1721,8286,-0.6462098649872267,1.9114908362030985,-1.7878556526607658,2.035126019745431,量不準（hw>0.585）
40,inf,null,120,1660,7781,-0.2757993637727246,2.9564095442756626,-2.6793850975225038,3.2334339910288215,量不準（hw>0.585）
40,inf,relvol,60,1720,7930,-0.48553766105520824,1.6441571774053392,-1.4899253670241481,1.7983889877865304,量不準（hw>0.585）
40,inf,relvol,120,1650,7456,-1.4604765733342504,2.7264703419071434,-2.5005933536377953,2.952347330176491,量不準（hw>0.585）
5,inf,null,60,215,1243,-0.5598982848896678,4.9953196979140335,-4.566766288096752,5.423873107731315,量不準（hw>0.585）
5,inf,null,120,206,1192,0.5853546121007386,7.806408748976322,-6.088243822790674,9.524573675161971,量不準（hw>0.585）
5,inf,relvol,60,217,1206,1.6529607917836557,5.808399521322333,-6.318095496023508,5.298703546621159,量不準（hw>0.585）
5,inf,relvol,120,207,1106,6.166156619065835,7.5349616798386645,-6.956561538337093,8.113361821340236,量不準（hw>0.585）
8,1,null,60,345,2440,-1.3667658892567727,3.943645463475406,-3.8906986865460156,3.9965922404047967,量不準（hw>0.585）
8,1,null,120,326,2225,-2.87029442670866,5.7572523368255135,-4.945025978202396,6.569478695448631,量不準（hw>0.585）
8,1,relvol,60,345,2452,-0.07674940375433092,4.307561324323707,-4.22486540532715,4.390257243320265,量不準（hw>0.585）
8,1,relvol,120,331,2283,-1.466095780784442,6.397742640196476,-6.306573403481365,6.4889118769115885,量不準（hw>0.585）
8,2,null,60,346,2129,-0.9029606427383735,3.759083436996691,-3.5380950977282732,3.9800717762651083,量不準（hw>0.585）
8,2,null,120,333,1963,-1.740461875032466,5.924749464846611,-5.822239443626804,6.027259486066417,量不準（hw>0.585）
8,2,relvol,60,346,1797,-1.8756809106758123,4.010137285063847,-3.6318645205188846,4.388410049608809,量不準（hw>0.585）
8,2,relvol,120,332,1653,-1.1028874689845216,5.662163027785427,-5.727641925611317,5.596684129959536,量不準（hw>0.585）
8,3,null,60,346,1832,1.094534404437307,4.10874117422147,-3.9137281209109154,4.303754227532026,量不準（hw>0.585）
8,3,null,120,326,1742,5.423890582401334,6.324635961496057,-6.335298411954016,6.313973511038097,量不準（hw>0.585）
8,3,relvol,60,346,1756,-0.1017333594173997,4.100423120872823,-3.802791441089442,4.398054800656205,量不準（hw>0.585）
8,3,relvol,120,332,1599,2.3228982181137505,6.109450677111106,-4.849951265841449,7.368950088380763,量不準（hw>0.585）
8,inf,null,60,347,1552,0.522418088295265,3.8601171620067096,-4.0109868379770255,3.7092474860363938,量不準（hw>0.585）
8,inf,null,120,330,1495,1.9147277241626084,5.495155734245044,-5.309670901996061,5.680640566494026,量不準（hw>0.585）
8,inf,relvol,60,346,1587,-1.3086089609775668,4.17269664760196,-3.6035277931465846,4.741865502057335,量不準（hw>0.585）
8,inf,relvol,120,332,1435,-0.7613354233827335,5.794994166553327,-5.756078708189575,5.833909624917079,量不準（hw>0.585）
