date,stock_id,pre_close,ref_price,reason,open_base,ex_ref_price,limit_up,limit_down,halt_date
2025-10-22,00673R,7.02,28.08,反分割,28.08,,9999.95,0.01,
2025-10-22,00706L,5.54,22.16,反分割,22.16,,9999.95,0.01,
