set,regime,N,rule,cagr,mdd,calmar,ca,ma,cb,mb,slot,trades,cagr_p10,cagr_p90,win
S,False,10,H60,0.255421030157306,-0.4273463505512005,0.6005608415283696,0.3394776499518467,-0.3839054073644892,0.19729991139484415,-0.40733950018321957,0.9836538461538461,432.0,0.20567264843986335,0.32533205864865644,False
S,False,10,H120,0.153413747972032,-0.45550196971149515,0.33765174346444893,0.14548148530192107,-0.44262915185510054,0.16603492798822372,-0.4080871062390369,0.9646923076923077,210.0,0.08292921076336394,0.22166489410171838,False
S,False,10,LD,0.17485698520269988,-0.36112172360299666,0.47966852093771706,0.18755766809809626,-0.3405143917918212,0.16654721826893726,-0.3176543057936684,0.9969615384615385,307.0,0.11404896646009191,0.24043772701118507,False
S,False,20,H60,0.2238035827106768,-0.4052540139403211,0.5505181276817737,0.23722206223665554,-0.3534928798913589,0.21379915457580867,-0.39057565449564213,0.9820384615384615,862.0,0.1770285628465266,0.2686671272685967,False
S,False,20,H120,0.16739460928283,-0.40030804161293676,0.41484887596129005,0.1358850758475364,-0.3782158699287721,0.19715058762960735,-0.37270932093933873,0.9649230769230769,420.0,0.12256374602706427,0.21902808616096078,False
S,False,20,LD,0.15963068069678643,-0.33165217948411824,0.4659883762212407,0.1662216955801813,-0.30521886266183007,0.15951122420570119,-0.306032482646454,0.9938846153846154,604.0,0.1159517587999094,0.2020849344720787,False
S,True,10,H60,0.15525472579041155,-0.3625739808748694,0.41577022433557986,0.17914650282430866,-0.2793065327010176,0.13350899424001905,-0.35760263991298635,0.871011673151751,378.0,0.1029047983823238,0.20794086991970487,False
S,True,10,H120,0.17164895126622415,-0.4165919330292252,0.4086768010654622,0.09964464735991219,-0.406608400119569,0.23771608314598114,-0.3870943897915355,0.9235603112840467,199.0,0.12739919563781493,0.21915332303241578,False
S,True,10,LD,0.18251377274314984,-0.3443026562811974,0.5312502732310006,0.1517992936605852,-0.33552489789323675,0.21659797900064903,-0.28753155656559626,0.8985992217898833,271.0,0.13639341134459754,0.24635678226519755,False
S,True,20,H60,0.14841115657923043,-0.33371928905906745,0.44507979752082344,0.14540000796225994,-0.2496173527352937,0.1532677867144029,-0.3290176803920125,0.8620330739299611,748.0,0.11964460629716459,0.1856229183014329,False
S,True,20,H120,0.20517720841947895,-0.3829751390128492,0.5389333619506541,0.13454814399358117,-0.2569072734758505,0.2658538673973109,-0.3829751390128492,0.9031712062256809,389.0,0.17275612071560362,0.24180935351297253,False
S,True,20,LD,0.18505907641631125,-0.2819903005650596,0.6603150688944849,0.1516754373286895,-0.27203170884956074,0.21164475854784015,-0.2522538657242173,0.8969747081712063,534.0,0.15149644105264293,0.21966989953216035,False
G,False,10,H60,0.2278424527965357,-0.396503805534819,0.5747022496334524,0.22134189803853,-0.3437625547873068,0.21857386088952102,-0.38771823583284226,0.8840753424657535,350.0,0.15310273636061533,0.30625354053665477,False
G,False,10,H120,0.2032270848170773,-0.41008535089241716,0.4908129296420357,0.22844376871919014,-0.3572113452079484,0.17845921707936485,-0.39372302823997474,0.9186106346483704,180.0,0.1422449514538974,0.2780636946922418,False
G,False,10,LD,0.21296747442928377,-0.34580624556807293,0.6044097340521661,0.17963577756320803,-0.32112613664798845,0.23789683780694326,-0.31850686026415687,0.9094912355707567,227.0,0.13593239148778455,0.2828984488639581,False
G,False,20,H60,0.22040513814834406,-0.360500062649467,0.6009967595467786,0.23846023103413505,-0.3341046433323651,0.2013577534366887,-0.3457418606290046,0.8840539383561644,700.0,0.17979305182405844,0.268319321071545,False
G,False,20,H120,0.22148754172529939,-0.3764991767626169,0.586843181880057,0.24523688757372386,-0.34115750976030546,0.20262278746344575,-0.3660621273054907,0.9186106346483704,360.0,0.18065844623116742,0.26254792747533195,False
G,False,20,LD,0.22810262251079438,-0.31477246412975673,0.716716668499368,0.19710042914014614,-0.2978312907886105,0.2401216598211573,-0.293562598249383,0.9081658828559214,454.0,0.18427285403973592,0.26730370481187404,False
G,True,10,H60,0.2259525792533591,-0.36257426265567894,0.6275123160745045,0.19427431056755884,-0.36221176712558867,0.2422644611153476,-0.2608211135625146,0.7324486301369864,290.0,0.16449055854538946,0.2950852530011755,False
G,True,10,H120,0.21364861352133435,-0.43371989429146063,0.5112116518337075,0.153899564251611,-0.43371989429146063,0.2664165940768126,-0.2987345308093336,0.8165951972555746,160.0,0.1547960549639844,0.2858243801858667,False
G,True,10,LD,0.17222610573921493,-0.37815708293798045,0.4563693104127887,0.10342041274905434,-0.3776811919436158,0.21354575258054675,-0.24755389619572113,0.7950619923044036,193.0,0.11748326998466987,0.23562444323984333,False
G,True,20,H60,0.22747516141471713,-0.3442548263428443,0.6582983031312866,0.19893950254513737,-0.34401368958004164,0.2412521787662748,-0.2475737061378614,0.73125,579.0,0.18795483143745984,0.26952127140844073,False
G,True,20,H120,0.22823000607326394,-0.40855847778966226,0.5574096360685135,0.15558215019314714,-0.40855847778966226,0.2807204938482819,-0.266381592441377,0.8165951972555746,320.0,0.19337436219480006,0.26585123098178415,False
G,True,20,LD,0.18009029048867675,-0.37084288043580316,0.48145376453115274,0.11824432330569734,-0.37084288043580316,0.2169777776547166,-0.21777371338714185,0.7945703292005131,385.0,0.13754346542200835,0.22141576970367946,False
AND,False,10,H60,0.29922080004791096,-0.44793746886260566,0.6741463041290467,0.3400276210840504,-0.3926082846745261,0.27121588944443675,-0.44793746886260566,0.9232578024796921,366.0,0.258301217412191,0.33972393476012575,False
AND,False,10,H120,0.3319277515028065,-0.4519481599195775,0.7339858631935379,0.41945098441629725,-0.26765118449008557,0.27086285667653587,-0.4519481599195775,0.9518391787852866,187.0,0.30282958563897033,0.36892913312914927,False
AND,False,10,LD,0.23808689406917638,-0.37068165466061165,0.6402548094587732,0.29550625726106405,-0.3028921019947859,0.1947567095668763,-0.37068165466061165,0.9527362120564343,290.0,0.20832950137747416,0.26772289880081873,False
AND,False,20,H60,0.34134959526719755,-0.3280437618214732,1.0378653022161388,0.3443454177416574,-0.3228082429161734,0.3380952339142501,-0.32706349050306827,0.8828986746472852,700.0,0.317041985034233,0.3696415393956166,False
AND,False,20,H120,0.32939349027409015,-0.4567144631220972,0.7183967112726721,0.33606210801443226,-0.22704392953670682,0.32153816042073746,-0.4567144631220972,0.9264114627887083,364.0,0.30775938911437006,0.3547008336699704,False
AND,False,20,LD,0.19502546300557777,-0.4108576144564448,0.476114995427676,0.2328169528515479,-0.3084204040151355,0.16983778400855132,-0.4108576144564448,0.9249893116716545,556.0,0.17852682128760472,0.21685109782491555,False
AND,True,10,H60,0.31936268118635025,-0.4135719271386452,0.7733989697906887,0.31610077069871867,-0.30136007657586616,0.3079379086273044,-0.4135719271386452,0.7669089354424968,304.0,0.28657805538240133,0.34629239101730513,False
AND,True,10,H120,0.4446171561904553,-0.40319642323083754,1.0982100182660273,0.3587916929720595,-0.32643391007925393,0.4949380396827544,-0.40319642323083754,0.8348588537211292,164.0,0.41844131459927536,0.4740199089220553,False
AND,True,10,LD,0.2566186952247521,-0.30708795394916444,0.834111136794069,0.2956025324895637,-0.28701416297969085,0.2251404862020393,-0.30708795394916444,0.8182556648140231,250.0,0.22104234611587412,0.29244706621000555,False
AND,True,20,H60,0.3305834015678141,-0.346978896351991,0.9511125328486858,0.2007424581333338,-0.346978896351991,0.42304174675852746,-0.2637684773504675,0.7183091064557503,569.5,0.31004637753862385,0.34966339206766145,False
AND,True,20,H120,0.335801104485725,-0.4149929206251856,0.8074445782275059,0.2230264809070429,-0.3126764124022568,0.40737142350670996,-0.4149929206251856,0.801732249786142,315.0,0.31873421547242897,0.3540151404798135,False
AND,True,20,LD,0.21788227496908064,-0.36369032308268695,0.599783184176466,0.18641005954875411,-0.35932455619685955,0.23156659101235522,-0.35459878425328983,0.7794677212483967,479.0,0.19500612458051506,0.23556443045572947,False
OR,False,10,H60,0.2518980937157512,-0.4355661313304717,0.5780450647186546,0.34271931750977114,-0.3715535549638291,0.18061078737847747,-0.4223301110152773,0.9836346153846154,432.0,0.18588567563140024,0.3179961160802521,False
OR,False,10,H120,0.15664181144447864,-0.4590092068516559,0.3444887527524234,0.1449261758474032,-0.44313286392742124,0.17346443686730684,-0.411348689861055,0.9645769230769231,210.0,0.09416883136084118,0.23770114964249794,False
OR,False,10,LD,0.203240512499702,-0.3651997042992544,0.5583172654404271,0.19410575671797048,-0.34199991357595316,0.2256542360908126,-0.31708701816998475,0.9973846153846154,300.0,0.1449436447882222,0.26626354991671064,False
OR,False,20,H60,0.2258545949664118,-0.40681421605488044,0.5538344485975637,0.23088293072607513,-0.36207121981416285,0.21178669666791294,-0.3910491766618368,0.982,862.0,0.1711578867891211,0.27552816425651644,False
OR,False,20,H120,0.1752995527057346,-0.3940184860952459,0.4377465784867947,0.14201177680065702,-0.37072819664938683,0.19845332789547365,-0.3652330085995946,0.9647596153846154,420.0,0.12472282595338223,0.23242835018434319,False
OR,False,20,LD,0.19005930555967843,-0.3188845251221907,0.5835670266050408,0.1666610624955852,-0.3056161982418658,0.21673947782432312,-0.28257285047163505,0.9946826923076924,601.0,0.1501711940077177,0.23581492646433497,False
