ym,n,ret
2015-08,304,-0.062220443989403795
2015-09,278,0.06961201525345811
2015-10,310,0.07396046009920812
2015-11,349,-0.008260922630035524
2015-12,343,-0.0021810309729287385
2016-01,296,-0.015156852285798541
2016-02,258,0.03318662626068958
2016-03,290,0.008553433055915674
2016-04,355,-0.04988226531739271
2016-05,310,0.023502186277381962
2016-06,273,0.009908413927527292
2016-07,255,0.04570920058088631
2016-08,341,0.01988026218216684
2016-09,337,0.0019658664080359958
2016-10,279,-0.02865213249305104
2016-11,266,-0.017660364773078096
2016-12,265,0.0020432732660524097
2017-01,273,0.030010466076359342
2017-02,290,0.06810925226923047
2017-03,371,0.0034068569054900703
2017-04,386,-0.006662723462983981
2017-05,361,0.002157782913888528
2017-06,355,0.021722488111997527
2017-07,337,0.04235233196767001
2017-08,344,0.04313550560727592
2017-09,406,-0.010699361368563698
2017-10,354,0.04423190022410267
2017-11,399,0.012799623381789815
2017-12,439,-0.002829110912890201
2018-01,384,0.02960180986107136
2018-02,426,-0.03162787926289194
2018-03,382,0.018438972397488516
2018-04,349,-0.03436614961487946
2018-05,348,0.06778128761871745
2018-06,378,0.01033955907201913
2018-07,406,0.0008871339243710819
2018-08,344,-0.03188801872001825
2018-09,327,-0.0665090996517398
2018-10,309,-0.16153760624165012
2018-11,290,0.10887816623090903
2018-12,289,-0.03317383118637934
2019-01,270,0.05370676839282967
2019-02,305,0.05827490940574826
2019-03,347,0.029916180822930273
2019-04,376,0.007571239640746976
2019-05,383,-0.06416574358806375
2019-06,318,0.04257943520253654
2019-07,299,0.05317078852054907
2019-08,364,0.00822901390273327
2019-09,361,0.0049282897306984754
2019-10,353,0.04628629272341776
2019-11,356,0.001163038532170076
2019-12,359,0.035524598930199346
2020-01,370,-0.06717252558453694
2020-02,373,-0.018168581413951376
2020-03,370,-0.16864217880437002
2020-04,390,0.2060663367009781
2020-05,401,0.04956047566242407
2020-06,462,0.06452022147555359
2020-07,495,0.04118366028979243
2020-08,522,0.045676379306428046
2020-09,528,-0.03128117460499036
2020-10,483,0.017793872693604117
2020-11,451,0.1017196173175557
2020-12,549,0.04701159336990957
2021-01,599,-0.04415219434370177
2021-02,592,0.10392818609884681
2021-03,567,0.08582950764403441
2021-04,651,0.0810158228179826
2021-05,808,-0.08338033723028895
2021-06,630,0.10080922793795684
2021-07,587,0.008937808523105028
2021-08,656,-0.023013269986148166
2021-09,552,-0.03345423592853381
2021-10,522,0.021263602711025096
2021-11,500,0.046749280700225423
2021-12,579,0.05094079740075507
2022-01,579,-0.09899900484986086
2022-02,551,0.020010555260180835
2022-03,534,0.02354060122570881
2022-04,516,-0.07911541027013819
2022-05,516,0.00840429102418046
2022-06,449,-0.10805928904377426
2022-07,467,0.040864870246307985
2022-08,452,0.058376380624732105
2022-09,488,-0.12664691408007553
2022-10,456,-0.05280851622988364
2022-11,390,0.16029590242946612
2022-12,459,-0.044044468639242974
2023-01,482,0.0647810851487369
2023-02,420,0.05340706492883553
2023-03,527,0.030506672837077753
2023-04,567,0.009847955736310022
2023-05,604,0.04229467484758318
2023-06,597,0.053887238361839236
2023-07,670,0.029557726585270002
2023-08,665,-0.034347806314374674
2023-09,542,0.0012877979282211562
2023-10,522,-0.03783954856496072
2023-11,513,0.12222732836960153
2023-12,575,0.010195939326922808
2024-01,601,-0.0014518444480565748
2024-02,543,0.06867810384343954
2024-03,631,0.006178878059806318
2024-04,700,0.02283451042165379
2024-05,694,0.04123554800236634
2024-06,728,0.04078614417717334
2024-07,737,-0.028557285407508376
2024-08,791,0.02711798550686653
2024-09,643,-0.019647410112044517
2024-10,649,-0.025047811102510982
2024-11,644,-0.019355041821676463
2024-12,612,-0.0001498621554899777
2025-01,595,-0.016276762320690034
2025-02,553,0.04016427266320229
2025-03,616,-0.11795875081866193
2025-04,576,-0.03873194980491473
2025-05,528,0.04184541476973925
2025-06,559,0.017637908232751066
2025-07,536,0.03353293517936506
2025-08,538,0.10658731978294388
2025-09,653,-0.007939449290973831
2025-10,626,0.014806399845369663
2025-11,584,-0.00781692999958541
2025-12,547,0.03936732131642617
2026-01,563,0.07433013891934286
2026-02,684,0.067960390931284
2026-03,662,-0.05352359855207163
