arm,seed,cagr,mdd,slot,m,ca,ma,cb,mb,maxw,first,end,expo,kind_混合型,kind_單日暴跌型
base,99000,0.2178358593334564,-0.4264865440218765,0.8871002592912706,138,0.18871946079875634,-0.4264865440218765,0.23756052814144457,-0.42202808026831223,0.4030189982741814,523,2837,0.8664353505289041,3.0,
base,99001,0.21439779985531948,-0.39376591427886565,0.8871002592912706,138,0.19429556009478777,-0.32815798135479557,0.22887482270086434,-0.39376591427886565,0.3837538843475213,523,2837,0.8687529498341904,5.0,1.0
base,99002,0.27239881256604037,-0.5043891729643656,0.8871002592912706,138,0.24255563918012935,-0.5043891729643656,0.2898106551237798,-0.360686849967842,0.3374145072718467,523,2837,0.8655841432934541,2.0,2.0
base,99003,0.23941639234199807,-0.4227337223265596,0.8871002592912706,138,0.29155974342940816,-0.4227337223265596,0.20078634596304035,-0.377672712460507,0.39532406616328836,523,2837,0.8682131194091007,4.0,1.0
base,99004,0.3238913744457623,-0.4112686329371004,0.8871002592912706,138,0.27929989404441535,-0.350054216901392,0.3506137294225231,-0.4112686329371004,0.29891258584431835,523,2837,0.8691327084152044,3.0,1.0
base,99005,0.23386903461003428,-0.48513900261147413,0.8871002592912706,138,0.2718473616542376,-0.48513900261147413,0.20956198995932507,-0.40125789313781846,0.30893483776920444,523,2837,0.8706174247383804,3.0,
base,99006,0.18884595028334417,-0.39985724722516275,0.8871002592912706,138,0.20660234303402691,-0.39985724722516275,0.17717295202632766,-0.32867001979986904,0.26592701387068995,523,2837,0.8643529824460239,5.0,1.0
base,99007,0.25449040783510446,-0.4336251678462655,0.8871002592912706,138,0.4395975634643381,-0.4336251678462655,0.14280655494655714,-0.39083526353662323,0.3246945268108559,523,2837,0.872836741331916,4.0,
base,99008,0.43968868911110803,-0.5572547295746607,0.8871002592912706,138,0.42435465236717596,-0.40298011045799864,0.45194872453467494,-0.5572547295746607,0.3362865154511801,523,2837,0.869341319758341,5.0,1.0
base,99009,0.34524358726058013,-0.4135844742086075,0.8871002592912706,138,0.4232321221024893,-0.3820097917042217,0.28965742979218345,-0.4135844742086075,0.44255528103984676,523,2837,0.8729711559631488,5.0,
base,99010,0.17289252207016337,-0.44425574548809094,0.8871002592912706,138,0.28880723255668705,-0.44425574548809094,0.09625267314265873,-0.4081877918080201,0.3435249359530841,523,2837,0.8732454559404033,3.0,1.0
base,99011,0.2735052401703568,-0.468321977811759,0.8871002592912706,138,0.28476007967469696,-0.468321977811759,0.2653232933344185,-0.37475486994583196,0.4679670545680387,523,2837,0.8786932785444866,4.0,1.0
base,99012,0.3076450718603585,-0.41648182104493076,0.8871002592912706,138,0.42813362819927137,-0.37734112126242203,0.22719814540667715,-0.41648182104493076,0.3258356214624904,523,2837,0.8713196645508442,4.0,
base,99013,0.2777415234151812,-0.3577142651324517,0.8871002592912706,138,0.3746708378451593,-0.3577142651324517,0.2107501195553778,-0.35734412139905286,0.4240740479566699,523,2837,0.8713706011106733,2.0,3.0
base,99014,0.24222907499585777,-0.4798507472274211,0.8871002592912706,138,0.32773404319351385,-0.41993001579500194,0.18786676645482236,-0.4798507472274211,0.3921696331078355,523,2837,0.869426515538346,6.0,
base,99015,0.33633245333847706,-0.4280839489134695,0.8871002592912706,138,0.24915349104056395,-0.4280839489134695,0.4003257707600125,-0.3401787762809255,0.30056648456837615,523,2837,0.8693878419606166,3.0,1.0
base,99016,0.19309847697686155,-0.35333086802449887,0.8871002592912706,138,0.3241972319262356,-0.3529134855991392,0.10948534066047899,-0.35333086802449887,0.37278382484768463,523,2837,0.8762994505142929,2.0,1.0
base,99017,0.16801188375918108,-0.4192712867649464,0.8871002592912706,138,0.22998694316460844,-0.4192712867649464,0.12744216655704954,-0.4008954021905412,0.31006081551351977,523,2837,0.8694129620629661,5.0,
base,99018,0.3355839673386003,-0.38741713198791156,0.8871002592912706,138,0.1962329013442523,-0.38741713198791156,0.43725324482570915,-0.36415027114722154,0.3958047746188939,523,2837,0.8740150814489284,2.0,1.0
base,99019,0.3354107724309685,-0.3779398244224387,0.8871002592912706,138,0.42934991667170364,-0.3779398244224387,0.2678274870305386,-0.3233186281946108,0.5308870272086512,523,2837,0.8619895121660409,3.0,2.0
base,99020,0.2769056093315567,-0.4838603955587516,0.8871002592912706,138,0.28327824345561314,-0.4838603955587516,0.27262578996255415,-0.45210704724651657,0.4214929514470559,523,2837,0.8714152575473227,3.0,
base,99021,0.35218827935170105,-0.5236090899406403,0.8871002592912706,138,0.4283149166651663,-0.4004759179726801,0.3008625878821529,-0.5236090899406403,0.31884685231736837,523,2837,0.869625878227121,3.0,
base,99022,0.344418063534933,-0.4607991696615034,0.8871002592912706,138,0.3223613565941339,-0.4607991696615034,0.3540856343041636,-0.3266470428801258,0.3299609678124207,523,2837,0.871147765734314,1.0,1.0
base,99023,0.2575763864001894,-0.4926907023017168,0.8871002592912706,138,0.22670719939724138,-0.4926907023017168,0.2778665360746908,-0.33388439281970145,0.33309984500127493,523,2837,0.8768110741550161,2.0,1.0
base,99024,0.3045761101359288,-0.457520383886508,0.8871002592912706,138,0.306271957907686,-0.36113454941666595,0.30627682974270054,-0.457520383886508,0.43010069179073845,523,2837,0.8724630609288508,3.0,1.0
base,99025,0.2452870714959292,-0.4228642207267217,0.8871002592912706,138,0.22615045620763663,-0.3908381862469583,0.25383195449925333,-0.4228642207267217,0.3610977082739301,523,2837,0.870560141856229,3.0,1.0
base,99026,0.3803976853501403,-0.38456396867048714,0.8871002592912706,138,0.3780438424924295,-0.38456396867048714,0.37230261394192077,-0.34079657846465444,0.521163808108449,523,2837,0.871140555173556,3.0,2.0
base,99027,0.4468463773896969,-0.4230691349950177,0.8871002592912706,138,0.42957687073920714,-0.4230691349950177,0.45885621486225125,-0.3211342713049635,0.3966293480298823,523,2837,0.8737139176066893,3.0,3.0
base,99028,0.31954379921260734,-0.4264872967845502,0.8871002592912706,138,0.29350355602721145,-0.31740506405561647,0.3384505739954964,-0.4264872967845502,0.34599193692042357,523,2837,0.871547384257127,5.0,
base,99029,0.2668699738263711,-0.4200625036609282,0.8871002592912706,138,0.41199040994772385,-0.30221730530361923,0.17446381210964534,-0.4200625036609282,0.30492712825680185,523,2837,0.8735692096773758,5.0,
base,99030,0.32074645490799303,-0.42211508970475825,0.8871002592912706,138,0.3213946125384526,-0.4006134930774733,0.3161076545878785,-0.42211508970475825,0.36171227069310286,523,2837,0.8725846026008596,4.0,1.0
base,99031,0.32457951516577066,-0.4464808489264104,0.8871002592912706,138,0.38619489802742013,-0.42562916973609094,0.2788429574844611,-0.4464808489264104,0.4907911631385745,523,2837,0.8689381419060566,3.0,1.0
base,99032,0.1916177288429466,-0.4711805737777884,0.8871002592912706,138,0.2552771444338666,-0.4368726317773994,0.14899608678108023,-0.4711805737777884,0.5068259795918902,523,2837,0.8795677232771466,5.0,1.0
base,99033,0.30347162782212656,-0.43532391651508984,0.8871002592912706,138,0.31748222998076026,-0.43532391651508984,0.29173254455339115,-0.38945815009457024,0.38463563870255113,523,2837,0.8705005110049586,3.0,
base,99034,0.3293001268766029,-0.41140176214084356,0.8871002592912706,138,0.23905074467259624,-0.41140176214084356,0.39422267206357486,-0.2969667053933665,0.4142543500473091,523,2837,0.8728447789551179,3.0,1.0
base,99035,0.37248749043007856,-0.41392668361931334,0.8871002592912706,138,0.3997732491796191,-0.3894971790471786,0.3436894347446937,-0.41392668361931334,0.4545056449666693,523,2837,0.8705358513509655,4.0,
base,99036,0.2864988436578422,-0.3976098862427304,0.8871002592912706,138,0.24347929830795145,-0.33977244142758756,0.315940405447072,-0.3976098862427304,0.48838463430273527,523,2837,0.8823499617264109,3.0,1.0
base,99037,0.25493422732759363,-0.3902264186611749,0.8871002592912706,138,0.25043330065875047,-0.3364012302072618,0.25780911309415155,-0.3902264186611749,0.3792496485346232,523,2837,0.8657415354934498,5.0,
base,99038,0.3545021577586578,-0.4097545885305374,0.8871002592912706,138,0.30860637885933406,-0.4097545885305374,0.3796898864641618,-0.362983928796172,0.3777364925497535,523,2837,0.876013785909578,2.0,1.0
base,99039,0.24432882452272553,-0.41557192870416837,0.8871002592912706,138,0.2976611302118395,-0.333779505981415,0.20878478562749936,-0.41557192870416837,0.30144739084313266,523,2837,0.8765546625630231,4.0,
base,99040,0.27331024922394964,-0.38992223391297604,0.8871002592912706,138,0.3145145265272369,-0.3768393732267838,0.24447788409896076,-0.38992223391297604,0.3406618625745433,523,2837,0.8648698761480118,3.0,2.0
base,99041,0.2812618359200565,-0.36095490977850986,0.8871002592912706,138,0.23906846684396021,-0.36095490977850986,0.3095242867645953,-0.31705042691849317,0.33848158973787035,523,2837,0.8692310214691099,3.0,1.0
base,99042,0.2503649896232185,-0.43051613656671084,0.8871002592912706,138,0.27044385622826206,-0.3784955630688599,0.23874452514678923,-0.43051613656671084,0.3662635588693934,523,2837,0.8734712143061896,3.0,2.0
base,99043,0.28655025827887703,-0.40674719356092376,0.8871002592912706,138,0.21556156908414303,-0.40674719356092376,0.3346769452984373,-0.40557184179284583,0.3264205670716622,523,2837,0.8712223981732548,5.0,
base,99044,0.24081336226400696,-0.44021379093020424,0.8871002592912706,138,0.31871991149486756,-0.377977194380121,0.18933683455569805,-0.44021379093020424,0.3095027744269318,523,2837,0.8791807793021503,3.0,
base,99045,0.21306240617971195,-0.3980281444392064,0.8871002592912706,138,0.24009375889502005,-0.3922698012251462,0.19294590734088501,-0.3980281444392064,0.39828304065780834,523,2837,0.8688520734919708,3.0,
base,99046,0.2463171064573586,-0.45551186424422535,0.8871002592912706,138,0.2083639771347805,-0.39741199759951573,0.2697165132971038,-0.45551186424422535,0.2968716221573494,523,2837,0.8737630355771019,4.0,1.0
