,0
med_seed,99090
weak_days,827
ncal,2855
weak_months,36
neg_months,38
months,109
inter,14
precision,0.3888888888888889
coverage,0.3684210526315789
b_c,0.2454190151468234
b_m,-0.3395700527611012
b_ca,0.18120971361375937
b_ma,-0.28217651879384864
b_cb,0.28727567612461113
b_mb,-0.3395700527611012
kinds,"{'混合型': 713, '單日暴跌型': 154}"
d_cagr_med,-0.03833092964489171
d_cagr_p10,-0.06516839660812752
d_cagr_p90,-0.021088168331862712
d_mdd_med,0.02865523706756143
d_mdd_p10,0.0007130983807377258
d_mdd_p90,0.0982396670500131
d_cagr_neg,0.985
d_mdd_pos,0.945
