arm,cagr,cagr_p10,cagr_p90,mdd,mdd_p10,mdd_p90,slot,m,maxw,maxw_worst,expo,ca,ma,cb,mb,win_self,win_sl,rate_self,rate_sl,win_a,win_b
base,0.2768772767858816,0.18995570463113787,0.3473591255215837,-0.4250499165027687,-0.48456039276526913,-0.37540247949302885,0.8871002592912706,138.0,0.3589807633373897,0.5467559746373644,0.8718712825386842,0.2771487674038916,-0.3923710174759762,0.2686132553742432,-0.4064290805064007,False,False,0.005,0.01,False,False
b,0.23665723198496624,0.16068211576395666,0.3016184918602157,-0.3851052222893562,-0.4455176270953576,-0.3373347798965054,0.8871002592912706,138.0,0.36131417253224574,0.5359737658701444,0.7661428488022883,0.21840144074557732,-0.37916917861629706,0.25460880265079666,-0.3166501502535856,False,False,0.05,0.065,False,False
