族,格,年化,回落,錨年化,錨回落,錨出處,格捨入,錨捨入,註,新判準標籤,捨入內不定,比值,錨比值,年化差pp,回落差pp（負＝比0050深）,年化波動
PREREG10／研究十三,S｜regime=False｜N10｜H60,0.255421030157306,-0.4273463505512005,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,另列,False,0.5976909123661837,0.7294117647058823,0.7421030157305997,-8.73463505512005,未存
PREREG10／研究十三,S｜regime=False｜N10｜H120,0.153413747972032,-0.4555019697114951,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.3368015028984417,0.7294117647058823,-9.4586252027968,-11.550196971149507,未存
PREREG10／研究十三,S｜regime=False｜N10｜LD,0.1748569852026998,-0.3611217236029966,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4842051136057682,0.7294117647058823,-7.3143014797300205,-2.112172360299658,未存
PREREG10／研究十三,S｜regime=False｜N20｜H60,0.2238035827106768,-0.4052540139403211,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.552255067222196,0.7294117647058823,-2.41964172893232,-6.52540139403211,未存
PREREG10／研究十三,S｜regime=False｜N20｜H120,0.16739460928283,-0.4003080416129367,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4181644930447991,0.7294117647058823,-8.060539071716999,-6.030804161293668,未存
PREREG10／研究十三,S｜regime=False｜N20｜LD,0.1596306806967864,-0.3316521794841182,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4813195587771816,0.7294117647058823,-8.83693193032136,0.8347820515881843,未存
PREREG10／研究十三,S｜regime=True｜N10｜H60,0.1552547257904115,-0.3625739808748694,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.42820150915350047,0.7294117647058823,-9.27452742095885,-2.2573980874869393,未存
PREREG10／研究十三,S｜regime=True｜N10｜H120,0.1716489512662241,-0.4165919330292252,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.41203138528892824,0.7294117647058823,-7.635104873377591,-7.659193302922517,未存
PREREG10／研究十三,S｜regime=True｜N10｜LD,0.1825137727431498,-0.3443026562811974,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5300969057702766,0.7294117647058823,-6.548622725685019,-0.4302656281197359,未存
PREREG10／研究十三,S｜regime=True｜N20｜H60,0.1484111565792304,-0.3337192890590674,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.4447185447316533,0.7294117647058823,-9.95888434207696,0.6280710940932632,未存
PREREG10／研究十三,S｜regime=True｜N20｜H120,0.2051772084194789,-0.3829751390128492,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5357455028238661,0.7294117647058823,-4.28227915805211,-4.297513901284916,未存
PREREG10／研究十三,S｜regime=True｜N20｜LD,0.1850590764163112,-0.2819903005650596,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6562604318144453,0.7294117647058823,-6.29409235836888,5.800969943494044,未存
