hold,month,sum,count
5,2016-01,276.8064048900457,22047
5,2016-02,439.91158225637275,18825
5,2016-03,-53.662174085738464,33878
5,2016-04,-380.98678677585843,28206
5,2016-05,156.21637874181653,31252
5,2016-06,158.82075626140917,31358
5,2016-07,300.461431262104,29579
5,2016-08,21.28033615948006,34188
5,2016-09,92.81955936885933,28179
5,2016-10,-332.8500643642003,29470
5,2016-11,97.22071759814943,32745
5,2016-12,127.59120287550478,33167
5,2017-01,246.5414740955907,24355
5,2017-02,222.4942953537927,27762
5,2017-03,52.22611532780784,35657
5,2017-04,-130.94479839780985,27835
5,2017-05,114.44387846062489,30939
5,2017-06,5.405559748457117,35637
5,2017-07,135.0611196350574,32077
5,2017-08,167.61573741333643,35353
5,2017-09,23.02405208870813,33821
5,2017-10,47.20404445406952,29205
5,2017-11,-175.9781154718506,34136
5,2017-12,201.75855214836912,32807
5,2018-01,-235.5540362781853,34704
5,2018-02,157.2796565153187,20596
5,2018-03,176.25578146603448,36521
5,2018-04,-297.8105689741403,28633
5,2018-05,317.8584620131329,35115
5,2018-06,-262.2671314911414,31818
5,2018-07,80.75356479546507,34163
5,2018-08,-239.05435537658832,35942
5,2018-09,-240.01886157404758,29597
5,2018-10,-667.2788807558301,34256
5,2018-11,458.1696444190565,34255
5,2018-12,-150.76472216450378,32826
5,2019-01,366.0510113155609,33128
5,2019-02,192.10539366907983,20794
5,2019-03,193.81017708207227,32201
5,2019-04,-57.26063519727896,32336
5,2019-05,-270.8813683911461,35507
5,2019-06,244.8084009609809,30514
5,2019-07,-27.65331176033265,36597
5,2019-08,262.78266105974666,33685
5,2019-09,-21.416057842673276,30548
5,2019-10,109.52780600234567,33715
5,2019-11,-68.13135226959214,34012
5,2019-12,145.63559105678655,35884
5,2020-01,-301.34215867234445,24593
5,2020-02,38.95623803659385,31181
5,2020-03,-946.5863957748114,36297
5,2020-04,1037.7931849693528,33055
5,2020-05,380.4514201051257,33132
5,2020-06,497.5498970038285,33101
5,2020-07,47.99522639241223,37682
5,2020-08,223.24429414158783,34690
5,2020-09,-2.6742853783569034,36292
5,2020-10,-13.053266415570494,31233
5,2020-11,512.0880761874881,34801
5,2020-12,196.0986770747872,38307
5,2021-01,-423.13022171022385,33366
5,2021-02,543.9234698541778,21733
5,2021-03,715.9110831104142,37002
5,2021-04,-106.08667431590558,32030
5,2021-05,-82.77190781451026,35463
